V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2033.1522,2016.4661,2011.5416,2013.2329,2008.97,2004.063,2006.3618,2010.3368,2001.9166,2005.441,1997.5677,1993.2123,1991.7119,2004.6765
3001.194,3018.2278,3019.4812,3018.874,3021.7812,3026.7964,3025.0957,3030.228,3019.8364,3022.934,3035.4465,3031.1614,3033.5024,3037.213
1114.494,1117.8823,1113.4603,1113.5259,1115.7609,1117.6749,1121.0924,1123.4781,1125.3842,1127.0311,1130.4979,1128.7664,1129.0826,1132.3384
1556.0499,1473.7466,1406.6316,1355.6196,1319.8962,1301.2959,1294.205,1294.9172,1302.559,1316.7468,1358.912,1358.6913,1384.7356,1401.0748
5798.3086,5780.382,5775.2617,5775.9277,5775.7812,5777.034,5774.3506,5770.147,5774.936,5767.413,5773.844,5766.8374,5763.484,5771.777
3297.6814,3323.6377,3280.0986,3252.271,3231.3186,3213.0942,3201.6287,3161.7559,3169.6023,3166.4602,3192.6074,3213.035,3239.3843,3290.344
4684.091,4922.5293,4963.6357,5109.9097,4944.2036,4947.1855,5137.9,5033.9775,4783.4087,4346.439,4323.0645,4374.3696,4421.5806,4511.458
1731.1753,1726.9047,1720.1675,1723.7805,1723.3912,1719.5994,1717.2141,1718.8286,1709.1962,1716.6464,1713.3912,1708.405,1707.49,1719.8326
1585.1508,1582.3466,1575.6495,1580.1321,1579.66,1576.1189,1573.9806,1575.3248,1566.6201,1573.5685,1570.3,1565.7874,1564.8616,1576.0189
2633.6423,2620.603,2616.6594,2614.9346,2610.9387,2606.1284,2594.9382,2591.25,2593.8066,2577.3599,2578.9434,2567.9443,2566.1953,2580.256
2477.943,2467.6577,2465.1301,2457.5562,2447.4778,2435.7588,2425.5205,2419.0767,2434.4766,2423.5085,2434.176,2422.9175,2423.2078,2427.5212
3604.4277,3588.889,3593.3328,3604.6033,3604.3484,3604.796,3597.1582,3589.2148,3572.465,3565.4758,3553.118,3536.327,3529.9873,3541.6
7027.9365,7031.1445,7085.6084,7115.237,7142.8555,7132.3,7117.9585,7076.9497,7059.32,7054.323,7009.153,6961.3057,6885.136,6870.9146
5770.067,5767.297,5750.514,5740.858,5731.584,5678.184,5644.4165,5605.305,5586.5386,5560.9756,5558.547,5548.608,5565.851,5597.593
6553.604,6585.6035,6696.3804,6575.875,6541.948,6441.197,6544.6025,6562.09,6365.486,6022.3584,5842.363,5958.006,5921.004,6076.213
3136.2366,3144.782,3144.9377,3139.0015,3123.011,3112.0784,3098.3982,3082.0745,3098.7922,3093.1772,3092.8804,3095.245,3088.007,3094.9048
3958.3584,3943.6545,3967.1423,3969.1682,3980.7566,3988.5652,3984.3926,3980.0083,3970.6501,3953.0427,3954.2607,3934.6082,3924.0068,3912.3442
9540.52,9549.28,9560.309,9564.18,9599.566,9628.169,9627.375,9630.075,9637.599,9645.731,9620.084,9611.496,9612.946,9646.793
2697.0835,2679.7732,2665.1362,2629.4185,2613.6577,2608.4426,2612.6543,2610.8926,2602.409,2603.69,2569.1094,2582.9795,2565.3943,2581.4846
10974.507,10984.524,10997.04,11017.606,11024.59,11044.144,11035.322,11040.101,11020.911,11013.912,10991.998,10978.751,10964.398,10947.296
2684.8865,2667.4158,2652.8687,2617.245,2601.4905,2596.3152,2600.5698,2598.9097,2590.392,2591.5417,2556.781,2570.5815,2553.2317,2569.3142
2941.6047,2930.3752,2930.0703,2892.3188,2884.4077,2860.812,2850.307,2840.4592,2842.0178,2834.3223,2820.1323,2828.7148,2825.4106,2868.7434
1921.7552,1923.3881,1923.5695,1918.3481,1922.1925,1925.1105,1931.5193,1930.0903,1939.8857,1941.9185,1950.1935,1951.3098,1954.2269,1974.0753
2622.4722,2609.522,2604.3645,2575.1885,2578.2385,2553.8699,2550.5872,2542.9722,2542.793,2544.8604,2540.7288,2541.8232,2541.4468,2557.552
1586.864,1589.8964,1591.2566,1588.261,1593.1326,1596.1208,1603.5062,1597.8,1606.1573,1603.6989,1611.9326,1611.6188,1613.7384,1633.6296
2434.508,2425.5579,2427.155,2396.0981,2391.7043,2372.982,2364.731,2356.3677,2358.8447,2349.6746,2338.859,2342.8286,2341.7664,2381.104
1719.69,1722.1067,1722.0898,1717.2926,1720.2333,1722.8634,1730.1937,1729.1335,1736.4845,1737.1162,1744.7909,1744.0013,1746.1971,1763.6405
468.51187,455.78412,456.52405,453.25427,454.8666,458.5687,458.52213,457.42218,459.70758,460.76492,463.30484,465.41412,462.86517,452.79303
6495.228,6507.322,6469.404,6464.0796,6427.8706,6395.327,6349.038,6330.496,6312.023,6293.6025,6288.1904,6300.8247,6304.74,6351.8
663.98584,651.60046,653.24176,649.1816,651.50305,655.7935,656.26965,654.71265,657.77466,658.70825,660.23486,662.26404,659.0978,648.23956
2091.4836,2062.4014,2070.3586,2056.7148,2060.0657,2059.5972,2066.763,2081.5493,2084.124,2087.334,2084.5066,2091.19,2063.2336,2059.3396
1899.3748,1870.471,1877.7627,1865.3328,1869.1722,1868.508,1874.1826,1887.9058,1890.7769,1893.3463,1890.0688,1896.5681,1870.9514,1867.8375
6662.743,6709.644,6720.9224,6739.03,6758.331,6782.4185,6762.665,6772.731,6772.4854,6779.087,6716.152,6668.096,6616.304,6677.6553
2257.9204,2248.0977,2237.1067,2231.1267,2229.0046,2229.0757,2228.543,2220.0286,2223.1013,2223.1309,2223.1492,2224.8357,2226.9456,2249.3594
1701.6433,1679.2499,1680.3352,1681.0393,1681.4619,1688.8667,1690.6724,1683.9028,1686.0627,1686.1055,1685.0712,1683.6444,1683.2767,1673.1173
3806.4917,3798.5757,3788.8918,3776.1528,3778.9182,3777.432,3782.2065,3793.3162,3778.6343,3785.0374,3765.0967,3777.0059,3763.2664,3782.3577
2543.9324,2504.069,2508.7422,2506.77,2517.993,2512.1711,2510.7705,2529.0815,2538.8745,2549.0027,2572.1787,2578.1094,2581.4053,2582.7214
2472.4915,2465.619,2436.3564,2421.737,2415.926,2378.4868,2407.5186,2394.4937,2407.7927,2412.2695,2421.5774,2409.4746,2385.721,2423.8997
2372.4468,2388.927,2418.5332,2457.8906,2472.1677,2465.1882,2443.2024,2438.4827,2416.872,2400.1108,2354.4944,2318.4915,2302.3525,2340.3728
3832.225,3820.7751,3829.9521,3820.681,3804.4749,3799.3586,3810.9128,3812.5652,3802.6943,3800.0142,3794.926,3798.2017,3795.1453,3785.9712
6239.1704,6247.6255,6287.3,6343.1235,6416.6587,6394.951,6439.3657,6339.9126,6263.5557,6127.341,6094.069,6062.2695,5980.6895,6083.782
7532.909,7592.849,7485.919,7443.0566,7369.2207,7322.6187,7247.3,7203.4478,7163.4463,7139.6914,7136.59,7145.0566,7162.811,7334.6543
1148.9237,1161.3473,1158.1587,1154.6385,1141.2357,1137.6677,1134.553,1136.9344,1139.4197,1139.2515,1143.1642,1146.9381,1145.5765,1147.8585
8716.784,8726.114,8741.674,8727.479,8733.886,8712.648,8731.041,8721.31,8733.353,8730.318,8735.145,8737.49,8752.103,8714.067
1135.0023,1128.6443,1129.7458,1123.477,1129.6051,1123.5475,1123.6653,1123.235,1119.3779,1125.8334,1120.9325,1121.5033,1125.6545,1121.6746
10510.233,10527.404,10503.874,10434.455,10418.737,10376.935,10349.078,10335.8955,10325.393,10370.64,10353.8955,10371.152,10376.693,10465.707
1019.27423,1035.3513,1032.5486,1038.6324,1030.7542,1030.6913,1027.5577,1028.3844,1032.7924,1038.4828,1035.9083,1031.8049,1032.0009,1049.1296
