V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
639.09174,562.78754,506.90915,474.9867,467.1136,477.0231,497.28,521.67365,552.50934,587.69995,623.8216,668.76373,705.46515,726.2385,717.4342,717.66254,709.27435,700.0453,691.3575,685.5064,670.0905,647.9788,637.1253,645.7008,645.30396,648.0859,650.7426,653.50073,656.4173,658.9684,661.4641,664.3067,667.52716,670.49713,673.2592,674.95294,673.56,672.8596,671.4979,669.32733,666.8908,664.4914,662.1788,659.96484,657.84467,655.79694,653.7269,626.6532
2907.5789,2634.899,2422.0625,2280.8782,2204.0464,2163.4753,2170.7542,2241.3162,2345.7898,2481.7695,2654.2058,2838.8484,2982.8003,3048.2822,3050.3967,3082.3657,3097.302,3108.0454,3124.4807,3113.8303,3030.2593,2918.0278,2867.4646,2875.0486,2868.517,2872.7266,2879.6477,2885.2458,2892.9712,2902.1975,2911.7998,2920.8367,2928.8062,2934.5776,2937.941,2939.785,2941.985,2944.1384,2946.524,2948.136,2948.9949,2949.2632,2949.095,2948.607,2948.046,2947.61,2946.765,2896.4978
1199.2178,1122.8718,1052.6998,999.7415,953.1642,922.0444,900.59937,892.08307,908.6492,949.4127,986.40533,1028.248,1067.3245,1108.1171,1134.5833,1147.6033,1158.2687,1163.6079,1165.6194,1174.855,1178.4496,1168.957,1145.0707,1127.033,1120.4232,1114.7438,1110.9025,1107.2616,1103.0364,1098.093,1091.5758,1083.747,1074.8035,1064.0983,1051.4337,1045.0238,1054.7648,1064.2477,1075.0365,1085.8942,1096.0704,1105.7902,1115.2795,1124.5344,1133.5677,1142.3923,1150.9875,1176.9811
5368.062,5142.6836,4895.3813,4639.944,4408.6323,4235.6855,4128.9536,4073.032,4062.3513,4095.9187,4184.1035,4321.558,4490.362,4622.3867,4729.428,4779.384,4822.88,4873.427,4948.9785,5009.8345,5027.5,4995.033,4938.8413,4883.545,4862.312,4835.9404,4808.2466,4776.513,4734.3647,4680.0625,4615.562,4543.6514,4462.681,4368.7812,4260.563,4207.7803,4284.88,4361.209,4438.5425,4515.6577,4591.08,4665.0894,4737.473,4808.3813,4877.7637,4945.4336,5011.227,5352.449
3133.7305,2920.363,2671.655,2402.279,2135.6135,1903.786,1728.2733,1619.881,1584.6782,1619.5972,1720.4673,1855.779,2043.5747,2232.1287,2384.1519,2470.106,2562.3296,2641.113,2702.3674,2748.9973,2787.11,2760.3843,2663.6047,2572.8528,2537.05,2501.5247,2473.9224,2448.1445,2416.75,2379.8975,2337.1477,2288.9365,2234.4314,2170.9343,2096.2908,2060.8184,2119.467,2177.0894,2235.4565,2293.6555,2350.36,2405.5815,2459.4482,2511.9683,2563.187,2613.2495,2661.94,2946.047
5058.593,5109.8374,5226.461,5381.5923,5554.1655,5750.4062,5967.941,6186.681,6446.6655,6730.2915,6936.33,7071.5225,7036.6235,6722.375,6387.1465,6357.396,6315.227,6188.6147,6017.036,5880.283,5723.7866,5610.5815,5685.8477,5874.801,5902.5625,5934.376,5970.202,6010.121,6063.206,6128.5527,6202.5547,6282.0044,6367.868,6458.255,6561.6606,6642.408,6500.96,6361.565,6226.331,6092.375,5959.8813,5829.788,5702.1953,5577.8467,5457.0234,5340.373,5228.548,5452.3057
44805.074,42746.047,39935.37,37112.52,34482.395,32344.371,30931.812,29903.684,29381.9,29642.455,30553.45,31956.627,33675.316,35403.453,36835.16,37460.418,38102.043,38810.71,39375.676,39834.51,40223.16,40118.695,39349.152,38544.816,38251.9,37923.23,37650.33,37385.867,37040.457,36620.504,36133.992,35584.367,34966.156,34254.66,33432.383,33042.863,33673.68,34296.996,34914.836,35526.215,36127.965,36716.87,37292.92,37856.99,38406.434,38942.8,39464.848,42264.184
27906.352,25813.422,24355.36,23343.953,22880.912,23046.078,23668.129,24559.086,25733.846,27208.975,28751.816,30294.684,31616.145,32344.941,31923.037,32130.812,32218.426,32144.324,31801.424,31428.19,30706.752,29512.576,28884.113,29168.764,29120.045,29177.273,29300.975,29430.67,29611.041,29828.19,30064.807,30317.363,30589.783,30874.52,31185.238,31410.887,31071.463,30729.307,30387.393,30045.932,29707.318,29374.754,29049.506,28733.084,28426.322,28130.707,27846.89,27091.43
36157.035,33893.492,31994.873,30559.617,29599.988,29189.469,29370.635,29928.047,30852.973,32094.613,33472.66,34876.55,36106.395,36837.973,37043.426,37418.445,37665.285,37725.26,37662.543,37480.457,36869.867,36001.816,35570.98,35596.016,35527.613,35542.375,35583.17,35614.86,35660.926,35718.03,35769.113,35800.88,35815.793,35809.625,35777.008,35759.543,35814.51,35864.938,35912.785,35958.477,36001.46,36042.605,36081.938,36119.81,36156.86,36193.56,36229.793,35829.89
435.21976,424.86545,412.43405,402.8447,398.6138,394.8732,391.07626,389.68307,390.45724,393.4437,399.0925,405.7377,413.24515,418.45526,422.4794,424.0003,425.38574,426.32986,426.873,428.1387,428.8848,427.60123,424.022,420.2532,419.54034,418.20374,417.71982,416.47275,415.60062,415.19348,414.84827,414.46967,414.00183,413.44327,412.78915,412.7042,410.5897,412.38733,414.8331,417.3794,418.68582,419.4247,420.11517,420.76724,421.3886,422.05096,422.79227,428.30518
25117.705,23884.568,23168.22,23050.934,23415.564,24232.049,25266.87,26579.904,28074.377,29528.229,31404.506,33799.016,35161.16,34439.79,32793.105,32734.783,32508.19,32352.264,32274.09,31695.664,30061.37,28362.873,28143.328,29010.543,29074.729,29226.5,29437.955,29659.637,29940.418,30267.818,30653.832,31103.227,31597.033,32101.299,32653.95,33068.63,32375.445,31683.11,30998.02,30319.574,29650.768,28994.236,28352.863,27728.424,27123.664,26539.455,25978.383,26068.281
7644.6816,7041.2666,6615.9727,6320.888,6176.098,6188.464,6309.429,6562.4644,6929.9893,7382.4,7871.374,8358.402,8777.672,8981.807,8836.333,8916.61,8971.467,8978.248,8913.954,8820.218,8591.234,8191.7227,7984.3613,8066.6235,8047.278,8063.06,8097.6724,8132.1694,8184.236,8249.718,8322.212,8399.404,8481.795,8567.458,8659.468,8725.518,8626.62,8527.162,8428.889,8329.862,8231.421,8134.4136,8039.4634,7947.0967,7857.641,7771.308,7688.7666,7451.364
515.2921,529.707,514.2008,497.58032,486.05783,482.12442,490.85754,502.49533,518.37506,534.2641,557.78125,590.00574,613.33527,624.10565,602.20807,602.1377,604.4029,605.6918,605.3231,601.6206,595.0446,583.09,561.53546,548.2478,557.23425,557.841,559.6139,561.88184,567.6055,568.8952,574.084,579.41736,585.05743,591.4377,598.5285,603.0523,595.33954,588.70013,583.7029,578.01025,571.72345,565.0298,558.8994,552.7277,546.8226,541.33093,535.88904,529.4614
171.63696,163.97751,155.93375,148.27121,143.6113,140.28593,136.93494,136.17111,138.67253,142.39081,147.59158,151.49771,155.97383,160.51236,164.62083,166.39139,167.56143,168.78407,169.65279,169.15784,169.43506,169.2327,166.86185,164.44785,163.35007,161.72937,160.82234,160.36171,158.94073,158.31055,157.84833,157.3754,156.75055,156.01779,155.10243,154.1708,155.61557,156.60704,158.61298,160.69115,161.76932,162.50468,163.21916,163.97618,164.76585,165.57727,166.4035,171.84387
13078.753,12121.175,11454.336,10969.08,10754.723,10890.115,11287.092,11764.24,12289.492,12932.676,13591.129,14267.838,14862.612,15225.814,15048.207,15117.478,15109.135,15031.542,14836.531,14660.537,14344.73,13823.952,13547.941,13682.808,13662.89,13690.033,13751.2,13818.936,13910.112,14016.343,14132.392,14258.12,14396.091,14542.151,14704.492,14823.544,14640.744,14457.028,14274.852,14092.774,13912.5,13735.338,13562.064,13393.47,13229.976,13072.63,12921.22,12584.959
1310.1741,1211.959,1122.871,1052.5348,1000.06995,962.41766,947.51807,965.2424,1007.5942,1066.6356,1138.5017,1199.5599,1242.1488,1266.2632,1281.7936,1305.7347,1331.7836,1353.1342,1356.8651,1333.249,1296.8806,1263.2124,1248.0376,1247.7001,1246.2014,1246.0066,1245.2349,1243.6296,1243.1375,1243.2806,1242.9357,1240.8289,1236.423,1230.0541,1222.0157,1217.7667,1223.9147,1229.9465,1237.1476,1244.1769,1250.5093,1256.6003,1262.5403,1268.3745,1274.1218,1279.7758,1285.3132,1306.3948
54203.47,49919.316,46039.31,43185.84,41319.605,40498.78,40672.242,41364.555,42505.31,44424.62,46935.05,49783.156,52068.86,53659.508,54265.617,54976.215,55328.707,55537.14,55621.824,55357.797,54221.336,52688.113,51747.754,51663.613,51501.54,51496.938,51560.273,51621.0,51704.58,51806.504,51909.426,51987.094,52034.12,52036.71,51994.434,51973.555,52071.965,52161.59,52244.832,52323.094,52396.305,52466.12,52532.87,52596.336,52658.27,52719.5,52779.785,52579.812
27223.754,24779.54,23162.443,22303.59,22263.965,22914.941,23865.404,24914.16,26390.516,28000.26,29549.78,31243.543,32707.285,33163.38,32410.803,32427.535,32211.875,31772.781,31278.63,30971.928,30320.16,29148.848,28700.832,29161.732,29174.035,29284.5,29445.52,29603.197,29788.719,29984.578,30191.9,30419.098,30667.027,30926.504,31204.266,31402.453,31084.621,30764.861,30446.79,30130.59,29817.98,29511.275,29211.545,28919.895,28637.19,28364.72,28103.006,27216.945
