V1,V2,V3,V4,V5,V6
7652.9507,7686.6206,7685.6265,7723.02,7913.9487,7803.1772
1213.4164,1009.71454,1050.4673,1256.0353,1447.4031,1259.1931
8725.324,8953.44,8958.92,9024.337,9029.507,9459.701
9878.134,10111.331,10119.156,10162.463,10157.378,10504.28
7336.653,7537.5854,7538.401,7679.958,7668.7363,8029.678
3598.9888,3400.7476,3488.5063,3683.8494,3862.9192,3760.3022
3077.4363,2842.277,2876.7822,3031.7446,3243.859,3152.393
2315.3748,2275.269,2219.9797,2307.38,2285.605,2307.3013
2193.3447,2155.352,2163.5957,2218.1282,2334.5981,2217.8992
2179.983,2084.5532,2091.755,2122.522,2140.061,2129.2288
1509.9257,1392.7751,1443.6982,1481.2876,1483.2206,1478.2716
1941.0724,1960.8281,1983.7742,2061.2979,2264.679,2107.9285
5189.116,5448.2837,5511.0137,5589.1255,5691.754,6131.671
5267.527,5516.126,5546.733,5609.6543,5652.3716,6007.048
5579.6343,5822.834,5882.2285,5922.085,5956.002,6346.509
3241.7622,3237.7195,3234.4214,3345.9834,3459.2285,3509.9292
4101.943,4259.653,4253.0977,4398.676,4389.593,4616.792
3692.8052,3700.9116,3692.722,3797.3276,3827.7598,3947.4514
2480.6436,2211.4622,2268.0564,2520.5251,2503.461,2499.5437
6482.9175,6258.7144,6379.4214,6629.0215,6739.9756,6869.9023
8801.507,8566.099,8749.1045,9007.478,9161.38,9301.113
3456.0977,3127.4685,3151.5767,3396.515,3551.6382,3377.6807
8092.1187,7726.416,7723.9224,7899.93,8012.497,7489.151
7188.9624,6810.544,6826.864,7038.55,7150.543,6667.5435
2112.1755,1945.3545,1979.4233,2147.6611,2256.43,2243.0388
5822.398,5398.3584,5461.6157,5689.1104,5882.13,5584.791
1506.3658,1321.7983,1348.8761,1504.24,1616.2478,1548.6099
1511.0138,1297.0487,1311.6731,1462.9933,1679.4056,1540.0284
3875.0684,3598.6099,3719.5574,3866.0825,3935.64,3926.7075
4352.0254,4442.8804,4467.363,4470.6426,4570.6597,4668.9653
3527.367,3369.8718,3365.7866,3360.3877,3363.96,3373.0598
5124.3145,4972.3984,5002.064,5175.0605,5395.167,5188.029
1236.7938,1242.8014,1234.4929,1228.9825,1233.706,1274.1436
1582.1598,1538.9327,1744.5955,1650.9292,1750.3695,1656.78
3159.3904,3080.4265,3147.1113,3259.4172,3270.1138,3248.9253
1104.9612,1038.6256,1043.0116,1090.1772,1143.7551,1152.1096
3712.4077,3503.9363,3596.2786,3753.9568,3884.3396,3771.5076
11486.092,11570.369,11423.679,11431.661,11456.069,11896.118
3443.0186,3432.3398,3369.2456,3395.2273,3575.9128,3441.53
4817.4736,5078.79,5107.8853,5173.794,5293.2983,5532.286
15011.13,15250.057,15296.57,15415.897,15625.105,15850.2295
6010.014,6318.8994,6436.175,6399.6167,6575.3516,6835.419
2995.7634,3202.6287,3268.3982,3306.727,3441.0464,3735.3862
10363.9,10665.826,10713.939,10824.439,10994.711,11370.238
10332.026,10632.044,10683.48,10769.016,10933.8,11322.23
6832.6367,7076.6504,7130.481,7186.705,7395.029,7712.2656
6840.308,7084.0654,7137.8745,7194.243,7401.3115,7719.2344
7733.096,8149.2734,8194.669,8277.715,8503.148,8541.674
2549.425,2584.5698,2595.9595,2607.2603,2612.6807,2746.6958
18881.291,19102.787,19113.074,19214.889,19335.018,19631.982
8335.466,8495.034,8479.944,8575.46,8580.077,8758.496
16832.227,17285.05,17401.008,17548.777,17595.475,17757.252
15235.467,14909.861,15026.608,15239.332,15445.2705,14843.507
8801.25,9303.5205,9532.363,9506.547,9737.437,10277.657
2715.9985,3076.3489,3015.2363,3049.4707,3173.1897,3325.3892
11453.359,11786.983,11954.563,12077.61,12261.762,12522.866
2094.4207,2339.8623,2275.4773,2348.2605,2415.958,2564.9316
11375.207,11566.53,11555.073,11647.979,11683.355,12073.032
10246.725,10457.111,10561.539,10533.298,10672.036,10998.229
10300.97,10592.475,10661.448,10720.283,10934.607,11336.7705
11059.136,10777.81,10984.76,11099.236,11262.626,11547.348
11653.445,11712.254,11724.769,11752.47,11826.377,12691.456
10410.45,10972.869,11216.062,11475.001,11785.853,12492.772
13132.686,13562.322,13767.806,13680.227,13741.892,14210.791
10386.176,10659.764,11133.236,11102.956,11421.465,12401.957
10115.602,10228.889,10406.1875,10587.264,10783.241,10987.062
10564.808,10554.531,10548.069,10622.756,10871.428,10780.116
10819.807,10853.962,10833.495,10953.914,11143.689,10990.963
10204.656,10435.538,10466.289,10608.727,10888.828,11018.964
10229.717,10408.4,10668.453,10903.78,11049.896,11331.111
11266.55,11441.437,11628.3125,11736.737,11966.977,13029.7295
10602.768,10864.955,10973.073,11141.975,11235.076,11558.463
9587.211,9599.78,9473.829,9167.695,9130.558,9189.726
9937.42,9755.213,9575.032,9386.797,9370.849,9403.478
10142.114,10068.272,9990.267,9811.947,9811.329,9717.794
10073.727,10152.926,10183.66,10128.36,10138.98,10438.141
10085.745,10472.234,10493.587,10659.007,10782.714,10887.076
9970.65,10325.086,10411.603,10523.675,10696.3955,11157.176
6595.1743,6554.081,6447.029,6456.559,6560.8867,6793.581
6705.701,7009.4673,6952.6426,6994.0435,7148.271,8159.557
4585.0356,4796.4004,4814.926,4902.914,5036.7783,5356.004
14245.26,14518.467,14726.6875,14906.31,15257.749,16584.54
9520.986,9909.206,10015.291,10131.406,10357.7,10847.356
3751.2002,3754.4443,3797.6594,3838.4644,3910.7058,3937.7927
1425.0985,1468.9835,1472.5681,1491.2693,1543.4291,1536.489
3250.1018,3211.3965,3154.136,3374.4492,3202.4512,3450.2273
10682.198,10685.553,10760.431,10530.573,10399.59,11215.188
12493.53,12561.086,12494.252,12737.917,12758.533,13130.777
2217.6943,2290.6895,2310.234,2415.296,2744.6016,2805.223
7295.1973,7316.002,7497.172,7302.517,7002.424,8262.461
7882.177,7642.4854,7737.3433,7976.5854,8219.953,8240.678
3120.3306,3364.6917,3494.288,3500.0193,3604.0005,3936.8486
7959.703,8379.373,8396.435,8685.486,8422.097,8911.701
6862.6177,7100.8833,7000.6265,6935.0073,6934.1455,6816.7646
6379.822,6552.987,6584.8164,6668.606,6769.154,6791.707
7428.513,7481.4307,7519.662,7542.0854,7398.8213,7916.5757
6485.9404,6534.4478,6525.951,6722.037,6682.182,6616.731
9058.712,9003.695,8946.955,9181.745,9154.798,8951.366
8172.9336,8286.051,8259.093,8326.401,8335.184,8431.074
9064.479,9468.209,9328.721,9279.861,9353.572,9194.723
1539.7583,1733.0355,1792.7229,1982.4508,2097.1199,2074.9146
9533.426,9577.629,9621.919,9671.286,9720.887,10011.45
3531.9927,3260.6072,3313.3884,3508.9722,3757.6404,3719.7502
2057.7793,1842.695,1811.9458,1714.5732,1659.5322,1829.0186
2116.4897,2351.1138,2379.2815,2281.5413,2355.9895,2069.7532
1912.8354,2198.4448,2203.8557,2263.2874,2285.4336,2442.8828
3306.0225,3599.1948,3632.8655,3677.2502,3578.4753,4033.3386
1328.608,1850.9049,1823.7686,1795.3936,1740.3126,1597.8391
2930.448,2896.9695,2868.4731,2898.084,2852.4817,2930.6687
2163.6255,2145.679,2073.9639,2091.6292,2155.7715,1959.6545
2079.482,2567.472,2499.6736,2356.217,2286.0647,2068.3665
1160.895,1304.7065,1319.3071,1349.2548,1274.3552,1304.5967
2019.649,1901.7891,1979.8419,1899.7202,1866.184,1931.6647
1769.5808,2234.945,2238.542,2198.7827,2160.2168,1957.1218
1566.3735,1666.5227,1682.6385,1764.3862,1679.819,2064.9941
2075.5288,2188.8787,2368.3132,2459.6414,2442.8865,2473.729
1850.8368,2041.0032,2144.529,2469.8574,2274.2134,2693.1611
1134.6738,1415.8903,1419.5319,1408.8915,1472.2607,1393.7344
2288.9114,2516.3557,2462.493,2439.417,2425.5232,2391.8972
1726.1481,1693.78,1611.6836,1509.525,1611.6428,1492.1599
3534.9634,3574.2427,3599.4827,3869.8413,3968.8914,3738.0894
1912.5264,1802.3749,1850.2351,2059.3987,2178.9207,2351.2935
2263.8813,2148.7454,2154.63,2194.4993,2186.8784,2197.8162
2437.767,2225.5637,2190.872,2426.275,2508.4187,2755.6235
8126.995,8533.663,8579.465,8661.8545,8679.832,8867.862
4931.48,5217.9756,5232.6787,5236.2573,5085.0825,5130.4014
7237.4756,7688.393,7755.6567,7588.4683,7550.776,7461.3984
9729.511,9580.162,9638.977,9795.044,9930.401,9874.228
5068.8057,5512.4355,5508.184,5514.421,5371.228,5423.871
6726.809,6995.2744,7011.16,7113.796,7139.085,7443.2925
8506.662,8581.65,8624.445,8615.519,8668.267,8873.883
7133.642,7228.8794,7232.7427,7228.9194,7241.069,7101.5566
4750.6133,4856.245,4827.1187,4997.1294,5094.769,5163.5186
10750.061,11195.601,11394.592,11354.251,11579.153,11889.567
8426.935,8138.5664,8344.789,8584.673,8773.212,8924.433
3264.594,3613.1086,3675.4592,3646.6587,3634.3523,4008.1958
3299.1897,3472.027,3489.0679,3502.8184,3540.291,3870.799
11730.751,11932.282,12001.715,11979.673,12123.537,12600.749
9556.252,10039.323,10136.953,10098.206,10055.596,10397.099
6138.598,6214.35,6248.459,6247.216,6120.9863,6561.3984
5152.7534,5392.448,5476.4307,5512.094,5765.063,5895.86
4550.111,4360.0103,4376.976,4514.184,4552.9746,4441.5703
4395.278,4469.854,4504.1377,4451.7935,4380.1035,4863.9155
5110.767,5157.654,5231.979,5537.7725,5533.209,5452.4355
13198.058,13395.984,13416.229,13507.753,13652.813,13994.089
7618.726,7310.6177,7490.903,7756.7446,8089.554,8061.1606
2248.1216,2450.498,2472.6152,2473.1023,2514.6135,2914.4658
6537.3364,6650.047,6666.698,6649.957,6600.363,6966.3755
2925.372,3117.7078,3147.5378,3147.4324,3254.532,3588.497
8160.277,8175.0625,8264.524,8142.8984,8175.0938,8183.3057
2127.5793,2126.7847,2071.1853,2032.9531,2032.4779,2273.8318
7926.841,7424.5596,7625.878,7998.1553,7852.414,8305.113
9624.617,9196.776,9391.065,9631.791,9831.899,9951.429
2632.5957,3090.6487,3089.9714,3056.391,3163.968,2890.7576
11832.682,12139.658,12225.707,12295.419,12502.563,13046.026
3316.1826,3482.8362,3519.3066,3541.6213,3548.456,3795.8489
2991.6475,3312.5303,3389.5613,3382.7656,3375.4197,3748.5547
3290.5603,3464.686,3482.0444,3495.654,3535.7283,3864.745
5518.7236,5401.0493,5641.8223,5702.1294,5491.878,5980.221
3126.7883,3132.5872,3223.8086,3345.9531,3392.9153,3410.046
9207.215,9129.539,9273.74,9506.006,9613.646,9881.631
11536.616,11767.874,11970.36,11864.681,12035.816,12569.138
2979.3972,3049.219,3080.6924,3213.2874,3219.3757,3347.1924
7225.6035,7106.5127,7018.608,6947.262,6997.2637,7119.277
9873.529,10151.485,10218.952,10194.96,9847.678,10428.082
15673.447,15268.517,15497.417,15547.626,15426.916,16085.039
13891.895,14026.537,13957.133,13945.853,13911.434,14278.478
3248.4868,3158.555,3311.7712,3525.4155,3506.775,3685.255
8383.188,8598.277,8784.832,8887.455,9036.486,9279.448
6422.476,6761.0317,6757.122,6758.264,6962.3936,7102.28
3075.4543,3371.4424,3452.6458,3480.3071,3478.5193,3830.9219
1569.5293,1806.5146,1845.7568,1925.0388,1990.1407,1724.3934
17876.705,18070.637,18067.635,18083.23,18216.516,18478.467
3183.677,3310.1147,3288.8674,3356.917,3610.7554,3509.4644
3696.5662,3757.8916,3750.685,3755.4023,3906.732,4078.393
1154.0763,1251.9296,1257.5634,1262.5104,1268.3137,1429.8678
4025.8801,4265.4717,4280.6387,4361.781,4545.825,4734.9976
1781.898,1530.7412,1717.0411,1910.3813,1759.1124,2198.0303
1879.2291,1860.9528,1850.7532,1836.294,1834.3512,1776.1534
3817.7937,3768.672,3840.8218,3775.2546,3574.1455,3990.163
8636.119,8664.907,8850.226,9104.288,9255.637,9473.963
2199.1543,2340.3838,2314.6243,2391.5535,2418.9602,2454.3123
11735.927,11964.333,12007.079,12057.817,12150.771,12493.578
2032.253,2066.5537,2081.1326,2096.208,2165.998,2215.7866
1313.1912,1230.0149,1437.892,1390.6763,1366.308,1416.1355
2041.1738,2046.5146,2028.6134,2034.1709,2038.5205,2054.849
4610.3716,4661.2646,4655.2974,4685.554,4775.493,4839.284
2208.6143,2203.8157,2248.0867,2222.0068,2170.2478,2210.463
10026.4,10234.272,10232.389,10284.679,10322.059,10614.926
6113.453,5749.198,5741.819,6044.967,5874.624,5656.051
