V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
152.58774,158.37953,155.20407,152.15508,151.30092,159.69278,155.56357,147.96297,148.83679,154.72714,152.53638,149.22546,152.10953,158.12692
152.58673,158.38063,155.20407,152.15498,151.3011,159.69254,155.56314,147.964,148.83714,154.72787,152.53688,149.22418,152.10805,158.1276
152.58989,158.37729,155.20424,152.15167,151.29778,159.69666,155.56421,147.95793,148.83423,154.72604,152.53609,149.22606,152.11583,158.12885
152.59357,158.37355,155.20245,152.14806,151.29599,159.69624,155.56812,147.95541,148.83423,154.72736,152.53448,149.22842,152.12012,158.12704
152.58801,158.37926,155.20407,152.15477,151.30072,159.69302,155.56363,147.96257,148.8367,154.72714,152.53636,149.2255,152.11014,158.12698
152.58752,158.37973,155.20383,152.15459,151.30087,159.69244,155.56323,147.96327,148.8377,154.72702,152.53702,149.22491,152.10944,158.12723
152.599,158.36414,155.20778,152.15738,151.29471,159.70412,155.57254,147.95218,148.81912,154.71487,152.53094,149.23088,152.12434,158.11589
152.58759,158.37967,155.20415,152.15504,151.30098,159.69283,155.56349,147.96315,148.83694,154.727,152.53645,149.22519,152.10938,158.12692
152.58755,158.37971,155.20413,152.15506,151.30103,159.69278,155.56348,147.96321,148.83698,154.72702,152.53645,149.22516,152.1093,158.12692
152.5872,158.38016,155.20401,152.15459,151.30113,159.69254,155.56284,147.96361,148.83763,154.72739,152.53676,149.22432,152.10916,158.12753
152.5875,158.37985,155.20412,152.15468,151.30089,159.69276,155.56308,147.96338,148.83696,154.72762,152.53665,149.22455,152.10948,158.12749
152.58759,158.37965,155.20421,152.15518,151.3012,159.6926,155.56345,147.9633,148.83714,154.72713,152.53624,149.2252,152.10918,158.12666
152.58752,158.37979,155.20406,152.15492,151.30075,159.69283,155.56342,147.96315,148.83694,154.72714,152.53662,149.22505,152.1094,158.12723
152.58954,158.37758,155.20445,152.1539,151.29959,159.6946,155.56458,147.96037,148.83528,154.72612,152.53587,149.2265,152.11307,158.1267
152.59804,158.36612,155.20529,152.15274,151.29517,159.70027,155.57053,147.94887,148.82745,154.71944,152.53056,149.23364,152.12555,158.11847
152.58778,158.37955,155.204,152.15462,151.30054,159.69319,155.56323,147.96292,148.83658,154.72711,152.53674,149.22488,152.11009,158.1276
152.58775,158.37949,155.20422,152.15524,151.30103,159.69264,155.56363,147.96307,148.83679,154.72693,152.53618,149.22571,152.10944,158.12668
152.58708,158.38019,155.2039,152.15558,151.30167,159.69176,155.56348,147.96426,148.8378,154.72789,152.53642,149.22475,152.1077,158.12634
152.58957,158.37766,155.20355,152.15382,151.29974,159.69374,155.56482,147.96072,148.83553,154.72691,152.53601,149.22726,152.11256,158.12659
152.5868,158.38051,155.20407,152.15514,151.3013,159.69226,155.56291,147.96422,148.83746,154.72772,152.53677,149.22421,152.1081,158.1274
152.58958,158.37764,155.20355,152.15378,151.29971,159.69377,155.56483,147.9607,148.83551,154.72694,152.53606,149.22723,152.11261,158.12662
152.58765,158.3795,155.20389,152.15567,151.30127,159.69312,155.56404,147.96329,148.83737,154.72601,152.53668,149.22516,152.10889,158.12585
152.58676,158.3805,155.20377,152.15598,151.30182,159.69215,155.5634,147.96452,148.83809,154.72693,152.53688,149.22432,152.10727,158.12628
152.58762,158.37956,155.2039,152.15569,151.30127,159.6931,155.564,147.96335,148.8374,154.72601,152.53668,149.2251,152.10883,158.12589
152.58704,158.38019,155.2038,152.15582,151.30164,159.69238,155.56345,147.96405,148.83784,154.72672,152.53679,149.2247,152.1079,158.12637
152.58794,158.37921,155.20393,152.15553,151.30106,159.69336,155.56409,147.96281,148.83713,154.72577,152.53656,149.22552,152.1095,158.12595
152.5867,158.38055,155.20377,152.15596,151.30185,159.69211,155.56334,147.9646,148.83809,154.72693,152.53693,149.22427,152.10721,158.12633
152.58159,158.38492,155.20215,152.15833,151.30554,159.68504,155.5611,147.97333,148.84157,154.73155,152.53784,149.21912,152.09538,158.12486
152.58862,158.37866,155.2041,152.15433,151.30042,159.69325,155.56381,147.96193,148.83644,154.72708,152.53625,149.22565,152.11127,158.12698
152.58165,158.38486,155.20215,152.1582,151.3054,159.68515,155.5611,147.97313,148.84154,154.73161,152.53784,149.21913,152.09561,158.12498
152.58646,158.38065,155.2041,152.15674,151.30244,159.69089,155.56326,147.96541,148.83823,154.7274,152.53612,149.22482,152.10611,158.12572
152.58646,158.38065,155.2041,152.15675,151.30246,159.69089,155.56326,147.96542,148.83821,154.7274,152.53612,149.22484,152.10608,158.12572
152.58682,158.38045,155.2037,152.1553,151.3016,159.69167,155.5632,147.96425,148.83829,154.72745,152.53674,149.22495,152.1076,158.12671
152.58832,158.37889,155.20398,152.15533,151.30063,159.69418,155.56404,147.96152,148.83585,154.72618,152.5363,149.22595,152.11061,158.12654
152.58495,158.38248,155.20401,152.15549,151.30215,159.69069,155.56221,147.96632,148.83891,154.72952,152.53737,149.2218,152.1047,158.12769
152.58713,158.38019,155.20383,152.15521,151.30148,159.69176,155.56348,147.96431,148.83766,154.72807,152.53664,149.22456,152.1079,158.12672
152.58652,158.38078,155.20389,152.15631,151.30154,159.69139,155.56271,147.9649,148.83704,154.72711,152.53687,149.22476,152.10736,158.12749
152.58568,158.38174,155.20435,152.15564,151.30121,159.69183,155.56247,147.96455,148.83826,154.72745,152.53748,149.22275,152.107,158.12822
152.59056,158.3765,155.20428,152.15297,151.29944,159.69395,155.56432,147.95987,148.8359,154.72499,152.53581,149.22723,152.11536,158.12683
152.58852,158.37863,155.20404,152.15526,151.30086,159.69289,155.56439,147.9624,148.83633,154.72707,152.53593,149.22629,152.11012,158.12587
152.58736,158.38007,155.20406,152.15477,151.30038,159.6936,155.56357,147.96463,148.83708,154.72778,152.53806,149.22142,152.10866,158.12686
152.58882,158.37843,155.2044,152.15363,151.29933,159.6943,155.56322,147.96045,148.83508,154.72643,152.5362,149.22635,152.11328,158.1287
152.58842,158.37881,155.20404,152.1545,151.30048,159.69348,155.56374,147.96208,148.8363,154.72687,152.53629,149.22578,152.11095,158.12701
152.58649,158.3808,155.20404,152.15552,151.30164,159.69179,155.56296,147.96484,148.83798,154.72772,152.53687,149.22388,152.1072,158.12708
152.58769,158.37955,155.20406,152.15529,151.30115,159.69266,155.56363,147.96336,148.83705,154.72687,152.53647,149.2253,152.10918,158.12659
152.58736,158.37991,155.20418,152.15526,151.301,159.69269,155.56342,147.96338,148.83696,154.72682,152.53656,149.22519,152.10901,158.12709
152.58688,158.3804,155.20412,152.15553,151.30167,159.69193,155.56317,147.9643,148.83766,154.72755,152.53645,149.22456,152.10777,158.12674
152.58833,158.3789,155.20407,152.15451,151.30046,159.69344,155.5637,147.96207,148.83646,154.72687,152.5363,149.22571,152.11087,158.12704
152.58838,158.37888,155.20409,152.15443,151.3004,159.69354,155.56366,147.96199,148.83636,154.72687,152.5363,149.22568,152.11101,158.12718
152.58743,158.37987,155.204,152.15485,151.3009,159.69254,155.56348,147.9633,148.83727,154.72734,152.53665,149.22499,152.10915,158.12717
