V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
9.998676,11.338259,10.329049,8.425754,11.021247,10.338121,11.576055,9.442971,11.146247,11.00368,10.532269,10.589493,10.009853,11.376209,10.295391,8.386696,10.989749,10.359167,11.618456,9.424823,11.12344,11.016827,10.5334835,10.608344,9.994646,11.357292,10.319329,8.405944,11.007582,10.355159,11.593835,9.457878,11.093468,11.014381,10.519592,10.620847,9.994452,11.319381,10.2944145,8.37986,11.026487,10.357715,11.562538,9.493306,11.1336355,11.085603,10.512796,10.571113
9.998341,11.337289,10.328879,8.42553,11.022034,10.337939,11.575548,9.442335,11.1481495,11.004087,10.533643,10.588401,10.009478,11.375228,10.295198,8.386469,10.990501,10.358958,11.617911,9.424152,11.125308,11.017212,10.534856,10.607217,9.994295,11.356291,10.31912,8.405737,11.008337,10.354942,11.593296,9.457197,11.095341,11.014764,10.520959,10.61974,9.994104,11.318345,10.294151,8.379611,11.027211,10.357491,11.561993,9.492659,11.135487,11.085949,10.51412,10.569972
9.997465,11.339296,10.32822,8.423821,11.021219,10.334721,11.575277,9.442524,11.150467,11.004655,10.535324,10.589399,10.008546,11.37726,10.294573,8.384819,10.9896755,10.355761,11.617555,9.424384,11.127628,11.017803,10.536531,10.608186,9.993462,11.358379,10.318511,8.404089,11.007617,10.3517685,11.593013,9.457392,11.097639,11.015368,10.522673,10.620711,9.993263,11.320406,10.293507,8.378029,11.026427,10.35428,11.561726,9.492802,11.137819,11.0864725,10.515877,10.571005
10.000191,11.33717,10.329007,8.424059,11.021241,10.334887,11.576326,9.440267,11.149483,11.006132,10.534818,10.589323,10.011207,11.375227,10.295176,8.384869,10.989557,10.355974,11.618606,9.422044,11.126481,11.019213,10.536157,10.608006,9.996083,11.356327,10.319165,8.404251,11.007567,10.351877,11.593914,9.454986,11.096313,11.016689,10.522289,10.620594,9.996007,11.318284,10.294046,8.378276,11.026563,10.354352,11.562635,9.490505,11.136602,11.087954,10.515408,10.57083
9.997965,11.338968,10.328319,8.431896,11.023367,10.337431,11.573719,9.436118,11.147715,11.003107,10.538189,10.584318,10.008907,11.377146,10.294145,8.392382,10.991442,10.3585415,11.616041,9.417742,11.124397,11.016144,10.539632,10.602858,9.993839,11.358503,10.318485,8.412142,11.009782,10.354598,11.591356,9.450846,11.094118,11.013646,10.525986,10.615823,9.993989,11.32027,10.29317,8.386166,11.029091,10.35705,11.560132,9.486577,11.134646,11.08526,10.519012,10.565897
10.005896,11.338428,10.3300295,8.422314,11.022302,10.33355,11.574183,9.441078,11.14468,11.005505,10.530309,10.593324,10.016949,11.376486,10.2962675,8.383102,10.990622,10.354726,11.61646,9.422951,11.121756,11.0185795,10.531582,10.612024,10.001765,11.35751,10.320164,8.402361,11.008598,10.350496,11.591682,9.455809,11.091537,11.016,10.517664,10.624404,10.001714,11.319736,10.295291,8.37661,11.0277195,10.353073,11.56053,9.4913025,11.131905,11.087425,10.510969,10.574925
10.000151,11.338713,10.328318,8.424926,11.020476,10.333433,11.57619,9.440756,11.148569,11.005431,10.5355215,10.589875,10.0111885,11.376823,10.294509,8.385741,10.98881,10.35457,11.618495,9.422581,11.125557,11.018564,10.536862,10.608582,9.996092,11.357991,10.318563,8.405159,11.006904,10.350516,11.593843,9.455548,11.09539,11.016062,10.52305,10.621205,9.995998,11.3199,10.293417,8.379192,11.025873,10.352951,11.562549,9.491022,11.135721,11.087322,10.5161705,10.57143
10.000139,11.338665,10.328373,8.430349,11.023882,10.339455,11.574181,9.441257,11.143713,11.0007105,10.533857,10.586402,10.011261,11.376539,10.294661,8.3911705,10.99232,10.360446,11.616514,9.423099,11.120882,11.013809,10.535007,10.60519,9.996141,11.35774,10.318668,8.410509,11.01025,10.356531,11.591957,9.456182,11.090908,11.011368,10.521219,10.617706,9.995987,11.319923,10.293853,8.384541,11.029243,10.359127,11.560741,9.491623,11.131174,11.082707,10.514509,10.5681095
10.000754,11.336846,10.329033,8.425051,11.021853,10.336409,11.576263,9.442291,11.147202,11.004108,10.532957,10.589485,10.011847,11.374767,10.2954035,8.386005,10.99034,10.357437,11.618557,9.424153,11.12443,11.01722,10.534178,10.608284,9.996734,11.355815,10.319265,8.40523,11.008171,10.353394,11.593966,9.457129,11.094422,11.014748,10.5202465,10.620716,9.996527,11.317942,10.294366,8.379221,11.0270195,10.355945,11.562707,9.492555,11.1345825,11.085898,10.513468,10.571083
10.001917,11.33745,10.328476,8.427584,11.0221615,10.334902,11.576085,9.441882,11.145239,11.002285,10.5343895,10.588922,10.012992,11.375381,10.294883,8.388531,10.990677,10.355942,11.618381,9.423803,11.122515,11.015438,10.535613,10.607747,9.997993,11.35652,10.318797,8.407804,11.008598,10.351984,11.5938835,9.456796,11.092495,11.012979,10.52174,10.620195,9.997783,11.318678,10.293943,8.38187,11.027447,10.354536,11.562658,9.492203,11.132709,11.084162,10.5150175,10.570648
