V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
13.390139,7.4773684,9.317564,9.273228,11.584001,8.81672,9.703173,6.6711063,8.655326,9.484077,8.753794,8.461115,9.213641
13.390129,7.476206,9.319648,9.274092,11.583303,8.816545,9.7040415,6.670716,8.656727,9.4852085,8.752314,8.462095,9.209858
13.389878,7.4785237,9.315342,9.276535,11.584282,8.818199,9.701274,6.671397,8.653277,9.480337,8.752073,8.460983,9.219207
13.389405,7.4740143,9.325338,9.279759,11.584901,8.819414,9.701742,6.669191,8.652076,9.484759,8.747895,8.456594,9.214243
13.386456,7.4856787,9.301277,9.278474,11.583606,8.818655,9.696961,6.695917,8.649055,9.481269,8.749807,8.463269,9.201387
13.390053,7.4565945,9.352645,9.287108,11.586065,8.818881,9.706429,6.6418657,8.6686535,9.500343,8.743047,8.449646,9.184608
13.39222,7.473572,9.32238,9.285407,11.588591,8.817636,9.704172,6.662011,8.662443,9.478313,8.738739,8.473148,9.199262
13.385572,7.494028,9.299834,9.25672,11.592204,8.801487,9.713951,6.689183,8.6572075,9.461191,8.751137,8.481388,9.203052
13.390995,7.4792733,9.31757,9.275684,11.584592,8.813798,9.703789,6.66741,8.657552,9.477206,8.745859,8.469493,9.21744
13.391008,7.4788103,9.315117,9.27434,11.58452,8.81431,9.705051,6.6674557,8.656086,9.481198,8.750944,8.46495,9.218084
13.386559,7.471737,9.318149,9.274451,11.5842085,8.822787,9.6958065,6.6894307,8.657536,9.490512,8.754504,8.457689,9.187674
13.390619,7.4774995,9.314434,9.272739,11.583789,8.813562,9.704216,6.673214,8.657309,9.485133,8.751804,8.464762,9.2122
13.389546,7.4790163,9.313404,9.279328,11.58488,8.818981,9.699646,6.672491,8.65125,9.479027,8.751733,8.460351,9.221531
13.389772,7.4799623,9.314696,9.281455,11.584143,8.819857,9.700287,6.67008,8.65077,9.47677,8.749315,8.460261,9.223572
13.391051,7.480771,9.314035,9.2989025,11.581868,8.819967,9.701697,6.657977,8.65439,9.469608,8.734587,8.46804,9.220753
13.391051,7.480771,9.314035,9.2989025,11.581868,8.819967,9.701697,6.657977,8.65439,9.469608,8.734587,8.46804,9.220753
13.390319,7.4776692,9.31681,9.275545,11.584054,8.816118,9.703356,6.669917,8.655287,9.482846,8.751696,8.462706,9.215166
13.388926,7.475848,9.319751,9.277332,11.582957,8.819611,9.700688,6.6740522,8.653821,9.485096,8.753086,8.458527,9.20994
13.385748,7.465557,9.326761,9.322819,11.580782,8.831309,9.691839,6.6683245,8.6643505,9.4630785,8.725937,8.469964,9.183672
13.391544,7.4802036,9.31723,9.281737,11.587055,8.820917,9.701424,6.6637573,8.657663,9.476746,8.7456875,8.470868,9.205763
13.388123,7.484579,9.299854,9.284384,11.590569,8.826691,9.6859665,6.684713,8.643557,9.473071,8.754351,8.459942,9.219531
13.388668,7.4818964,9.323765,9.294538,11.587568,8.825169,9.701557,6.6528378,8.644806,9.478206,8.741949,8.44821,9.224677
