V1,V2,V3,V4,V5,V6
2213.8022,2232.7993,2225.1824,2201.963,2189.454,2169.804
2213.824,2232.8037,2225.1738,2201.9556,2189.4338,2169.7893
2213.7974,2232.7983,2225.183,2201.9617,2189.46,2169.8103
2213.7983,2232.7983,2225.1826,2201.9617,2189.4587,2169.8096
2213.7905,2232.7969,2225.184,2201.9602,2189.467,2169.8179
2213.796,2232.7979,2225.1846,2201.961,2189.4604,2169.812
2213.7996,2232.7986,2225.1843,2201.9612,2189.4563,2169.808
2213.804,2232.7996,2225.1824,2201.9634,2189.4514,2169.802
2213.802,2232.799,2225.1829,2201.963,2189.4539,2169.8044
2213.8037,2232.7996,2225.1829,2201.963,2189.4517,2169.8025
2213.8027,2232.7993,2225.1826,2201.9626,2189.4531,2169.804
2213.798,2232.7983,2225.1833,2201.962,2189.4583,2169.809
2213.794,2232.7979,2225.1824,2201.9614,2189.4639,2169.814
2213.7969,2232.7983,2225.183,2201.9626,2189.4597,2169.8096
2213.796,2232.7983,2225.1833,2201.9624,2189.461,2169.8103
2213.7957,2232.7979,2225.1821,2201.9622,2189.4624,2169.812
2213.7944,2232.7974,2225.1833,2201.9626,2189.4626,2169.8125
2213.7964,2232.7983,2225.1829,2201.9626,2189.4607,2169.8103
2213.7817,2232.796,2225.185,2201.9524,2189.4756,2169.8308
2213.802,2232.7993,2225.1821,2201.9612,2189.4553,2169.806
2213.798,2232.7988,2225.183,2201.9595,2189.4597,2169.8113
2213.801,2232.7988,2225.1846,2201.9597,2189.4546,2169.807
2213.81,2232.8008,2225.1816,2201.9607,2189.4456,2169.7976
2213.806,2232.8,2225.1833,2201.9614,2189.4487,2169.8013
2213.7998,2232.7988,2225.1836,2201.96,2189.4568,2169.8083
2213.804,2232.7998,2225.1836,2201.9597,2189.4517,2169.8037
2213.803,2232.7996,2225.1833,2201.96,2189.4536,2169.806
2213.8044,2232.8,2225.183,2201.9604,2189.4514,2169.803
2213.8035,2232.7993,2225.1829,2201.9626,2189.4521,2169.8032
2213.7976,2232.7983,2225.1838,2201.9624,2189.4585,2169.8093
2213.8037,2232.7993,2225.183,2201.9634,2189.4512,2169.802
2213.802,2232.7993,2225.1829,2201.9624,2189.4539,2169.8047
2213.7998,2232.7986,2225.1833,2201.963,2189.4563,2169.807
2213.8008,2232.7988,2225.1833,2201.963,2189.455,2169.806
2213.8005,2232.7988,2225.183,2201.9624,2189.4553,2169.8062
2213.8025,2232.7993,2225.183,2201.963,2189.4531,2169.804
2213.8013,2232.799,2225.1833,2201.9624,2189.4546,2169.8057
2213.7986,2232.7983,2225.1812,2201.9658,2189.4583,2169.804
2213.7844,2232.7952,2225.1853,2201.961,2189.4712,2169.822
2213.7925,2232.7974,2225.183,2201.961,2189.4653,2169.8157
2213.796,2232.798,2225.1829,2201.9617,2189.4614,2169.8113
2213.7869,2232.7964,2225.1836,2201.9587,2189.4712,2169.8228
2213.7886,2232.7969,2225.1836,2201.9597,2189.4692,2169.82
2213.7917,2232.797,2225.1833,2201.961,2189.4658,2169.8167
2213.7952,2232.7979,2225.183,2201.9612,2189.4624,2169.813
2213.7817,2232.795,2225.1826,2201.9573,2189.4768,2169.829
2213.7817,2232.7952,2225.1826,2201.9573,2189.4768,2169.8293
2213.8071,2232.8003,2225.1807,2201.9639,2189.4487,2169.7988
2213.8013,2232.7988,2225.1826,2201.9626,2189.455,2169.8054
2213.8005,2232.7988,2225.1829,2201.963,2189.456,2169.8062
2213.8003,2232.7988,2225.1829,2201.963,2189.4556,2169.806
2213.7861,2232.7964,2225.184,2201.9585,2189.4714,2169.8232
2213.7695,2232.7942,2225.1816,2201.95,2189.4858,2169.8447
2213.77,2232.7937,2225.1814,2201.9543,2189.4866,2169.8413
2213.7744,2232.7944,2225.1826,2201.955,2189.4824,2169.8367
2213.7598,2232.7917,2225.1816,2201.9531,2189.4932,2169.85
2213.7876,2232.7964,2225.183,2201.9583,2189.4712,2169.8232
2213.7927,2232.797,2225.1821,2201.96,2189.466,2169.8171
2213.8022,2232.7993,2225.1821,2201.962,2189.455,2169.805
2213.797,2232.7983,2225.1829,2201.961,2189.4604,2169.8108
2213.808,2232.8015,2225.18,2201.9595,2189.451,2169.8003
2213.7507,2232.79,2225.1777,2201.9558,2189.5002,2169.8545
2213.7861,2232.7969,2225.183,2201.9585,2189.4727,2169.8223
2213.8003,2232.7998,2225.1821,2201.9602,2189.458,2169.8076
2213.7954,2232.7996,2225.182,2201.9578,2189.4646,2169.814
2213.7979,2232.7986,2225.1816,2201.9592,2189.4614,2169.813
2213.7974,2232.7983,2225.1829,2201.9622,2189.46,2169.81
2213.8008,2232.799,2225.1824,2201.9624,2189.4568,2169.8066
2213.7915,2232.7969,2225.1836,2201.962,2189.4653,2169.816
2213.8088,2232.801,2225.1804,2201.9622,2189.4478,2169.798
2213.7964,2232.799,2225.1826,2201.9631,2189.4604,2169.8083
2213.7908,2232.7966,2225.1836,2201.9602,2189.4668,2169.818
2213.7957,2232.7974,2225.1833,2201.9624,2189.461,2169.812
2213.7925,2232.7969,2225.1863,2201.9658,2189.4604,2169.8098
2213.8008,2232.7983,2225.1836,2201.9648,2189.4536,2169.804
2213.7993,2232.7986,2225.1838,2201.964,2189.4553,2169.8052
2213.7993,2232.7988,2225.183,2201.9614,2189.4578,2169.808
2213.7883,2232.7966,2225.1829,2201.9597,2189.47,2169.8206
2213.77,2232.7908,2225.1863,2201.9636,2189.482,2169.8315
2213.7966,2232.7974,2225.1882,2201.972,2189.4492,2169.7966
2213.786,2232.7957,2225.1833,2201.9592,2189.4717,2169.8237
2213.7976,2232.7996,2225.1814,2201.9607,2189.462,2169.8088
2213.787,2232.7964,2225.183,2201.9597,2189.4707,2169.8215
2213.8054,2232.8,2225.1816,2201.9631,2189.4502,2169.8005
2213.7961,2232.7979,2225.1843,2201.9624,2189.4592,2169.8108
2213.7927,2232.7969,2225.183,2201.9631,2189.4634,2169.8147
2213.809,2232.8022,2225.178,2201.9602,2189.4492,2169.7998
2213.801,2232.7988,2225.1865,2201.967,2189.4502,2169.798
2213.6853,2232.7678,2225.1694,2201.963,2189.5273,2169.8877
2213.7856,2232.7944,2225.1912,2201.9707,2189.46,2169.8079
2213.804,2232.7998,2225.1816,2201.9617,2189.453,2169.8042
2213.813,2232.8035,2225.1746,2201.9634,2189.4443,2169.7944
2213.8052,2232.7998,2225.1812,2201.963,2189.4514,2169.8025
2213.804,2232.7996,2225.1821,2201.9634,2189.452,2169.802
2213.8076,2232.8003,2225.1812,2201.9634,2189.4478,2169.7986
2213.8013,2232.7993,2225.1829,2201.9624,2189.4553,2169.805
2213.803,2232.7993,2225.1821,2201.963,2189.4534,2169.804
2213.8008,2232.7988,2225.1833,2201.964,2189.4546,2169.8044
2213.8013,2232.7988,2225.1821,2201.962,2189.456,2169.8071
2213.804,2232.7996,2225.1838,2201.966,2189.4485,2169.7979
2213.8247,2232.8047,2225.1765,2201.9634,2189.424,2169.775
2213.8018,2232.7988,2225.1816,2201.9626,2189.455,2169.806
2213.808,2232.8013,2225.181,2201.9602,2189.4495,2169.7988
2213.796,2232.7986,2225.1848,2201.9604,2189.4612,2169.809
2213.8074,2232.8003,2225.1814,2201.9639,2189.4482,2169.7986
2213.796,2232.7966,2225.1804,2201.9585,2189.4646,2169.8176
2213.8047,2232.8003,2225.1838,2201.9673,2189.4473,2169.7947
2213.8218,2232.8003,2225.177,2201.9685,2189.4258,2169.7827
2213.8027,2232.7988,2225.184,2201.9663,2189.4492,2169.7996
2213.7976,2232.7976,2225.1838,2201.9644,2189.4575,2169.808
2213.8042,2232.7988,2225.1836,2201.9646,2189.4495,2169.7998
2213.8176,2232.8013,2225.179,2201.9658,2189.433,2169.7869
2213.8052,2232.7998,2225.182,2201.9634,2189.4502,2169.8013
