V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2079.7048,2081.41,2082.0244,2081.984,2081.367,2082.1394,2081.2954,2079.9822,2078.5312,2079.2612,2079.2346,2079.5862,2079.3862,2078.9556
3039.2063,3037.0059,3035.7363,3036.8875,3039.1045,3037.8665,3035.8218,3033.898,3029.4841,3028.675,3031.0542,3032.1958,3030.6155,3028.647
1188.2178,1189.2153,1189.6912,1189.1411,1188.6116,1187.6985,1173.6493,1172.4293,1171.2424,1171.6884,1170.4669,1169.2664,1174.211,1174.447
1354.0342,1357.7545,1361.1656,1358.5765,1362.9076,1356.4113,1315.9456,1325.9417,1328.0952,1328.4109,1326.528,1326.3462,1330.7963,1294.0618
5914.2847,5920.093,5923.328,5925.4854,5921.248,5922.6836,5922.191,5923.114,5920.835,5919.5327,5919.402,5918.1753,5918.096,5915.8486
3224.515,3231.4648,3236.5784,3240.526,3243.4487,3242.747,3239.559,3243.7852,3247.349,3247.289,3246.5078,3229.8625,3234.5076,3226.2146
4925.2563,5001.3745,4967.4316,4941.349,4826.9673,4948.3325,4946.211,5024.948,4901.387,4853.4097,4951.4155,5022.308,5052.2783,4943.1465
1792.5829,1793.7185,1794.5469,1796.2145,1796.687,1795.5614,1795.0265,1795.7762,1794.0891,1794.159,1793.6342,1793.2605,1792.5027,1791.6053
1645.2961,1646.1366,1646.952,1648.4203,1648.8687,1647.8754,1647.4221,1648.0537,1646.5073,1646.6571,1646.0677,1645.8287,1645.0963,1644.4045
2681.1052,2684.2007,2687.0708,2689.1106,2689.6392,2690.2913,2689.1006,2688.6594,2690.7695,2690.4846,2688.8704,2687.079,2684.3972,2685.2751
2498.6555,2500.0168,2499.879,2500.071,2503.0383,2501.2083,2501.5603,2502.767,2505.0098,2503.9827,2505.7273,2506.2092,2503.7783,2501.8843
3697.2783,3702.4858,3704.1929,3706.1177,3705.8362,3704.1282,3703.4531,3704.624,3705.9287,3704.8845,3704.0764,3705.142,3704.6587,3702.903
7232.294,7237.7334,7248.7197,7247.737,7242.074,7245.472,7241.2524,7239.8267,7234.154,7232.0347,7232.5674,7238.008,7237.3384,7240.52
5774.8467,5786.4,5786.737,5787.339,5787.902,5786.976,5779.8213,5777.0454,5767.519,5768.958,5766.8984,5769.4624,5778.7954,5768.9663
7546.583,7619.1455,7606.534,7603.216,7648.2715,7705.2144,7622.5503,7595.624,7593.3555,7604.107,7628.229,7618.8374,7626.5054,7587.782
3147.1702,3148.351,3148.3154,3147.363,3146.4941,3146.9163,3147.3367,3144.973,3146.663,3146.4011,3146.641,3147.0571,3147.9124,3148.537
4064.7214,4064.3472,4070.8887,4069.1018,4069.3982,4067.385,4064.6067,4066.338,4062.9148,4068.401,4071.0432,4067.746,4072.5388,4072.07
9584.217,9584.446,9582.52,9586.159,9583.779,9585.072,9586.958,9589.53,9598.113,9593.63,9589.451,9588.096,9590.047,9582.794
2743.9683,2749.373,2753.9155,2758.0156,2755.9578,2757.4758,2744.193,2742.0266,2739.28,2742.5396,2744.8696,2742.6772,2745.7952,2743.4766
10898.164,10900.587,10891.058,10891.161,10890.782,10888.841,10897.792,10896.134,10894.842,10898.085,10903.905,10905.201,10907.018,10910.8
2731.8665,2736.6956,2741.067,2745.5916,2744.035,2745.8933,2733.0574,2731.6802,2728.4485,2730.5034,2731.8584,2729.8247,2733.1453,2730.7686
2964.4482,2970.8296,2972.7065,2980.9097,2978.5862,2979.8997,2978.4575,2976.3625,2974.6316,2966.264,2962.454,2957.894,2955.7307,2953.5737
1986.3021,1988.6317,1990.5273,1997.7502,1996.4282,1996.1998,1995.9319,1994.7974,1995.8767,1991.0255,1987.7184,1984.0732,1984.2006,1984.5964
2653.855,2659.2158,2660.2556,2667.9673,2665.9458,2666.949,2666.0188,2664.7654,2662.6526,2654.4185,2651.5793,2647.7385,2645.1296,2642.5505
1656.6947,1658.671,1659.0554,1663.4026,1662.0414,1663.3082,1663.0093,1661.312,1661.3253,1657.386,1655.2496,1652.0653,1651.9552,1652.4275
2474.201,2479.7585,2481.6914,2487.7952,2484.7717,2485.2168,2483.8381,2482.7969,2480.632,2473.3064,2470.8347,2466.9133,2463.675,2462.3337
1780.7921,1782.4875,1784.4708,1790.7494,1789.6605,1789.336,1788.9727,1788.1735,1789.3531,1784.8544,1781.7516,1778.6055,1778.4052,1779.143
476.3654,473.55582,471.59036,472.66724,473.25705,476.8616,481.68802,481.42612,482.04236,481.42697,482.30026,481.80164,483.27985,483.10965
6470.664,6475.0347,6478.978,6483.501,6482.5835,6486.0073,6483.9995,6489.128,6487.8857,6488.521,6485.305,6484.459,6479.8916,6480.4927
659.701,655.61334,652.8829,654.33594,655.18463,660.2982,667.2481,666.92017,667.814,666.99005,668.149,667.4653,669.4687,669.32434
2128.2683,2131.7725,2129.9172,2130.3167,2132.0117,2130.923,2134.0623,2136.6804,2137.305,2138.5781,2137.641,2137.1826,2140.329,2137.3694
1935.5737,1938.6545,1936.919,1937.388,1938.8851,1937.9037,1940.7327,1943.0632,1943.7379,1944.8502,1943.9187,1943.5911,1946.463,1943.7334
