V1,V2,V3,V4,V5,V6
6965.578,7387.069,7588.049,7720.4414,7808.9126,7840.6587
1378.7621,1564.1096,1674.2574,1734.6008,1759.2054,1769.1052
7922.7524,8356.401,8555.378,8682.473,8729.413,8776.542
9057.116,9557.233,9793.1,9928.585,9981.799,10011.83
6451.893,6809.729,6891.3936,7006.8535,7049.2866,7081.082
3787.674,4106.5835,4265.6475,4402.345,4467.403,4547.236
3411.7285,3727.6538,3890.0305,4030.787,4105.2754,4187.6055
2386.9517,2580.889,2679.562,2738.0205,2791.2559,2831.276
2295.6343,2487.7017,2591.5332,2664.679,2715.371,2758.79
2290.137,2491.4028,2601.1172,2676.056,2731.1626,2780.7483
1561.4215,1711.9603,1799.5043,1863.0051,1908.7969,1946.9597
2033.9475,2229.3035,2338.8464,2418.9412,2472.728,2522.9875
4706.6035,4960.8364,5050.48,5098.868,5137.6445,5194.1294
4992.2124,5261.457,5365.171,5430.826,5478.387,5560.501
5222.8833,5485.092,5583.362,5641.795,5676.4756,5782.9185
2724.6736,2883.6208,2960.1975,3001.247,3029.185,3053.4028
3845.4324,4075.053,4177.943,4235.5303,4257.341,4313.294
3258.6353,3444.739,3531.7783,3581.5996,3610.5369,3650.8005
2664.4502,2941.4653,3087.8875,3230.5815,3293.2837,3334.0125
5974.422,6402.5454,6623.8027,6774.5425,6842.567,6890.4097
8366.614,8972.481,9263.454,9525.579,9585.804,9636.101
3964.6003,4359.3945,4575.416,4769.1245,4862.032,4949.813
8311.867,8956.32,9284.206,9578.945,9688.285,9732.512
7700.0264,8349.692,8676.839,8914.6,8978.572,9097.916
2339.1802,2615.3467,2784.9749,2918.3247,2993.675,3059.1533
6415.305,6965.6143,7231.2056,7491.0923,7607.0386,7727.3066
1805.1051,2058.3335,2222.3228,2356.236,2437.0393,2510.6667
1767.6091,2008.2516,2166.944,2295.811,2379.3132,2454.59
3931.2407,4235.5293,4384.918,4487.5225,4552.544,4618.015
4251.267,4555.3228,4690.355,4783.746,4831.7383,4895.219
3528.861,3788.159,3914.7463,3990.451,4045.5332,4089.2693
5046.336,5395.7827,5557.414,5664.3027,5725.8345,5786.478
1383.5527,1533.0421,1623.7728,1690.1146,1737.2069,1779.2816
1754.1371,1925.4553,2022.8474,2092.7231,2142.3,2185.9895
3254.7334,3513.4382,3644.9282,3738.155,3795.2864,3853.2412
1272.5033,1411.1644,1497.1763,1560.8956,1607.5226,1647.5437
3756.9763,4047.0664,4190.5234,4294.101,4354.688,4418.888
3961.8774,3995.521,4292.1187,4607.526,4742.963,4394.473
3765.507,4056.3623,4243.972,4361.62,4402.9893,4403.969
4690.328,4972.1,5106.8076,5216.816,5257.7207,5285.2715
13953.035,14644.27,14933.089,15151.403,15193.124,15202.162
5351.852,5711.8013,5880.0977,6014.5967,6044.4966,6103.7754
2890.126,3118.8606,3243.6267,3343.8987,3387.2585,3446.6113
9523.201,10037.1045,10245.808,10395.938,10374.721,10388.951
9489.37,10008.874,10222.347,10372.651,10392.758,10427.006
5893.666,6276.2,6468.3564,6608.427,6595.01,6597.2837
5900.6973,6283.713,6475.892,6615.9175,6602.661,6604.815
6615.1064,7045.8716,7282.315,7372.7163,7447.7705,7537.8984
2507.2224,2693.8015,2792.499,2857.9316,2897.5652,2935.6277
17203.611,18150.686,18530.596,18728.05,18812.53,18921.533
7738.303,8212.003,8405.789,8493.991,8569.17,8641.915
15252.027,15874.647,16027.44,16274.755,16204.287,16308.498
14900.145,15505.523,15631.176,15903.997,15661.153,15736.176
7771.87,8189.0547,8344.525,8509.204,8479.552,8530.445
2593.377,2844.545,2989.7324,3119.6853,3178.8896,3251.6567
9913.762,10345.052,10428.721,10570.001,10449.718,10486.303
2136.0728,2371.4595,2524.0288,2645.7913,2705.5315,2766.0347
9644.992,10149.5625,10317.036,10401.359,10393.374,10326.335
9354.395,9898.362,10161.214,10348.853,10436.915,10483.549
9459.808,9991.103,10213.415,10365.7295,10415.579,10455.63
9314.308,9782.14,10023.436,10364.623,10593.136,10580.574
10331.613,10473.711,10525.721,10396.642,10092.6045,9953.54
9874.919,10178.3,10452.496,10756.281,10740.817,10782.111
11996.606,12441.776,12707.612,12987.187,12956.534,13111.645
9741.789,10256.422,10573.204,10908.676,11008.468,11154.328
9188.304,9862.941,10163.379,10322.66,10358.033,10363.211
9679.462,10208.412,10458.575,10620.805,10646.52,10644.501
9686.026,10238.628,10524.511,10707.552,10778.433,10751.213
9588.383,10127.273,10316.492,10404.266,10365.898,10417.191
9294.626,9929.227,10248.723,10495.636,10709.751,10747.362
10145.42,10729.488,10874.38,10908.934,11049.631,11327.362
9400.863,9959.298,10195.033,10360.8125,10294.591,10323.101
9101.682,9683.267,9761.994,9763.523,9600.247,9652.381
9589.647,10143.996,10302.159,10291.234,10294.742,10482.619
9442.005,9964.538,10168.831,10262.369,10327.684,10434.287
9429.895,9948.824,10100.211,10175.129,10236.071,10424.111
9349.238,9865.403,10034.085,10177.019,10331.002,10440.182
9380.559,9849.632,10050.782,10202.651,10163.364,10161.044
5525.151,5822.418,5945.3574,5970.1626,5904.1,5738.0864
3503.8247,3445.3445,3474.7092,3240.5671,3228.0344,3284.4775
4257.966,4561.0635,4713.3535,4831.858,4831.274,4856.353
11733.315,12189.436,12379.064,12810.86,13234.017,13215.671
9109.481,9589.862,9788.913,9950.504,9944.299,9956.214
3613.174,3864.9038,3999.4277,4076.947,4148.5317,4197.32
1652.3531,1845.8239,1952.4119,2021.9918,2087.129,2141.0173
2717.854,2854.9248,2877.075,2844.7102,2959.1912,2971.827
9086.602,9562.944,9967.971,9960.726,10087.117,10055.476
9086.794,9113.063,9081.061,9309.5205,9580.912,9646.347
1752.9856,2071.1843,2198.9387,2257.1565,2241.9573,2289.5312
6329.7026,6959.0654,7095.5723,7229.3096,7252.52,7611.3555
7237.2583,7806.017,8079.509,8187.0166,8286.969,8356.958
1766.3152,1911.3047,2125.1553,2052.2224,1975.5002,2007.6736
7582.458,8180.901,8489.82,8592.953,8677.825,8701.12
