V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2029.8787,2028.5848,2029.0066,2027.333,2026.735,2026.383,2026.1046,2025.784,2026.6365,2026.4132,2025.1278,2026.5396,2027.2611,2029.6141
2967.693,2988.41,2989.982,2991.0732,2991.749,2991.6824,2993.5234,2991.9111,2991.4375,2991.4834,2988.629,2995.6658,2991.9502,2993.735
1119.6847,1125.6587,1128.3391,1126.2676,1128.4152,1133.6595,1129.5189,1115.3374,1129.3113,1134.1309,1122.2737,1123.3593,1120.3406,1141.3978
1205.2755,1240.5165,1254.6497,1256.1807,1254.7214,1275.0009,1260.4093,1234.2495,1255.5411,1291.9674,1237.7029,1237.0052,1250.0096,1296.3463
5873.281,5873.316,5872.6016,5871.465,5867.3945,5867.936,5871.575,5874.602,5870.782,5864.8213,5869.201,5870.819,5868.5605,5870.5415
3104.4321,3138.8943,3148.3718,3150.1035,3151.834,3157.4639,3153.831,3147.4666,3116.7043,3134.5464,3123.4543,3128.3088,3101.9656,3122.1404
5144.107,5058.701,4948.854,4884.6865,4952.439,4829.7285,4817.916,4906.567,4949.1504,5115.487,4840.7734,5161.574,5196.5645,5158.91
1733.2336,1733.7339,1734.7529,1734.0026,1736.024,1736.3568,1734.7858,1734.1353,1734.0354,1735.2809,1733.2886,1733.7925,1733.3694,1733.9562
1585.8125,1586.4879,1587.4386,1586.8142,1588.6587,1588.9486,1587.5333,1586.8973,1586.801,1587.9395,1586.1289,1586.5698,1586.1552,1586.6917
2619.6982,2624.9001,2631.6592,2628.2703,2634.029,2637.1326,2629.6758,2623.7917,2624.7131,2633.4673,2624.8047,2623.4773,2622.5984,2626.7395
2448.127,2433.3528,2430.202,2432.8743,2432.3657,2433.5576,2434.1812,2433.3088,2431.1099,2433.5652,2436.6345,2430.626,2428.8523,2424.5063
3663.8975,3665.2512,3669.285,3661.7476,3662.372,3664.7205,3658.5264,3658.5518,3658.5442,3664.0847,3658.57,3659.8618,3657.7405,3658.9248
7227.2656,7238.2246,7258.3403,7246.2866,7246.9463,7249.7666,7253.868,7258.3877,7257.3984,7253.742,7251.741,7261.5024,7254.366,7267.984
5683.9307,5710.7437,5709.0864,5708.612,5705.6943,5706.073,5710.02,5714.3296,5715.5796,5715.024,5714.9033,5724.5063,5721.1523,5702.1777
7963.7104,7749.0044,7601.686,7523.478,7490.399,7534.476,7456.657,7477.6475,7604.9917,7609.3135,7528.243,7577.859,7755.867,7763.2515
3079.1533,3071.838,3070.8228,3075.2483,3075.802,3075.4956,3079.3542,3081.061,3078.1592,3078.3928,3083.7305,3078.8552,3076.9353,3069.3093
4034.2056,4040.3936,4041.3135,4039.112,4036.752,4039.767,4039.8857,4044.995,4041.4053,4037.6924,4030.8386,4045.9048,4037.3362,4047.6748
9538.175,9534.019,9532.63,9539.232,9535.542,9538.272,9536.927,9546.188,9544.831,9541.614,9551.407,9535.0,9543.315,9529.404
2690.22,2709.5503,2718.5422,2706.446,2707.8887,2716.8174,2705.0515,2703.154,2703.628,2711.541,2700.2942,2703.8745,2694.7686,2720.2402
10842.691,10861.663,10863.486,10873.274,10870.257,10867.936,10875.61,10878.418,10867.928,10864.684,10876.012,10869.96,10856.622,10835.886
2678.5217,2697.7192,2706.6995,2694.7302,2696.111,2705.0369,2693.4329,2691.057,2691.795,2699.9988,2688.295,2691.9575,2682.7761,2709.433
2862.2507,2899.431,2911.9092,2900.7844,2919.0486,2923.275,2903.478,2903.3806,2904.8333,2919.458,2905.1868,2896.1396,2909.1924,2904.6843
1928.3452,1925.7153,1933.8341,1923.1523,1936.2479,1940.2128,1922.6582,1919.9159,1924.8182,1935.6586,1925.5428,1918.019,1929.7904,1930.0355
2553.2378,2587.1233,2598.3562,2589.1367,2605.8228,2609.365,2591.8894,2591.6355,2592.9814,2606.1628,2593.383,2584.8376,2596.4722,2591.9229
1596.7599,1595.4028,1601.5905,1594.084,1603.5685,1606.1481,1594.0057,1591.8776,1595.5831,1603.2725,1595.7141,1589.9498,1598.939,1598.9736
2373.859,2405.927,2415.5442,2408.224,2421.5298,2424.0579,2410.9563,2411.0488,2411.7795,2422.1416,2411.4143,2404.5242,2414.3252,2410.2944
1720.1249,1718.2578,1725.5713,1716.5012,1728.4501,1731.8403,1716.2885,1713.7258,1718.1421,1727.9075,1718.8477,1711.8152,1722.3196,1722.1962
425.75732,423.2775,422.6026,424.36768,423.84778,422.08377,423.21902,427.29068,422.29773,423.23257,425.17032,424.6599,425.83096,423.20483
6421.1274,6403.903,6395.932,6398.7,6401.094,6393.4966,6396.3228,6396.8853,6393.4297,6391.4224,6394.158,6405.778,6396.6978,6390.768
611.87744,608.30927,607.33905,609.87775,609.12885,606.5937,608.2274,614.0792,606.9016,608.24536,611.03033,610.29694,611.9782,608.2056
2121.4316,2125.4167,2127.143,2112.8564,2114.438,2117.7285,2110.2773,2116.2505,2116.49,2114.0298,2110.7812,2111.5718,2120.9363,2128.4907
1924.1279,1927.7107,1929.2847,1916.3147,1917.7532,1920.7555,1913.9735,1919.3832,1919.6099,1917.395,1914.4353,1915.1389,1923.6462,1930.494
6749.432,6775.518,6779.4014,6800.518,6771.078,6768.036,6801.637,6803.221,6801.888,6759.423,6784.3086,6785.8213,6793.2007,6807.837
2282.2395,2291.4907,2292.1782,2279.3386,2284.3186,2285.439,2276.9417,2279.095,2282.0308,2288.9165,2288.5134,2279.5967,2287.3992,2283.6572
1663.6886,1668.4325,1662.3643,1663.6693,1662.4652,1665.8517,1664.2936,1660.5131,1662.8679,1661.5338,1664.7065,1664.2584,1665.4578,1669.0513
3782.4922,3796.4,3798.3096,3789.6704,3785.619,3789.6614,3786.3198,3789.4124,3786.7283,3785.973,3787.7688,3791.263,3791.4858,3797.0552
2446.7712,2477.3506,2470.4092,2482.2874,2492.6362,2471.9548,2489.375,2495.4924,2494.461,2491.5203,2470.6262,2503.069,2503.7844,2513.567
2290.02,2314.3245,2318.2163,2298.5435,2319.5195,2321.6887,2307.1838,2296.1477,2314.14,2314.3694,2306.856,2310.9639,2329.457,2346.9812
2527.6104,2525.6772,2535.234,2523.4705,2520.8972,2524.575,2521.0662,2518.7769,2519.5671,2523.348,2512.2292,2530.057,2509.3877,2533.3276
3900.0403,3904.5107,3888.62,3890.4563,3882.2854,3881.7495,3888.0083,3896.7979,3904.8599,3887.8445,3896.0225,3899.2021,3915.8672,3922.9543
6534.3823,6552.8604,6563.575,6522.073,6552.9683,6586.3354,6532.3374,6525.4346,6507.9854,6568.0293,6569.651,6546.746,6499.191,6511.36
6996.061,7096.17,7089.9644,7120.6772,7120.788,7078.029,7111.1733,7110.202,7096.0615,7094.788,7091.7324,7121.0376,7094.426,7045.763
1128.1274,1126.526,1124.0991,1129.0054,1126.5159,1125.3213,1129.8914,1130.7892,1130.1692,1127.1202,1130.9323,1128.3577,1129.1166,1124.6133
8587.108,8599.369,8601.326,8594.527,8604.529,8613.507,8594.059,8587.647,8596.051,8600.629,8597.496,8590.343,8611.027,8602.117
1120.245,1121.8413,1121.9713,1121.565,1121.7189,1121.6565,1121.4473,1121.3147,1122.4021,1122.0538,1120.8918,1121.5033,1123.1003,1124.1338
10170.516,10217.158,10227.285,10236.685,10264.916,10243.315,10247.478,10246.915,10245.37,10246.885,10221.491,10254.302,10239.038,10235.557
1008.243,1013.79083,1012.91205,1012.7461,1014.0338,1014.3409,1012.4006,1010.67926,1013.452,1014.3718,1011.2839,1011.7239,1014.81683,1016.5058
10475.855,10478.058,10456.795,10504.767,10485.763,10475.6,10513.995,10519.549,10522.57,10494.038,10523.169,10496.973,10516.255,10474.559
11082.351,11074.667,11050.305,11099.361,11079.347,11067.023,11109.825,11115.774,11114.81,11084.18,11119.518,11092.774,11105.831,11061.747
9934.725,9999.746,10006.302,10027.725,10032.304,10023.3955,10035.768,10026.751,10023.038,10021.567,10018.741,10027.05,10015.144,10011.449
1024.4247,1030.2814,1031.2948,1033.1036,1034.0295,1032.6497,1033.7032,1032.7123,1032.7167,1032.4552,1031.6447,1032.7847,1031.7113,1031.582
2901.178,2899.281,2898.6782,2908.916,2914.4187,2915.1482,2911.427,2907.0845,2913.5857,2917.8062,2916.7246,2904.2363,2909.8376,2897.7417
1106.9064,1108.2828,1108.2085,1108.596,1108.0367,1107.7933,1108.5729,1108.516,1108.313,1108.0183,1107.6455,1108.7148,1108.3318,1109.334
2820.3977,2824.3496,2821.6667,2822.1035,2821.5486,2818.6934,2820.7168,2822.9553,2827.1604,2824.3691,2825.8657,2826.5576,2832.048,2831.834
1076.2797,1080.4563,1081.1316,1080.3137,1081.8104,1081.9559,1080.5262,1080.1117,1080.9756,1081.7516,1080.6906,1081.1073,1081.2197,1080.1476
10532.887,10547.224,10547.214,10548.263,10541.397,10541.633,10546.565,10543.225,10543.442,10542.057,10531.097,10536.955,10544.874,10561.334
1716.6555,1711.7202,1710.2711,1716.3875,1714.61,1714.0084,1717.8722,1717.5898,1717.6388,1716.4631,1718.0995,1716.6034,1715.0841,1713.1195
1675.2885,1678.5002,1677.5298,1682.8141,1683.8738,1682.4077,1685.2372,1685.8864,1686.5928,1685.0846,1686.5457,1684.7076,1683.9679,1679.4429
