V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36973.39,37951.594,37945.547,38053.51,38049.39,38102.34,38066.67,38070.934,38129.406,38045.08,37835.395,37838.26,37598.215
3655.654,3799.8638,3787.6719,3797.493,3814.119,3819.0415,3804.926,3801.7651,3814.199,3806.5588,3779.8997,3778.498,3765.1216
9678.741,9687.758,9715.705,9635.237,9632.402,9690.743,9683.871,9637.725,9616.452,9639.847,9683.1455,9671.403,9602.351
2303.5442,2282.5586,2289.2244,2339.3293,2323.294,2302.9404,2359.071,2387.8528,2363.4456,2372.1992,2380.5178,2347.0242,2361.0928
1584.0337,1779.8702,1740.1349,1784.9102,1785.1414,1790.8928,1726.703,1606.8413,1627.4958,1848.8999,1942.4534,1800.8695,1796.1763
567.19183,617.6814,576.50586,596.4548,611.8622,631.0254,640.77905,692.9435,705.666,596.5546,527.3383,547.1584,505.88776
3378.6213,2986.165,2968.5828,2846.4265,2935.237,3097.1526,3007.6204,2911.1062,2875.202,2922.776,3149.6787,3027.9197,2943.0864
3356.8823,2720.0708,2544.641,2628.4438,2585.2905,2602.3975,2502.9229,2374.924,2525.1611,2731.68,2606.1406,2311.8286,2317.9153
7767.181,6499.6187,6351.649,6426.5,6399.5454,6397.4478,6387.9487,6467.605,6540.9263,6482.3804,6328.461,6193.903,6226.27
5164.258,5119.3306,5116.56,5086.7607,5102.4175,5118.796,5096.8345,5101.3774,5116.084,5055.1016,5074.5366,5074.673,5102.0723
376.46307,405.4725,389.36273,392.79462,407.96866,409.32605,403.60254,399.61465,387.41464,404.64297,400.48227,397.14923,410.7287
1061.0901,1074.1792,1064.3289,1073.5067,1076.9043,1072.1987,1065.1406,1065.7384,1068.3737,1070.8958,1071.8784,1064.5583,1081.4116
2402.5781,2250.872,2262.7095,2250.537,2236.2808,2232.3794,2246.186,2247.2546,2232.8767,2243.8418,2272.298,2272.975,2286.169
2385.167,2261.5159,2276.7979,2250.9883,2240.1082,2249.615,2262.3525,2252.0168,2237.3396,2253.3472,2289.712,2285.4102,2274.7136
4917.516,3963.5505,4000.6426,3854.7896,3861.754,3927.6858,3945.3782,3930.2852,3861.2505,3829.621,4061.333,4090.8638,4151.2036
4917.516,3963.5505,4000.6426,3854.7896,3861.754,3927.6858,3945.3782,3930.2852,3861.2505,3829.621,4061.333,4090.8638,4151.2036
12103.565,12116.857,12113.673,12087.673,12103.388,12120.669,12100.867,12107.2295,12127.585,12069.814,12096.085,12091.017,12106.059
4426.2095,4429.92,4430.0825,4467.4946,4446.152,4424.369,4445.41,4447.518,4452.178,4496.5474,4461.671,4463.5825,4429.8784
2937.3901,2939.087,3088.4875,2950.6987,2956.8413,3088.9915,3190.5183,3111.991,2870.7651,3067.548,3553.7239,3408.0051,3584.6694
4294.7593,4482.42,4444.879,4293.4316,4471.477,4647.053,4583.9893,4506.119,4435.3325,4534.2583,4806.0786,4668.733,4541.4165
1950.48,1995.351,2099.4736,2055.567,2004.8698,2101.7278,2098.5508,2020.0886,1978.6204,2137.4014,2356.3975,2268.9377,2105.767
4086.0652,3809.9304,3821.67,4057.5325,3765.894,3757.5571,3891.0544,4030.6833,4292.205,3946.616,3578.2954,3486.041,3249.8525
812.13367,821.6572,841.27545,829.6176,824.0803,846.8964,854.14154,861.47253,848.8987,822.23615,859.9642,850.2934,819.8987
7123.673,6581.8906,6895.9985,6495.2803,6661.1587,6879.2876,7007.5117,6875.0884,6393.8545,6694.7437,7640.047,7490.5205,7678.331
1181.541,1086.1764,1067.5062,1029.2518,1060.666,1079.0481,1051.9424,1033.6486,1012.465,1028.5104,1078.7786,1083.6155,1092.7483
2926.3945,3079.1792,3030.2456,2989.6448,3038.1104,3048.9165,3037.3657,2982.7927,2932.1147,3080.9424,3172.9878,3135.4468,3104.815
2094.0854,2314.7036,2056.2512,1937.4843,2256.6147,2401.5452,2374.7058,2439.9294,2236.8687,2282.2556,2412.8115,2501.0586,2281.1597
6100.2827,4001.516,3826.0295,3558.3735,3663.9004,4112.5938,3967.1472,3763.0662,3874.6213,4084.3447,4427.9873,3976.4565,3540.2173
753.2081,653.47723,651.1093,650.1215,644.0791,657.6966,697.23755,727.78864,703.3262,662.6586,648.3652,651.2168,623.9022
3907.9805,3920.2761,3940.0876,4040.4504,3837.7952,3867.9412,3956.1877,4016.0918,4257.4487,3966.9612,3729.1187,3672.2966,3307.4507
973.5806,845.87195,780.1969,808.61066,859.41504,834.6822,786.67737,761.6021,771.43616,861.2297,867.7663,837.5268,884.46326
4482.2964,4136.805,4310.4243,4112.074,3988.7725,4260.5874,4271.397,4092.2158,4009.6528,4055.3484,4277.264,4284.935,3799.0059
1658.1687,1618.9943,1545.1361,1519.6533,1622.214,1649.4995,1570.4392,1551.4192,1497.7852,1491.7697,1539.5286,1511.9818,1614.0507
1335.3381,1169.7386,1141.7676,1165.7526,1153.3121,1151.2161,1135.0924,1121.266,1134.8435,1169.0862,1153.6434,1131.3239,1146.149
1231.9167,1147.0983,1117.9366,1118.0825,1123.4958,1143.6006,1139.3293,1105.9423,1061.6036,1170.5348,1221.0248,1154.15,1199.0157
18585.312,18277.062,16561.494,18345.531,18983.727,17609.248,16888.982,17601.578,18963.408,18609.742,16672.84,16682.994,17865.637
2929.609,2879.9785,2879.2556,2879.3035,2871.6572,2872.4705,2886.691,2883.1606,2868.2947,2887.0728,2886.7874,2879.9912,2874.2776
3127.5972,3147.7761,3146.0432,3144.687,3138.8057,3143.7195,3169.0708,3169.0479,3142.3225,3153.5212,3162.702,3156.0786,3136.1985
5855.458,5749.77,5746.367,5742.748,5739.286,5735.4917,5730.2485,5729.2437,5741.0225,5743.138,5733.2266,5737.2417,5743.17
5848.7856,5744.1406,5741.2407,5736.951,5733.5825,5729.6245,5724.561,5723.102,5734.4653,5737.2954,5728.5415,5732.614,5738.466
6198.6597,6220.8306,6224.798,6217.7227,6218.3584,6223.2383,6240.5894,6247.8203,6237.405,6217.0415,6215.8076,6230.098,6205.714
6212.895,6232.975,6235.8335,6230.2515,6230.67,6235.941,6252.9443,6261.2065,6251.675,6229.656,6225.8564,6240.045,6215.734
6205.758,6226.885,6230.298,6223.969,6224.496,6229.5713,6246.749,6254.495,6244.522,6223.3306,6220.814,6235.0537,6210.706
5842.128,5738.525,5736.129,5731.1675,5727.893,5723.772,5718.888,5716.974,5727.922,5731.4663,5723.87,5727.9995,5733.7754
2978.0244,2946.446,2943.9712,2959.6863,2948.762,2931.702,2952.4116,2955.725,2935.8118,2959.1936,2949.4678,2940.24,2956.2214
3323.0164,3361.328,3340.5906,3350.4438,3352.734,3338.0322,3342.763,3340.6624,3346.8352,3358.641,3358.095,3353.5376,3339.8174
2976.8484,2945.2437,2942.774,2958.5361,2947.6265,2930.5796,2951.2424,2954.6077,2934.69,2958.0415,2948.5203,2939.266,2955.272
3083.5803,3074.5693,3082.8345,3106.3445,3057.211,3048.5574,3061.0786,3052.0298,3068.853,3084.0842,3050.1892,3037.088,3035.2727
3300.4536,3291.7349,3286.4438,3303.5505,3302.316,3279.024,3292.7195,3294.4404,3271.1555,3304.284,3297.7048,3291.869,3321.4363
3301.7466,3293.0698,3287.7717,3304.8245,3303.5789,3280.2708,3294.0156,3295.679,3272.397,3305.5618,3298.7563,3292.9512,3322.4966
6693.3076,6708.2124,6700.465,6703.4966,6686.6655,6690.995,6696.0195,6708.4507,6742.34,6710.5537,6691.8965,6688.0005,6649.6567
7189.5825,7312.4565,7303.7876,7297.053,7295.459,7317.0703,7335.1616,7359.8716,7363.805,7317.92,7332.131,7314.8555,7260.577
1918.3333,1853.2542,1822.301,1813.6576,1854.1445,1831.776,1788.664,1797.2642,1821.1588,1796.5413,1801.5198,1824.6769,1873.7925
2505.5862,2523.5415,2527.883,2525.6753,2527.314,2530.2305,2537.9854,2537.031,2523.1865,2531.103,2543.288,2543.706,2544.1516
5044.4434,4778.3228,4736.095,4787.8247,4802.5923,4807.63,4761.0366,4776.5405,4789.8726,4760.7056,4790.0444,4717.4043,4813.788
3009.3955,2608.4119,2630.9182,2559.9768,2572.8823,2575.6675,2555.5518,2560.4429,2614.6763,2584.7644,2535.9314,2611.9077,2589.0825
2328.9082,2466.21,2489.7156,2483.321,2479.6934,2478.0781,2465.6675,2463.4976,2500.1077,2483.009,2476.6624,2486.206,2478.8728
3610.3147,3771.5105,3781.099,3807.3984,3810.821,3843.9346,3861.6255,3891.582,3863.9167,3815.7415,3835.3047,3803.7007,3771.8657
2643.5632,2392.407,2365.3052,2398.7268,2427.4404,2398.0625,2222.9092,2185.5935,2401.3113,2449.625,2302.9097,2340.243,2400.5906
9030.257,9034.779,9046.716,9018.498,9034.506,9035.168,9035.153,9046.458,9030.604,9009.277,9027.876,9049.802,9058.988
10371.664,10541.365,10817.195,10725.086,10513.658,10570.969,10621.228,10496.092,10531.665,10495.102,10600.344,10648.631,10445.286
7129.0347,7086.2515,7104.764,7103.9595,7106.398,7100.9595,7097.3853,7104.491,7105.3667,7128.9854,7143.227,7142.2173,7194.2393
5952.088,6044.7344,6116.588,6093.1084,6059.9453,6078.635,6102.8555,6088.7993,6070.8066,6077.785,6136.1704,6144.7246,6139.771
14211.74,13533.819,13370.154,13813.49,13829.766,13438.829,13470.968,13760.2,13968.17,13849.083,13443.446,13586.557,13930.156
19739.285,18900.848,18714.793,19237.062,19250.596,18796.18,18845.246,19181.521,19417.95,19298.764,18823.805,18983.758,19379.834
7392.775,7395.029,7422.248,7344.208,7341.0083,7395.7437,7389.291,7345.1245,7326.547,7348.369,7390.302,7380.07,7313.6567
13333.099,13163.12,13206.328,13151.877,13173.977,13210.516,13176.878,13191.259,13261.335,13191.552,13214.008,13244.414,13238.357
7005.794,7108.6787,7109.626,7136.77,7126.9263,7122.073,7125.3037,7124.6206,7102.468,7118.946,7120.4404,7113.5625,7133.5864
7021.0376,7114.417,7117.132,7133.3115,7126.493,7124.378,7131.0137,7124.1304,7098.515,7117.59,7124.196,7121.428,7126.454
2620.858,2642.6868,2637.677,2639.5964,2642.9175,2644.3264,2639.5542,2638.6006,2636.5042,2636.2476,2634.8977,2635.423,2643.859
2088.4321,2149.708,2147.586,2169.8948,2164.8271,2184.6194,2218.7954,2220.307,2156.7283,2169.5227,2213.1497,2162.0955,2182.9265
