V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
779.46576,781.4971,776.08813,779.31805,773.6687,779.5768,779.7848,779.7846,779.78503,779.7855,779.7846,779.7622,729.069,730.82153,712.4347,734.3091,735.59607,730.01556,734.7615,734.76056,734.7612,734.7623,734.7647,734.7592,673.19,667.9257,669.97076,670.9286,672.96704,667.3736,671.1542,671.15356,671.15466,671.1548,671.20044,672.3162,847.22144,838.28436,846.9189,843.697,840.0264,846.5902,843.3915,843.3928,843.39514,843.3921,838.4311,833.57086
3383.5552,3382.5332,3376.1643,3400.3794,3381.7146,3402.8025,3405.7158,3405.7134,3405.7095,3405.7097,3405.7085,3405.6094,3193.3606,3174.3354,3224.5964,3217.3667,3229.1199,3176.21,3219.2058,3219.212,3219.2122,3219.2046,3219.2046,3219.1782,2951.6436,2926.6382,2953.5574,2966.9048,2962.8835,2941.2917,2954.3828,2954.3877,2954.378,2954.3872,2954.8037,2959.4473,3684.7437,3665.8433,3726.3677,3670.6675,3665.5898,3721.766,3669.3726,3669.3752,3669.3818,3669.3718,3649.303,3628.297
1256.5679,1258.3735,1253.71,1252.5763,1257.8218,1257.6232,1256.9622,1256.9619,1256.9609,1256.9626,1256.9617,1256.938,1195.4199,1193.3774,1194.8032,1201.4875,1206.7053,1200.0776,1203.1135,1203.1132,1203.1136,1203.112,1203.1152,1203.1008,1129.8248,1128.2745,1122.3579,1128.0955,1129.5616,1126.4176,1126.8674,1127.3328,1127.337,1127.3331,1127.3613,1128.7007,1336.4468,1331.5364,1326.5139,1335.02,1330.5079,1341.9198,1332.0629,1332.0604,1332.0632,1332.0632,1326.5328,1320.9563
5396.223,5421.2134,5414.4854,5431.608,5432.9863,5438.5522,5429.6016,5429.5977,5429.591,5429.604,5429.5986,5429.4272,5151.888,5142.583,5107.24,5128.6904,5177.802,5175.906,5180.012,5180.0103,5180.0107,5180.011,5180.019,5179.976,4816.4746,4821.389,4839.1694,4792.125,4820.876,4872.5967,4825.701,4825.703,4825.696,4825.6914,4825.673,4831.4937,5796.6836,5787.2124,5812.593,5795.759,5783.594,5786.5234,5782.0586,5782.058,5782.062,5782.0615,5757.9976,5734.843
3021.0698,3044.671,3039.998,3046.188,3070.7046,3037.644,3064.156,3064.1565,3064.1562,3064.1611,3064.164,3064.021,2802.312,2812.6904,2825.0337,2830.5952,2844.754,2830.4514,2845.1921,2845.1926,2845.192,2845.1875,2845.1812,2845.1929,2520.0327,2523.0493,2516.4604,2526.9128,2525.9355,2552.1782,2527.1665,2527.1545,2527.156,2527.1484,2526.9507,2531.4834,3387.279,3369.8462,3344.472,3382.1616,3371.6304,3464.641,3370.2124,3370.2092,3370.1975,3370.1968,3350.9917,3332.2983
6745.142,6773.925,6755.4897,6772.6084,6748.518,6763.4717,6776.7334,6776.7305,6776.7305,6776.7305,6776.7314,6776.6445,6537.4053,6553.0215,6514.4033,6547.007,6558.4346,6541.693,6549.777,6549.777,6549.7866,6549.787,6549.7856,6549.761,6238.864,6287.862,6212.1934,6235.209,6239.9624,6217.657,6235.832,6235.8394,6235.832,6235.8325,6236.069,6242.1753,7116.445,7107.5244,7093.116,7096.247,7158.702,7106.344,7094.285,7094.2876,7094.287,7094.287,7070.0454,7046.4106
42671.0,42719.457,43009.69,42802.773,42857.914,42539.6,42823.547,42898.55,42898.55,42898.55,42898.55,42897.273,40537.61,40531.516,40350.36,40680.93,40945.805,40433.67,40865.164,40865.164,40865.164,40865.164,40865.164,40864.938,37922.027,37852.69,37829.008,37701.38,38209.465,37684.04,37991.145,37991.15,37991.168,37991.168,37986.727,38030.715,45929.277,45739.44,46004.832,45902.527,45772.62,46037.64,45759.047,45759.047,45759.047,45759.047,45571.656,45395.1
34325.203,34552.277,34527.59,34624.785,34890.344,34735.633,34751.984,34751.99,34751.99,34752.0,34752.0,34750.844,32770.01,32866.926,32699.303,32828.68,32944.797,32820.734,32979.938,32979.938,32979.938,32979.938,32979.938,32979.34,30386.557,30779.193,30446.125,30212.46,30569.639,30489.531,30464.72,30464.72,30464.723,30464.723,30472.287,30520.66,37413.242,37120.13,37512.984,37270.39,37221.36,37568.082,37258.594,37258.594,37258.594,37258.594,37059.938,36862.668
39987.17,40034.574,40159.395,40037.08,40075.957,40134.43,40127.375,40188.7,40188.7,40188.7,40188.7,40187.656,38233.805,38037.234,37805.664,38516.645,38649.156,38350.93,38534.355,38534.355,38534.355,38534.355,38534.355,38534.4,36039.723,36287.43,36105.38,36274.684,36000.84,36315.816,36219.926,36219.926,36219.926,36219.926,36221.02,36327.83,42645.094,42433.25,42383.105,42516.02,42515.6,43021.02,42503.992,42503.992,42503.992,42503.992,42312.19,42124.402
439.81897,441.1249,440.56024,441.08084,439.99265,439.9496,440.58032,440.89206,440.8927,440.893,440.89264,440.8873,431.83704,430.27585,430.21582,431.2879,432.33826,432.3474,432.4223,432.42252,432.4222,432.42267,432.42264,432.419,420.34265,421.26364,420.90652,422.17685,420.0095,419.51804,420.664,420.66367,420.66312,420.66302,420.68457,420.93488,453.37155,452.5865,453.32858,452.70068,452.38654,454.21143,452.62894,452.62958,452.62943,452.62888,451.65906,450.7167
34815.31,34955.93,34815.895,34848.57,34615.992,34721.637,34879.418,34879.418,34879.434,34879.445,34879.445,34878.86,33077.14,33145.13,32724.238,33293.15,33097.453,33097.242,33310.223,33310.227,33310.215,33310.215,33310.223,33310.36,30947.527,31230.002,30818.535,31032.367,30864.043,31065.918,31028.445,31042.227,31042.227,31042.227,31048.426,31088.734,37269.688,36945.426,37344.176,37131.43,37136.164,37615.242,37119.324,37119.32,37119.32,37119.32,36961.383,36808.934
9705.283,9722.424,9788.081,9713.557,9738.885,9747.582,9777.635,9777.635,9777.631,9777.631,9777.633,9777.293,9156.314,9181.242,9126.493,9181.681,9306.29,9085.342,9228.268,9228.268,9228.26,9228.283,9228.28,9228.152,8471.862,8495.989,8482.934,8446.566,8467.335,8413.859,8449.023,8453.872,8453.863,8453.874,8455.543,8470.124,10599.73,10600.667,10548.236,10556.077,10511.275,10754.4,10552.287,10552.288,10552.287,10552.287,10490.807,10431.203
668.80237,669.5427,671.13275,671.85986,673.3513,668.1271,671.72186,673.06586,673.06616,673.06714,673.0706,673.0502,632.21326,629.7416,629.56006,638.0674,643.4988,635.2731,637.0006,637.0007,637.0002,637.0002,636.99915,636.99384,583.13275,579.6801,584.4291,587.27057,586.82764,580.4771,584.6847,584.68774,584.6854,584.68384,584.7616,585.57104,727.76416,729.6211,723.80646,724.8995,724.94617,740.49915,724.5836,724.5835,724.5804,724.5791,720.9293,717.5321
179.51482,178.43086,179.83426,179.81963,180.19777,179.7237,180.40407,180.40436,180.40515,180.40549,180.40529,180.40164,171.89598,171.8204,171.30905,172.53821,173.38176,173.48447,173.15344,173.15364,173.15474,173.15468,173.15466,173.15349,162.64624,163.09288,163.04927,162.91995,163.0999,162.22693,162.95453,162.95514,162.95427,162.95384,162.97472,163.17918,191.14464,190.73056,191.09288,190.9304,190.33046,191.81772,190.53651,190.5369,190.53644,190.53635,189.7648,189.00853
16164.807,16300.792,16137.223,16229.371,16189.078,16135.64,16263.563,16263.558,16263.588,16263.592,16263.58,16263.153,15304.185,15372.147,15121.422,15446.867,15497.289,15347.886,15454.955,15454.947,15454.945,15454.962,15454.962,15454.984,14279.663,14290.099,14195.1045,14301.383,14394.456,14411.984,14302.371,14308.731,14308.731,14308.732,14310.255,14330.277,17476.781,17401.723,17585.219,17411.662,17345.145,17659.742,17406.064,17406.064,17406.064,17406.062,17319.475,17234.102
