V1,V2,V3,V4,V5,V6,V7,V8
6749.2144,6749.7173,6742.721,6783.326,6749.2505,6757.365,6903.686,6884.226
7019.409,7018.124,6955.2183,6979.018,7004.561,6986.939,7110.4565,7168.707
7314.901,7308.7896,7290.476,7362.24,7307.7783,7380.0273,7569.792,7378.231
7698.9907,7657.195,7583.4155,7629.654,7679.2446,7638.0957,7861.5806,7668.542
1177.0049,1154.4888,1202.3927,1057.916,1221.745,1232.8501,1328.3339,1164.4735
9772.203,9768.184,9796.101,9729.548,9758.073,9736.163,9748.906,9422.479
3337.6514,3340.799,3339.8696,3347.5376,3340.998,3334.7239,3352.7192,3340.6572
2586.818,2562.58,2532.5688,2589.8157,2582.012,2567.1755,2560.7058,2592.2642
2464.869,2467.9004,2455.3977,2484.389,2470.887,2470.4546,2483.9595,2450.4177
2541.1533,2536.4788,2513.6077,2538.388,2539.9731,2534.858,2543.5283,2537.392
1148.119,1147.8043,1149.8263,1148.9822,1146.5791,1145.6708,1149.2902,1149.1061
3194.8875,3198.9348,3270.3345,3341.1018,3266.1294,3254.4922,3250.5684,3134.418
1758.527,1765.3069,1790.2057,1807.5133,1782.3595,1775.306,1774.5171,1790.213
11999.157,11891.825,11566.277,11905.877,12237.844,11976.966,12224.672,12216.968
1301.6095,1301.8685,1315.6957,1339.6443,1317.77,1316.6885,1296.3306,1307.6095
2090.8484,2070.51,2106.566,2138.6936,2100.808,2101.6956,2089.4,2141.1904
2381.2246,2385.5256,2410.9453,2450.2056,2407.8257,2413.8806,2410.1887,2376.298
4914.6616,4945.307,4866.8027,4927.421,4976.3145,4931.603,4884.056,5000.2334
5595.232,5585.1895,5494.8535,5673.348,5615.437,5622.4585,5675.295,5597.109
6249.8677,6275.0596,6287.647,6256.118,6269.7773,6243.2847,6293.296,6294.646
9617.593,9543.081,9362.773,9632.348,9617.458,9602.957,9616.571,9650.092
5158.5146,5211.8457,5366.9355,5298.646,5272.427,5256.703,5238.125,5106.302
6013.8066,6002.576,6038.5693,5997.4424,6022.891,6015.7583,6022.391,5935.4404
2335.9785,2339.1755,2338.751,2349.5837,2345.2402,2344.6646,2342.063,2333.782
1366.6498,1365.2794,1357.882,1361.5479,1363.7656,1362.9619,1363.1208,1363.6643
7209.1245,7314.1836,7048.262,7608.1343,7043.606,7109.5615,7066.073,7466.7676
9268.974,9280.254,9273.545,9228.873,9283.322,9319.779,9424.861,9224.414
4860.601,4874.904,4966.3984,4905.687,4914.486,4925.2065,4965.563,4843.904
1853.1847,1874.1149,1935.1976,1953.5226,1846.795,1847.2183,1855.3994,1828.614
3080.8206,3082.8284,3079.5442,3089.733,3080.676,3083.4902,3096.046,3096.7146
2454.6646,2457.454,2441.589,2447.7878,2450.5483,2449.4949,2457.4973,2445.9182
4640.1987,4619.1494,4658.533,4597.3647,4663.0376,4611.36,4651.016,4671.064
8293.306,8290.612,8301.042,8318.969,8311.86,8293.738,8345.1,8343.887
7139.1904,7139.4424,7212.097,7158.756,7182.3105,7175.407,7151.464,7123.1807
10092.953,10023.9795,10039.182,9823.74,10095.017,10104.86,10098.672,10074.002
9012.6455,9036.39,9138.0205,9100.769,9069.382,9080.03,9115.551,8983.0
4205.25,4198.2437,4114.8804,4217.31,4164.8057,4160.069,4226.3193,4370.6543
6083.879,6095.919,5987.341,6432.081,6061.6875,6035.4707,6151.4014,6053.168
5537.5396,5568.0347,5662.494,5344.1865,5468.2754,5451.307,5508.1123,5358.627
5212.5503,5190.0464,5213.725,5192.846,5204.8267,5204.43,5221.4004,5213.2686
1931.3596,1930.0793,1945.6577,1904.9805,1930.7485,1934.0681,1944.8419,1937.1183
2148.1096,2138.105,2144.2903,2112.4832,2140.437,2140.2744,2157.602,2093.0657
5378.3267,5367.3374,5312.731,5400.0215,5378.073,5359.575,5397.2324,5385.1523
1283.8273,1284.5212,1289.9913,1297.8071,1290.2435,1290.4398,1295.8082,1296.4822
1936.0767,1937.277,1931.6754,1939.0413,1937.247,1936.8625,1943.9529,1942.7811
3347.2,3367.7896,3409.8682,3329.8027,3383.0586,3378.7766,3371.5396,3387.4778
9694.478,9660.4,9682.223,9748.928,9745.943,9750.9,9796.843,9604.766
1284.7334,1284.3916,1330.0338,1375.2556,1288.2018,1290.7153,1299.4316,1294.1084
8903.149,9015.768,8954.018,8873.683,9014.025,9041.07,9108.011,9079.672
9255.791,9257.735,9293.7,9395.114,9374.666,9387.298,9229.317,9202.915
1464.575,1458.2231,1424.5507,1503.9628,1486.6337,1480.6074,1488.9928,1486.1296
5870.7515,5868.0405,5865.4614,5879.1797,5860.958,5868.183,5875.392,5878.5425
2655.5083,2656.8433,2656.2207,2689.338,2683.117,2668.537,2650.0647,2702.5825
1603.872,1594.6085,1646.2599,1666.6023,1586.7147,1589.9844,1605.1593,1597.5482
6844.5996,6876.1816,6846.652,6958.6943,6892.053,6891.7656,6933.4453,6816.278
3012.822,3014.6726,3048.0186,3068.9897,3040.7053,3034.663,3040.489,2999.784
1468.6157,1468.5652,1475.4089,1488.3081,1479.2513,1477.9109,1480.1296,1481.8875
7468.033,7468.6475,7477.8086,7513.075,7487.691,7479.948,7465.0073,7504.007
9767.111,9762.844,9820.417,9778.471,9787.167,9795.58,9817.912,9754.684
1393.9595,1391.7284,1420.7068,1403.5192,1402.7241,1405.4231,1397.199,1415.1653
2824.0063,2818.4639,2782.735,2838.0964,2833.4285,2821.6768,2877.6392,2872.2832
1840.3997,1854.7343,2030.7546,1860.7639,2135.8872,2149.1504,2196.796,2186.845
2834.0283,2895.5403,2910.012,2849.193,2876.0498,2869.172,2918.0159,2906.283
3097.5679,3105.2214,3182.0654,3243.5034,3169.5269,3166.2986,3262.9744,3152.7886
4882.5723,4845.5767,4942.8477,4652.435,4856.8955,4857.2095,4917.885,4694.1772
6275.4897,6354.1143,6301.498,6405.133,6282.755,6312.744,6420.188,6407.6323
10514.323,10502.742,10863.691,10571.934,10644.295,10572.623,10765.78,10772.364
3247.494,3272.6467,3302.3691,3350.7869,3300.8267,3301.7114,3337.2583,3237.8347
1098.5476,1104.3269,1111.0819,1091.061,1113.1272,1097.1091,1126.3811,1095.684
10721.461,10721.558,10720.849,10746.69,10726.051,10726.33,10709.3,10722.813
4749.489,4770.0796,5224.7944,4754.042,4735.286,4678.12,4694.0566,4662.9443
3947.417,3934.6873,3985.46,3826.7856,3924.774,3914.4604,3986.68,3964.91
5195.659,5189.7437,5224.5767,5148.9014,5188.416,5146.7534,5219.756,5220.216
2999.04,3019.0283,3024.2898,2975.0088,3012.7915,3001.196,3037.4739,2962.055
1596.2483,1594.8245,1600.5208,1590.5569,1594.2479,1593.0594,1600.4197,1575.1448
13434.355,13442.691,13483.282,13415.276,13414.876,13398.127,13469.632,13310.121
17539.426,17565.492,17460.68,17673.164,17586.674,17536.957,17650.225,17686.572
16985.143,17083.225,17271.234,16716.137,17068.873,17099.654,17214.488,17231.154
1666.0734,1688.8882,1732.6665,1633.171,1688.2555,1713.407,1734.4098,1706.8441
6813.5376,6814.641,6815.383,6815.6895,6815.304,6820.5947,6826.6323,6822.3726
4524.9585,4523.651,4532.389,4518.2183,4523.669,4521.232,4530.6235,4525.789
2263.73,2262.5266,2262.1838,2266.4119,2267.4287,2271.575,2288.0295,2289.7112
3404.4968,3402.5354,3449.9265,3396.5774,3409.3455,3415.5452,3434.7126,3449.0803
12411.59,12407.788,12405.372,12417.458,12407.552,12409.61,12487.541,12687.813
33767.203,34245.54,34698.79,33808.35,34361.332,34099.586,34730.64,34738.29
1112.2327,1113.7535,1109.232,1110.3706,1110.5714,1112.9631,1123.1893,1120.7217
2357.1396,2353.943,2331.8264,2365.526,2353.8142,2352.904,2358.0479,2361.1855
3982.0696,3996.6912,3961.349,3968.205,3968.335,3996.9,4001.6133,3992.701
8776.066,8765.122,8734.05,8785.082,8776.579,8762.244,8826.407,8928.285
8439.913,8420.541,8405.992,8411.285,8408.217,8411.755,8707.565,8452.87
1098.3645,1099.8959,1105.6049,1099.9979,1098.2753,1100.8029,1121.0789,1101.3926
7120.8203,7124.3867,7110.8457,7113.761,7113.2144,7122.0977,7138.805,7115.803
1562.1779,1559.1239,1559.7803,1567.6881,1559.8,1559.99,1569.009,1565.229
3911.5303,3915.7332,3898.9417,3915.5789,3900.158,3900.615,3925.4465,3907.3733
5806.698,5810.448,5846.7476,5816.92,5785.088,5793.1475,5790.586,5795.7715
8797.797,8787.325,8820.562,8838.295,8785.026,8778.788,8888.764,8841.508
21039.588,21026.863,21078.762,20977.371,20990.842,21019.93,20727.428,21054.354
2558.4526,2560.273,2574.6606,2563.7617,2565.422,2570.0706,2588.6716,2626.259
1762.1368,1754.3462,1718.4065,1781.8848,1805.4984,1793.2649,1826.2461,1781.4591
7198.6777,7198.916,7179.889,7210.518,7191.5957,7229.185,7286.387,7279.9014
4289.9775,4289.775,4309.3237,4300.0327,4292.0366,4294.958,4324.005,4315.684
2308.0767,2305.4104,2303.211,2312.491,2305.8582,2304.6287,2352.241,2388.0652
2311.2917,2309.821,2309.1973,2315.822,2310.843,2311.7083,2318.4778,2314.1694
6218.242,6235.3765,6196.8877,6205.055,6214.8794,6220.3965,6300.8574,6309.596
1810.8529,1807.0374,1809.1948,1813.0573,1807.604,1810.2261,1816.1558,1814.7517
3722.367,3674.043,3729.9775,3502.271,3736.6296,3753.5044,3800.8955,3812.8115
6239.1133,6263.8467,6231.2495,6228.5005,6242.2686,6246.758,6256.035,6288.436
2317.4111,2318.302,2310.3347,2316.9932,2314.014,2315.5964,2321.1118,2313.8694
3078.616,3077.123,3077.3242,3082.148,3076.7412,3076.8044,3082.876,3081.9836
2334.0718,2333.462,2333.2727,2336.1968,2335.2932,2334.4536,2357.4307,2343.9353
