V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2023.1375,2044.1008,2032.3943,2028.9425,2037.6682,2042.34,2033.9438,2049.5205,2043.3594,2050.0413,2041.305,2040.2507,2036.6833,2041.7312
2993.2937,3015.9,3004.0454,2972.3613,3017.642,3009.604,2981.6494,3020.565,3013.7117,3015.6062,2995.9133,2992.94,3004.862,2989.0083
1120.563,1141.0847,1129.9203,1105.3881,1155.7308,1121.7744,1144.9695,1169.794,1136.6436,1145.7195,1141.3491,1147.6477,1154.9285,1182.3533
1287.829,1260.6346,1291.9358,1085.3876,1415.915,1352.6812,1270.1792,1316.3547,1294.3296,1348.981,1365.7075,1199.9275,1249.2717,1319.7886
5888.825,5924.5713,5910.4575,5895.3394,5892.119,5918.155,5906.5205,5948.809,5931.8203,5937.424,5930.137,5928.754,5893.663,5924.6836
3200.3467,3247.4238,3272.247,3095.7214,3149.851,3166.637,3113.6636,3205.399,3225.5713,3211.621,3171.1106,3174.9785,3176.4656,3137.4414
4428.8306,4808.8545,4082.1895,4926.5483,5336.2246,4989.7007,4801.8223,5240.251,4750.7314,5451.1426,5725.7393,5057.8193,5793.846,4220.245
1745.9269,1759.4089,1759.366,1737.5017,1742.4822,1750.6207,1736.6251,1758.3108,1756.5295,1759.2971,1755.8245,1755.7456,1742.3627,1743.0239
1597.626,1609.8895,1609.9336,1589.5776,1594.5762,1601.781,1589.0328,1608.8746,1607.4073,1609.6593,1606.6528,1606.3738,1594.531,1594.9407
2651.6187,2652.1567,2680.517,2669.7996,2637.5469,2638.932,2651.174,2650.4705,2659.6094,2655.8025,2669.4458,2680.496,2651.4353,2636.3306
2449.4858,2463.0073,2480.3123,2448.6926,2452.37,2455.3428,2462.4077,2467.183,2488.5908,2472.0725,2483.818,2477.5398,2448.9397,2435.8975
3654.9321,3687.9058,3678.7368,3703.3733,3679.2485,3689.6646,3678.8674,3707.7273,3684.8506,3695.0205,3697.291,3700.584,3671.905,3674.4492
7231.6904,7271.0786,7242.085,7330.97,7254.38,7287.454,7291.462,7379.692,7247.546,7300.6343,7269.2373,7299.2847,7185.6177,7288.83
5764.0635,5775.0986,5754.6084,5657.1406,5749.078,5800.944,5757.551,5807.804,5796.302,5836.802,5809.301,5753.1553,5764.124,5805.395
7092.838,7654.222,7309.31,7699.0537,7967.784,7429.212,7602.286,7999.329,7468.679,7436.2217,7916.1553,8005.448,8275.922,7753.3223
3096.3042,3111.4414,3115.2495,3086.3118,3081.4946,3100.9553,3100.0488,3133.5193,3138.082,3133.3645,3136.9583,3117.0469,3086.4834,3084.2095
4027.7166,4038.6675,4035.4983,4062.4148,4041.3376,4059.4333,4054.866,4092.269,4025.0605,4067.015,4069.588,4072.2783,4052.727,4083.8882
9560.293,9635.288,9616.038,9634.984,9583.904,9622.903,9574.801,9690.339,9627.602,9649.521,9603.592,9639.222,9568.697,9571.122
2674.9639,2701.3955,2715.7295,2665.0952,2690.878,2716.46,2724.6816,2729.4512,2685.9487,2699.0881,2670.663,2701.9346,2686.818,2783.4988
10873.318,10933.85,10914.639,10937.473,10894.693,10919.054,10889.842,11006.832,10986.867,10967.544,10959.455,10967.77,10904.173,10853.255
