V1,V2,V3,V4,V5,V6
7173.624,7195.1265,7186.4653,7146.3154,7082.635,7095.8394
1647.1091,1640.592,1707.81,1605.8977,1695.6648,1847.702
8541.05,8750.972,8937.8955,9130.354,9314.617,9527.198
9833.844,10086.222,10288.5625,10512.846,10726.637,10992.766
7155.8623,7434.583,7700.0225,8049.3936,8337.908,8620.178
4231.6274,4425.8584,4587.4155,4762.1177,5001.5283,5292.945
3864.1895,4017.9795,4139.5405,4217.249,4438.585,4783.059
2401.795,2417.829,2410.329,2431.9326,2428.7153,2429.441
2324.151,2352.642,2370.8535,2401.8638,2417.1924,2445.5337
2378.314,2405.8357,2426.5898,2475.163,2499.3276,2531.5586
1507.7219,1524.4097,1533.1287,1553.8914,1562.7109,1578.5022
2023.5835,2075.3347,2123.6975,2178.9036,2228.7236,2287.2883
4747.8174,4849.002,4922.6826,5007.963,5082.8916,5122.2207
5140.704,5199.95,5252.415,5346.172,5382.122,5415.5127
5523.6143,5604.7793,5716.832,5913.706,6027.079,6117.708
2542.587,2580.6904,2606.2573,2619.9229,2635.8604,2629.1821
3879.6177,3951.8853,4011.5093,4075.3735,4135.076,4168.7363
3180.9043,3214.9067,3231.487,3251.1523,3263.0308,3258.9683
3234.2935,3444.166,3654.4653,3747.9026,4005.6816,4453.8833
6575.1445,6693.131,6851.826,6981.576,7112.953,7296.715
9771.43,10145.988,10591.986,10966.573,11480.883,12143.172
4695.236,4866.074,5015.8945,4989.653,5301.3604,5882.9204
10286.533,10411.675,10611.201,10523.889,10926.039,11738.471
9442.277,9584.594,9819.354,9679.709,10174.246,11196.935
2503.4795,2583.9438,2674.3364,2723.9932,2857.2483,3064.8442
7889.833,8122.626,8366.216,8274.294,8767.537,9762.837
1890.0503,1949.2349,2011.7859,2011.5654,2128.3442,2339.4778
1839.6812,1887.7847,1947.1277,1939.1705,2041.872,2236.0342
4296.9385,4361.2573,4429.2266,4529.166,4600.783,4707.297
4551.1416,4656.9844,4762.8706,4885.9707,4988.8276,5118.3013
3832.0508,3859.5928,3861.915,3925.851,3934.812,3944.4673
5486.915,5561.8306,5638.1274,5734.3877,5798.129,5901.46
1288.429,1308.9547,1325.325,1348.9852,1363.7205,1386.8486
1718.4175,1746.2268,1766.9722,1797.4866,1816.8289,1846.8115
3458.4185,3527.307,3599.4377,3688.8477,3759.3887,3858.5815
1186.7883,1203.3331,1214.889,1236.4529,1249.3213,1267.8835
4081.0422,4158.932,4250.357,4365.259,4454.0312,4581.523
1825.898,2391.8762,3960.9194,2736.5415,3342.6492,3815.7817
3818.0889,3926.5544,4019.5278,4122.766,4207.2417,4249.95
4788.2856,4915.2915,5024.6704,5118.8535,5214.3125,5290.984
14664.357,14891.299,15066.834,15135.585,15207.482,15312.569
5863.967,6183.8267,6521.2617,6872.8027,7243.5156,7588.3584
2960.0212,3086.3618,3220.0938,3374.0286,3530.3047,3662.9897
10277.064,10588.656,10906.766,11198.139,11525.004,11782.431
10202.695,10446.744,10692.908,10916.577,11140.636,11352.568
6448.196,6852.718,7288.3516,7654.0293,8107.493,8521.838
6456.878,6862.5117,7298.5596,7665.1963,8119.3286,8534.542
6582.1294,6581.263,6516.1216,6452.1436,6444.1846,6353.8267
2512.3818,2534.3914,2543.4692,2561.7517,2569.2632,2580.19
18510.035,18678.387,18772.227,18891.033,18927.125,19025.041
8142.1733,8234.545,8252.023,8311.029,8321.432,8348.391
18173.307,19376.576,20596.91,21995.363,23290.38,24636.031
19996.797,20822.521,22154.824,23434.664,24980.273,27588.828
9116.971,10018.053,10819.538,11684.56,12520.417,13375.792
2832.9165,3104.598,3344.9478,3617.3276,3871.646,4141.8096
12438.492,13594.932,14746.786,15816.186,16869.457,18312.662
2157.7417,2295.0051,2432.0674,2574.9358,2731.9902,2878.3494
10134.301,10479.553,10737.52,10847.174,11080.964,11255.87
10025.326,10134.867,10218.473,10259.811,10295.914,10394.75
10151.16,10378.411,10592.939,10777.463,10962.48,11161.528
9977.605,10180.662,10215.787,10142.726,10146.777,10230.478
10227.194,9683.208,9895.586,10901.483,11084.26,11039.766
10353.306,10707.055,11189.654,11605.953,12102.823,12537.722
