V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
625.93225,615.25183,590.42957,582.84485,571.10333,558.3826,565.73315,568.67487,594.3742,610.2805,632.0895,656.6425,665.267,687.9568,717.9548,731.1523,734.9647,723.0421,729.2753,735.3944,712.81165,694.2982,670.0285,642.6838,621.4827,620.4111,593.68286,576.82556,574.27344,561.7014,569.64325,572.36536,567.9362,589.245,602.5973,627.0208,668.29364,697.78925,716.2708,713.936,723.02,726.13885,716.9707,730.0445,720.4141,692.7006,670.8875,654.69617
2798.0537,2755.4531,2647.943,2612.7622,2552.16,2486.278,2500.4326,2503.957,2608.0881,2669.5437,2751.5374,2845.8147,2873.267,2972.2078,3103.3347,3164.1833,3191.463,3145.4407,3187.0918,3221.5842,3136.6694,3065.2512,2972.3516,2859.9414,2781.2551,2782.1086,2665.3088,2583.966,2569.406,2503.5552,2530.3765,2527.5872,2499.3257,2583.733,2631.613,2725.4612,2894.1558,3018.781,3099.482,3091.1062,3139.4858,3160.7021,3136.4265,3200.85,3171.0454,3064.385,2974.5215,2927.572
1098.8119,1087.5134,1049.2936,1036.5216,1015.79675,986.94293,986.2936,979.4188,1011.177,1026.0294,1047.9454,1075.577,1077.847,1114.8958,1160.0332,1179.2727,1191.0149,1178.934,1199.9812,1218.5015,1191.7527,1175.0402,1146.0079,1111.7462,1086.5277,1092.2928,1047.7269,1020.6754,1019.5988,989.5393,995.8399,983.43585,969.0995,995.78503,1004.0158,1028.1731,1084.9507,1126.7874,1151.4237,1151.9304,1168.559,1177.113,1174.4485,1205.45,1199.727,1169.6077,1146.2034,1129.3872
4817.3804,4780.075,4624.913,4569.568,4463.741,4316.5,4265.219,4197.975,4306.9634,4325.4087,4375.1636,4462.736,4441.2173,4586.4385,4776.0107,4867.0728,4947.7153,4915.9507,5051.2407,5155.4375,5093.98,5058.2686,4973.2183,4854.351,4772.616,4823.7764,4636.7944,4505.61,4490.695,4331.7188,4318.999,4230.1753,4126.2583,4201.6973,4197.281,4268.0234,4485.299,4653.589,4768.5557,4765.7817,4852.274,4914.2495,4953.757,5110.1914,5139.4395,5062.8306,4984.4834,4961.0723
2583.1045,2532.9844,2403.3936,2336.9043,2249.1006,2136.6213,2089.7039,2053.6646,2104.2917,2138.7852,2194.6143,2288.5967,2317.1323,2437.9263,2564.107,2662.531,2729.9558,2751.2537,2835.96,2909.4658,2851.0623,2811.9744,2722.262,2629.3284,2544.4204,2526.4229,2390.9578,2307.1606,2252.161,2147.7383,2121.4077,2061.8186,2018.2126,2074.3193,2095.631,2160.547,2323.9397,2458.7527,2555.3555,2585.1611,2671.3022,2733.1992,2755.0823,2864.2007,2875.9348,2792.011,2693.367,2676.7678
5625.596,5667.2744,5611.1904,5685.4443,5736.236,5751.1113,5919.998,5945.3066,6185.19,6266.5527,6334.915,6386.285,6313.0483,6367.677,6499.583,6405.8374,6312.6416,6091.8037,6064.8057,6060.07,5892.933,5814.249,5721.523,5599.4404,5571.347,5734.0244,5633.0127,5603.9893,5780.2563,5745.967,5909.474,5957.9277,5913.098,6074.1875,6098.4526,6186.5674,6372.3467,6449.6616,6436.2295,6299.5493,6206.3877,6107.0586,5984.526,6027.66,5917.63,5799.001,5831.5674,5716.3174
38243.68,37922.98,36607.707,36086.3,35246.203,34005.492,33604.805,33035.09,33806.53,33972.895,34399.74,35141.62,35005.426,36251.285,37743.96,38468.277,39107.9,38977.254,40073.07,40971.65,40400.66,40154.734,39396.21,38446.156,37722.406,38051.16,36537.53,35577.773,35426.484,34098.68,33971.355,33138.33,32385.775,33031.5,32974.69,33469.04,35259.195,36657.58,37549.816,37564.426,38297.65,38818.344,39133.297,40488.17,40694.26,40027.457,39393.59,39236.465
28142.445,27742.662,26718.053,26490.172,26055.531,25594.059,25997.926,26209.498,27440.668,28240.729,29155.05,30189.984,30514.734,31452.537,32680.346,33176.598,33225.445,32602.76,32757.723,32949.08,31874.125,31023.992,29951.771,28762.79,27965.352,28004.191,26881.26,26207.148,26212.03,25751.738,26236.22,26436.658,26289.777,27270.36,27898.14,28986.633,30722.805,31906.586,32601.92,32394.895,32699.043,32740.924,32237.615,32719.36,32195.91,30933.215,30007.36,29417.893
34467.887,34129.637,33032.46,32769.3,32192.168,31479.121,31645.71,31584.8,32786.09,33348.895,34092.72,34965.812,35033.54,36047.523,37443.008,37947.117,38191.746,37575.69,38088.066,38510.207,37637.438,36985.562,36086.715,34949.82,34229.08,34504.53,33230.312,32376.275,32426.04,31642.598,31983.26,31857.91,31422.174,32311.797,32679.402,33573.734,35350.76,36608.168,37363.848,37140.684,37551.19,37715.055,37495.336,38267.25,37998.656,36988.91,36232.152,35765.043
407.4293,406.57596,397.20932,395.6136,390.74582,382.49512,384.16254,380.6542,392.59116,394.9716,399.05768,403.88623,400.63205,410.67184,425.49323,427.2567,429.23312,421.53946,428.32416,433.8928,426.78357,423.5857,417.43665,408.55334,403.35605,410.15912,396.22183,387.9212,392.6702,383.213,386.93155,382.82083,376.18198,384.09775,384.02246,389.0479,405.7566,417.52423,423.60648,419.90964,421.67572,421.78387,420.9426,430.49942,429.02118,422.98306,421.0396,412.47275
