V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38105.43,38093.22,37877.22,37983.15,38043.895,38179.688,38291.625,38233.32,38231.797,38124.36,38103.977,38088.19,38280.926
3804.7476,3810.6934,3781.374,3791.9106,3797.8972,3811.7185,3822.8198,3817.0864,3816.921,3806.215,3804.1968,3802.6184,3822.0042
9632.024,9628.1045,9574.743,9600.886,9613.678,9640.563,9668.076,9651.761,9651.031,9624.531,9619.177,9614.012,9661.68
2389.2222,2388.0586,2375.218,2382.3494,2386.4739,2395.6086,2402.5435,2399.439,2399.1692,2392.3333,2391.3174,2390.4543,2403.3745
1728.7992,1726.8795,1724.4475,1729.4753,1730.0502,1733.8573,1739.217,1737.8867,1737.8088,1732.6135,1732.4114,1731.9998,1742.1074
630.2802,630.1308,628.1868,630.02277,630.6656,633.3894,635.4803,635.3021,635.21606,633.24,633.2976,633.0979,637.0198
2890.3533,2897.533,2882.1382,2890.551,2895.5537,2904.686,2906.5254,2902.4077,2902.178,2893.7827,2892.6567,2891.5251,2907.2085
2362.0554,2363.0408,2351.9763,2359.5984,2365.846,2373.5493,2373.091,2368.1973,2367.9272,2361.283,2359.8384,2358.5962,2370.8376
6241.4033,6239.087,6206.4497,6226.875,6236.156,6258.0396,6271.2075,6263.4653,6255.249,6237.5464,6233.3623,6229.9204,6260.8267
4909.5454,4907.01,4879.21,4892.316,4898.2095,4909.5806,4920.6987,4911.417,4910.932,4897.6807,4894.0854,4891.6523,4915.456
424.2462,424.128,421.81378,423.35483,424.2146,426.13016,427.41943,427.1946,427.14322,425.90564,425.84473,425.70135,428.20282
1050.2443,1048.2518,1041.8574,1044.9144,1046.3037,1050.3193,1053.1965,1051.4081,1051.2284,1048.3754,1047.6945,1047.1803,1052.7013
2201.2495,2200.1584,2187.5542,2194.6357,2199.0432,2212.7698,2212.1455,2205.9663,2205.6343,2199.6865,2198.039,2196.875,2207.7866
2201.8633,2200.8816,2190.5942,2195.968,2205.512,2213.6482,2211.5273,2206.6826,2206.3638,2200.4153,2198.7825,2197.6296,2208.5535
3443.223,3441.3914,3421.2522,3427.9836,3437.1218,3449.615,3451.653,3439.12,3438.4478,3429.8477,3425.6384,3422.9905,3437.6953
3443.223,3441.3914,3421.2522,3427.9836,3437.1218,3449.615,3451.653,3439.12,3438.4478,3429.8477,3425.6384,3422.9905,3437.6953
12003.077,11996.95,11930.385,11962.993,11977.651,12014.152,12048.138,12027.558,12026.74,11993.625,11986.02,11980.582,12039.925
4509.457,4507.1895,4482.539,4495.301,4502.589,4519.054,4532.2783,4525.683,4525.418,4512.635,4510.334,4508.422,4531.515
3003.8625,3002.603,2994.6582,3004.4285,3009.6873,3016.6892,3021.5422,3018.1555,3018.0227,3009.4348,3008.4688,3007.7976,3023.9827
4524.551,4522.6704,4506.9346,4520.6006,4521.578,4543.8486,4553.3857,4545.795,4545.5347,4532.4053,4530.893,4529.4497,4553.589
2095.1729,2094.1692,2083.4172,2090.2437,2093.7507,2110.0693,2107.7734,2105.4543,2105.31,2099.1606,2098.535,2097.8076,2109.522
3638.8772,3637.0085,3617.706,3630.054,3639.2761,3655.8696,3657.9294,3652.4185,3652.1692,3641.9182,3640.129,3638.837,3657.712
821.17487,820.8533,816.3674,819.599,823.18463,824.8227,825.9385,824.807,824.6551,822.3763,821.9874,821.6864,826.2771
6639.2964,6635.8013,6600.9185,6619.2173,6633.361,6661.037,6671.7637,6661.3125,6660.9263,6642.3228,6638.737,6636.1304,6669.8955
1035.8378,1035.37,1029.2018,1033.3374,1035.1975,1045.7496,1040.2732,1045.7361,1040.6024,1034.8485,1034.1417,1033.3928,1038.2539
2982.5771,2981.2126,2966.6936,2976.9617,2981.8582,2991.873,2999.2693,2995.3198,2995.1223,2986.6565,2985.3833,2984.3757,3000.1887
2453.032,2451.926,2439.729,2447.574,2454.376,2464.306,2472.7107,2472.4097,2472.432,2464.3696,2464.8975,2464.1458,2479.659
3369.1438,3374.414,3357.509,3366.9592,3371.7405,3378.8882,3389.5757,3378.904,3378.6055,3369.1602,3367.1753,3365.7444,3382.921
694.3043,694.02936,690.09955,692.2619,693.5781,699.99176,698.7342,698.1988,697.5543,695.5013,695.25024,694.8916,698.7672
3745.9192,3744.1267,3725.091,3741.4302,3747.2957,3763.428,3765.8445,3760.5823,3760.348,3749.7395,3747.998,3746.658,3766.2524
790.4076,790.0699,785.4144,787.6742,789.05505,793.681,794.3113,792.6351,792.4167,790.2041,789.70776,789.24146,793.62836
3899.5393,3902.635,3884.797,3895.718,3901.1594,3914.9849,3917.676,3911.1926,3910.874,3900.044,3897.7246,3896.0315,3915.782
1581.5233,1581.9124,1572.993,1577.7284,1589.1827,1587.2115,1593.1558,1596.9868,1590.5201,1585.439,1585.2914,1584.6886,1593.1276
1132.396,1132.3032,1126.8352,1128.9426,1138.9797,1137.2964,1140.6011,1143.0667,1136.6461,1132.4673,1132.0884,1131.3453,1136.8672
1158.3901,1158.5447,1153.4574,1157.235,1166.3993,1162.2157,1173.221,1165.0803,1164.3296,1160.9403,1160.6417,1160.2074,1166.6143
16082.274,16068.843,15975.491,16018.382,16042.833,16100.067,16146.165,16119.955,16118.731,16073.462,16064.019,16056.202,16137.112
2903.7178,2907.951,2891.8184,2899.8655,2903.975,2912.7468,2917.1296,2910.0579,2909.5735,2901.4424,2899.819,2898.4634,2913.1245
3194.2065,3192.6328,3175.0955,3184.188,3189.2778,3201.0427,3210.3076,3205.589,3205.3196,3196.365,3194.749,3193.398,3209.7146
5679.3765,5676.665,5644.833,5660.1406,5667.9824,5687.637,5700.421,5688.4814,5684.912,5669.3,5665.7017,5662.907,5690.664
5673.777,5671.1333,5639.3315,5654.624,5662.458,5682.1475,5694.209,5682.9995,5679.3403,5663.7446,5660.1846,5657.3765,5685.094
6234.866,6231.6787,6197.0938,6214.2505,6223.4224,6245.7554,6263.6235,6253.237,6252.787,6235.5405,6231.771,6229.042,6260.0103
