V1,V2,V3,V4,V5,V6
7291.364,7541.0693,7644.6313,7691.9043,7814.009,7913.4023
1408.4794,1346.5403,1391.7887,1421.5936,1440.7936,1456.877
8447.187,8709.424,8947.036,9166.212,9388.869,9491.214
9682.193,9969.352,10232.518,10483.261,10736.669,10851.934
6832.78,7103.3745,7334.237,7543.877,7765.765,7837.933
3898.7192,3848.6738,3942.532,4280.5205,4411.2646,4449.3955
3510.9448,3512.1465,3572.9543,3711.3518,3942.2312,3973.1812
2539.288,2417.8003,2461.5535,2490.1423,2501.2598,2733.8691
2400.3772,2225.5457,2265.2397,2516.7402,2604.2139,2637.8335
2407.1753,2340.7896,2381.436,2416.1619,2595.5618,2626.1418
1608.2251,1542.886,1464.0208,1683.6155,1736.6709,1750.8547
2067.2856,2134.7332,2186.676,2236.1975,2287.135,2312.6206
4900.148,5026.9365,5179.29,5295.0947,5284.6836,5523.201
5266.5303,5446.8677,5601.823,5735.094,5725.0723,5758.255
5524.4995,5722.446,5890.4043,6041.166,6193.774,6257.1885
2627.5317,2830.3608,2869.5195,2873.2588,2896.08,2922.8096
4003.6816,4139.5815,4267.7305,4378.752,4335.1885,4370.6587
3265.8816,3455.0928,3526.5886,3520.8643,3553.682,3584.9888
2681.862,2777.2764,2942.0107,3053.524,3170.8765,3150.5718
6325.288,6479.826,6631.6475,6758.0425,6886.859,6842.002
8746.686,9045.008,9314.745,9550.572,9801.891,9773.491
4070.583,4119.956,4271.571,4449.676,4583.6646,4618.0674
8990.056,9077.821,9302.059,9513.433,9704.188,9820.534
8231.009,8350.552,8584.04,8841.608,9064.617,9160.612
2334.6284,2365.0476,2466.777,2533.361,2598.1333,2594.9397
6685.6943,6820.4805,7075.924,7300.513,7503.2227,7566.254
1747.2969,1727.0878,1812.2681,1890.4502,1941.6716,1954.4602
1717.1003,1684.7866,1767.1472,1849.255,1897.8065,1912.2994
4173.416,4149.9023,4227.141,4373.295,4540.4453,4586.8926
4485.887,4371.0684,4490.3364,4843.8643,4967.578,5025.881
3828.505,3754.2878,3829.4155,3918.5962,3959.5928,4158.8945
5395.933,5355.383,5427.3887,5653.5737,5882.1016,5949.2637
1386.0568,1179.32,1207.3846,1242.2416,1514.6725,1538.4185
1798.8944,1607.8832,1641.7961,1682.1694,1927.1255,1983.081
3413.4119,3295.4224,3354.2185,3657.1328,3750.637,3792.3115
1286.737,1214.2847,1153.9926,1130.2577,1388.0505,1405.7509
3960.6528,3909.2202,3946.7263,4237.9346,4350.7896,4394.861
4517.0996,4364.2983,4117.3647,3898.2886,3727.302,3884.3833
3924.0198,4001.162,3984.4875,4071.9602,4190.976,4235.1655
4891.663,5007.0117,5140.0894,5186.795,5252.8027,5325.931
14966.912,15344.397,15722.57,15961.494,16313.169,16493.744
5491.925,5733.427,5938.3003,6124.8525,6325.2363,6381.984
2912.8447,3034.401,3139.4016,3235.7676,3329.8364,3365.167
10117.4375,10433.255,10742.192,10978.496,11160.457,11473.814
10105.152,10390.397,10681.691,10926.556,11054.277,11374.814
