V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2039.5004,2037.804,2037.788,2037.77,2037.7437,2037.7117,2037.9358,2037.9458,2037.9619,2037.9741,2037.9844,2038.0002,2038.0328,2038.0696
2976.2385,2985.906,2985.9392,2985.991,2990.5234,2990.558,2993.36,2993.3218,2993.3113,2993.3704,2993.4983,2993.639,2993.7197,2995.8013
1105.6945,1113.7583,1113.8503,1114.0184,1114.1736,1114.2015,1126.8916,1127.1766,1127.8525,1128.6036,1129.1912,1129.5328,1129.5929,1125.735
1399.1364,1399.0626,1405.715,1406.0048,1406.1995,1406.136,1399.1448,1398.6104,1398.3472,1405.2288,1434.8899,1435.4279,1435.6505,1408.2125
5899.758,5889.377,5889.307,5889.2397,5889.1343,5891.988,5892.816,5892.8564,5892.9194,5892.9644,5892.993,5893.0547,5893.18,5894.956
3280.8093,3283.6228,3283.569,3283.5605,3283.522,3283.4065,3288.594,3288.746,3289.0408,3289.3406,3289.572,3289.76,3289.9436,3290.132
5599.3457,4797.9307,4798.294,4799.4834,4800.4385,4799.9336,4797.9785,4795.5254,4794.29,4795.4653,4798.9604,4803.46,4807.187,4808.3877
1741.7725,1736.9999,1736.9934,1736.9966,1736.9941,1736.9774,1737.5498,1737.5797,1737.6449,1737.7129,1737.764,1737.8033,1737.8333,1737.8901
1594.3903,1590.0651,1590.0604,1590.0626,1590.0612,1590.0463,1590.5468,1590.5746,1590.6322,1590.6913,1590.7377,1590.77,1590.7979,1590.8481
2640.437,2635.833,2635.8015,2635.77,2635.3691,2635.305,2635.2437,2635.1943,2635.1606,2635.4978,2635.5088,2635.5608,2635.8767,2637.942
2459.2776,2456.397,2456.3818,2456.7812,2456.7637,2456.7312,2456.689,2456.6519,2458.1816,2456.6233,2456.6472,2456.6943,2456.77,2458.4414
3649.794,3652.0317,3651.9922,3651.9429,3651.7847,3649.7375,3649.8125,3649.799,3649.7905,3649.776,3651.749,3651.7595,3651.819,3651.6782
7233.2266,7206.0884,7205.966,7205.8228,7209.865,7209.6577,7209.501,7209.4033,7209.3467,7209.2886,7209.2646,7209.354,7209.622,7221.6753
