V1,V2,V3,V4,V5,V6,V7,V8
6628.5903,6644.5586,6652.5396,6657.423,6662.1646,6668.9756,6678.7954,6677.57
6866.429,6884.0654,6893.502,6899.7075,6905.84,6914.1475,6925.583,6887.291
7137.238,7160.347,7170.8135,7177.105,7183.2256,7192.082,7204.933,7177.948
7504.9414,7519.8794,7527.6416,7532.6167,7537.501,7544.2563,7553.728,7529.752
1125.9719,1123.3694,1128.6018,1136.6047,1145.0592,1151.5961,1154.9077,1102.5571
9704.97,9695.518,9701.867,9714.598,9726.881,9734.292,9735.592,9757.95
3313.2627,3310.8733,3312.7742,3316.4043,3320.0798,3322.4626,3323.0938,3333.0242
2565.954,2563.051,2564.9407,2568.6907,2572.3213,2574.5266,2574.9377,2576.3958
2461.2842,2459.3528,2460.681,2463.2432,2465.755,2467.3225,2467.6719,2470.6892
2520.0933,2520.1846,2520.5764,2520.9978,2521.4329,2521.8416,2522.1926,2523.8936
1143.8752,1144.253,1144.5243,1144.7228,1144.908,1145.1083,1145.323,1147.385
3166.2485,3162.5547,3166.9668,3174.225,3181.9878,3188.0947,3190.8345,3196.6533
1778.8209,1775.5448,1777.9673,1782.887,1787.6161,1790.4205,1790.8729,1801.4609
12235.239,12200.906,12223.962,12270.518,12315.274,12342.037,12346.49,12472.325
1318.867,1318.0223,1320.4141,1324.7316,1329.8818,1334.19,1336.031,1313.696
2103.15,2096.9163,2100.779,2109.0222,2116.717,2121.0898,2121.5732,2104.641
2449.7412,2446.2556,2448.376,2452.8403,2457.045,2459.455,2459.751,2461.6545
4789.5933,4793.4395,4797.4536,4802.311,4807.344,4811.7,4814.8843,4806.9307
5568.4326,5556.7686,5564.1504,5578.9976,5593.302,5601.8853,5603.3735,5626.241
6169.795,6158.949,6167.2046,6182.969,6198.5244,6208.3335,6210.634,6267.7583
9469.685,9452.772,9464.5205,9487.073,9509.242,9523.139,9526.355,9572.222
5098.41,5086.996,5099.7173,5124.628,5151.397,5169.7163,5175.205,5230.824
5919.237,5910.7085,5917.5464,5930.5938,5943.8535,5952.4937,5954.79,5969.2095
2324.24,2324.1943,2324.8918,2325.9321,2327.019,2327.8674,2328.3213,2335.2422
1373.205,1373.3275,1373.6882,1374.1633,1374.6703,1375.1051,1375.3982,1374.2347
7312.699,7314.2983,7333.036,7352.0073,7371.3643,7390.1367,7407.335,7403.8623
9131.92,9133.488,9137.14,9141.761,9146.601,9150.754,9153.659,9218.749
4859.8325,4852.4824,4859.395,4873.026,4887.851,4898.0674,4901.206,4955.126
1841.328,1842.173,1843.2596,1844.4124,1845.6022,1846.728,1847.7109,1843.634
3091.2039,3092.2627,3092.956,3093.617,3094.295,3094.9907,3095.684,3093.2856
