V1,V2,V3,V4,V5,V6
7382.0293,7423.523,7423.7627,7424.101,7424.3965,7424.5234
1415.2288,1589.8674,1591.4563,1595.0087,1597.0376,1599.6559
8642.517,8887.186,9008.247,9369.22,9507.08,9631.45
9955.818,10249.948,10395.524,10812.771,11100.107,11101.9
7159.1143,7470.589,7646.298,8327.525,8529.592,8531.079
4103.9873,4277.6406,4400.7314,4494.0864,4695.799,4778.771
3674.5662,3762.2822,3859.9648,3951.0596,4079.519,4119.8896
2390.7212,2373.8406,2373.9026,2391.0044,2391.1597,2391.2212
2306.5842,2339.4512,2361.204,2377.9739,2417.3452,2422.7878
2263.1238,2312.5117,2312.8286,2313.5593,2314.326,2314.941
1489.6207,1505.0814,1516.5033,1525.0507,1543.0654,1550.1692
2011.045,2073.8042,2114.312,2204.502,2226.4844,2227.0513
4916.836,4896.224,4944.7236,4974.642,4989.905,4965.185
5198.659,5198.3623,5242.421,5265.1216,5289.634,5277.8457
5608.958,5678.143,5805.968,5835.8213,5975.585,6039.2793
2808.4712,2871.7615,2927.5237,3030.2673,3111.293,3112.7673
3910.7583,3907.9756,3938.608,3972.224,3983.303,3983.0627
3349.6816,3364.75,3382.05,3398.3418,3408.8352,3408.827
3113.3506,3365.6504,3539.1143,3856.7715,3962.67,4048.0303
6544.192,6688.16,6800.4663,6887.632,7101.1816,7177.5674
9565.568,9956.057,10265.006,10504.247,11105.645,11384.037
4417.135,4617.9795,4749.151,4842.087,4912.1836,5069.993
9539.769,10057.512,10062.596,10071.792,10081.151,10091.0625
8591.836,9193.448,9196.687,9202.846,9209.15,9700.2
2411.7014,2525.1467,2587.4312,2704.3638,2729.0996,2762.404
7542.4756,7829.3135,8132.855,8260.471,8265.148,8591.325
1783.116,1898.0024,1934.35,1961.9995,1963.0109,2023.137
1738.4705,1817.5828,1853.2898,1870.5796,1871.6621,1910.4772
4183.004,4248.8535,4249.4717,4250.6855,4251.9165,4351.4688
4525.408,4676.122,4762.843,4961.383,5029.363,5030.4663
3761.8794,3568.5288,3568.7258,3568.9563,3569.1477,3569.0288
5429.228,5507.448,5568.0303,5613.2544,5708.6475,5745.901
1275.5433,1300.0408,1317.0035,1360.3484,1373.264,1373.3838
