V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2027.2397,2021.3354,2027.0256,2027.8737,2024.2003,2021.4163,2024.7882,2019.2267,2023.4957,2023.5636,2022.9984,2023.0027,2022.5878,2028.1418
2976.4177,2981.4038,2979.8596,2978.5186,2980.3032,2982.7341,2983.755,2990.2488,2983.9114,2983.1577,2980.889,2988.2124,2982.5994,2978.1682
1216.0835,1194.0713,1215.1195,1217.8605,1204.4205,1193.8528,1205.997,1186.5366,1201.5186,1202.4908,1199.9569,1200.0928,1199.3375,1219.3163
1571.2433,1496.5801,1567.6385,1577.239,1531.9893,1496.1516,1537.7402,1471.4517,1522.5857,1525.5449,1516.6953,1517.4336,1514.334,1582.1038
5845.1025,5818.8994,5843.8086,5847.159,5831.3286,5818.71,5833.3486,5810.056,5828.064,5829.032,5825.9995,5826.2295,5825.1147,5848.915
3287.582,3245.2803,3285.6643,3291.028,3265.292,3244.9758,3268.498,3230.9424,3259.9377,3261.6746,3256.6487,3257.0115,3255.4275,3293.8335
5023.9746,4768.777,5068.9727,5072.614,5020.5107,5040.8115,5038.6646,5005.249,4826.117,4978.1094,5094.712,4935.3584,4957.1924,4969.5566
1741.4779,1732.0627,1741.0546,1742.2646,1736.5159,1731.9995,1737.2407,1728.7991,1735.2955,1735.6245,1734.6166,1734.6515,1734.2333,1742.8491
1594.1343,1585.9066,1593.764,1594.821,1589.7979,1585.8508,1590.4312,1583.0555,1588.7319,1589.0197,1588.1384,1588.1692,1587.8044,1595.3326
2625.4287,2608.888,2618.9282,2623.1177,2617.6687,2611.8037,2618.671,2611.3254,2613.988,2616.525,2611.0972,2615.0251,2608.843,2620.4658
2455.487,2448.6624,2453.93,2456.7048,2453.5327,2451.2283,2456.4255,2447.8406,2454.4456,2452.805,2450.7925,2452.0461,2448.6685,2455.4565
3625.6592,3603.6003,3613.796,3619.4622,3615.3535,3608.1438,3613.7788,3610.7983,3606.3752,3612.9917,3604.4578,3611.374,3600.9907,3614.0105
7053.364,7001.828,7063.5894,7064.584,7053.3135,7058.2095,7058.0635,7050.418,7014.617,7045.26,7069.119,7036.3784,7040.936,7043.246
5789.018,5727.9473,5785.8633,5793.6694,5756.882,5727.528,5761.4233,5707.5874,5749.053,5751.5605,5744.3506,5744.9917,5742.3545,5797.6577
7384.3765,7019.8374,7235.1313,7322.0776,7210.7705,7081.654,7202.3105,7085.416,7088.5454,7171.1143,7061.7036,7147.291,7004.018,7254.9966
3066.7825,3067.8623,3060.8948,3061.2588,3063.954,3059.3176,3065.0735,3068.6008,3069.9226,3064.4612,3058.9402,3071.8606,3060.8547,3064.3843
4002.9116,3979.6306,3990.2883,3996.4487,3992.2637,3984.743,3990.662,3987.3293,3982.7136,3989.585,3980.5632,3987.9297,3976.5974,3990.4392
9505.01,9507.399,9490.426,9491.0625,9497.262,9485.048,9499.569,9508.44,9511.696,9498.314,9485.21,9516.904,9490.1045,9499.446
2709.2917,2672.2168,2707.897,2712.604,2689.7534,2671.9097,2692.907,2659.21,2685.3938,2686.4438,2682.471,2682.5405,2681.1174,2715.1375
10806.758,10828.767,10822.182,10816.68,10824.398,10835.736,10839.925,10868.951,10839.542,10836.475,10826.517,10860.101,10834.39,10814.401
2698.6394,2661.332,2697.2366,2701.973,2678.9788,2661.0227,2682.1528,2648.2434,2674.5933,2675.6492,2671.6511,2671.721,2670.2898,2704.5232
2968.5642,2927.856,2966.7258,2971.9116,2947.0693,2927.523,2950.1313,2913.8096,2941.769,2943.3232,2938.836,2939.0288,2937.3682,2974.501
1986.2979,1972.6377,1985.0181,1988.2654,1980.3024,1974.5208,1983.2759,1968.6956,1979.8665,1978.7349,1976.6595,1977.4769,1974.4347,1987.7571
2655.8232,2619.582,2654.1743,2658.7883,2636.685,2619.2822,2639.4033,2607.0923,2631.9607,2633.3513,2629.3542,2629.531,2628.0486,2661.0952
1643.7563,1631.1688,1643.2515,1644.9172,1637.1558,1631.1556,1638.1405,1626.7424,1635.4568,1635.884,1634.5977,1634.6135,1633.9911,1645.605
2467.8862,2432.804,2466.277,2470.753,2449.3716,2432.5244,2452.0337,2420.7085,2444.8232,2446.1055,2442.2974,2442.4546,2440.9556,2472.9773
1733.624,1716.6913,1740.5482,1736.585,1735.7367,1739.7386,1733.6897,1747.7738,1719.3983,1732.5122,1727.7158,1729.8508,1723.6796,1716.9644
396.61847,403.30292,401.00568,399.2352,401.7568,405.31686,406.54297,416.00732,406.67224,405.89188,402.37332,412.91156,405.21313,398.56543
6437.2,6391.4985,6434.9756,6440.809,6413.1533,6391.173,6416.6255,6376.0977,6407.378,6409.186,6403.8276,6404.251,6402.373,6443.8325
569.99426,579.6008,576.29944,573.755,577.37897,582.49536,584.2574,597.85913,584.44305,583.3216,578.26495,593.41016,582.3461,572.79236
2110.9836,2093.2544,2114.949,2115.5178,2111.2954,2113.4292,2113.327,2110.02,2097.9712,2108.705,2116.7605,2105.265,2107.0276,2107.6797
1914.5939,1898.5068,1918.1886,1918.7028,1914.8741,1916.8069,1916.7147,1913.7186,1902.7845,1912.5223,1919.8335,1909.4042,1911.002,1911.595
6877.3047,6819.4404,6843.1987,6858.8564,6851.2026,6832.98,6845.9287,6841.5625,6825.308,6844.128,6819.771,6839.8833,6810.1313,6841.955
2354.2778,2321.475,2352.7388,2356.836,2336.9316,2321.141,2339.3262,2310.3174,2332.684,2334.029,2330.3052,2330.5278,2329.2678,2359.034
1612.5905,1619.7195,1617.2032,1615.3677,1617.8844,1621.4641,1622.7322,1632.843,1622.7805,1622.0778,1618.418,1629.7206,1621.5033,1614.4694
3819.41,3802.7756,3823.19,3823.5605,3819.6523,3821.585,3821.5664,3818.5596,3807.3645,3817.1616,3825.039,3813.9824,3815.6897,3816.4346
2455.1868,2458.5247,2438.3562,2439.0903,2446.7957,2433.035,2449.906,2460.5461,2464.3523,2448.263,2432.2898,2470.3494,2437.9631,2448.651
2298.6318,2302.7078,2278.0261,2279.6572,2289.527,2274.0889,2293.699,2305.7395,2310.298,2291.2332,2271.6636,2316.586,2277.966,2289.7732
2445.1023,2408.608,2432.0417,2451.4497,2438.7273,2429.348,2459.7908,2409.404,2448.4148,2435.7173,2418.6782,2429.9792,2404.4355,2439.772
3863.022,3834.6174,3861.6377,3865.2803,3848.0957,3834.426,3850.2917,3825.0264,3844.5525,3845.6267,3842.3032,3842.562,3841.3765,3867.1724
6577.491,6416.0205,6498.5874,6539.293,6501.7515,6447.6504,6491.871,6460.694,6438.5015,6483.703,6427.0366,6472.774,6400.3916,6502.3716
7387.0522,7300.7803,7382.8174,7393.836,7341.6787,7300.1577,7348.288,7271.69,7330.8643,7334.1494,7324.112,7324.88,7321.273,7399.5903
1120.9285,1121.8927,1116.0652,1116.4233,1118.7491,1115.0454,1119.6904,1122.5747,1123.6439,1119.1368,1114.5278,1125.1857,1116.0382,1118.8695
8578.368,8597.231,8591.3,8586.591,8593.072,8602.607,8606.384,8631.065,8606.0625,8603.44,8595.016,8623.528,8601.534,8584.557
1123.7198,1121.9238,1123.6448,1123.8903,1122.7708,1121.9348,1122.931,1121.3641,1122.535,1122.6086,1122.4285,1122.4448,1122.3281,1123.9667
10182.059,10189.677,10143.488,10145.56,10163.727,10133.085,10170.379,10194.569,10202.702,10166.508,10130.064,10216.302,10142.663,10166.319
1021.75037,1022.17676,1019.5721,1019.7329,1020.75964,1019.1093,1021.2045,1022.4846,1022.97253,1020.9491,1018.88116,1023.6457,1019.5586,1020.82324
10513.743,10522.094,10471.025,10473.836,10494.293,10461.162,10501.927,10527.945,10536.972,10497.362,10457.028,10551.336,10470.609,10495.9
11067.809,11077.047,11021.628,11024.935,11047.173,11011.8125,11055.803,11083.545,11093.488,11050.589,11006.852,11108.529,11021.229,11048.303
