V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37021.402,36902.98,36909.31,36990.387,37044.734,36972.41,36995.125,36928.957,36896.03,36856.35,36875.816,36685.383,36997.133
3685.161,3669.4207,3673.6821,3682.5596,3687.7883,3679.5588,3680.3413,3673.4517,3674.426,3670.3982,3669.8682,3647.1228,3681.5054
9732.515,9713.814,9710.038,9696.041,9709.568,9717.991,9695.64,9670.8125,9704.376,9673.286,9668.104,9687.517,9704.097
2110.7012,2068.4744,2112.5747,2172.2012,2104.53,2084.7834,2103.3965,2114.7922,2108.1223,2100.176,2093.1294,2110.081,2146.2966
1356.1287,1300.0984,1367.519,1464.5211,1356.6082,1321.9037,1346.7714,1369.1577,1352.5267,1339.9978,1335.6929,1360.6217,1416.6254
487.48288,478.59937,463.89398,452.14758,505.12494,483.72034,509.46472,506.1551,485.66687,490.5703,509.9284,461.92438,474.02557
3202.3206,3176.3057,3123.4287,3137.2327,3181.637,3139.4006,3150.1104,3102.4683,3110.9058,3048.601,3087.4507,3114.2012,3056.459
2664.988,2707.584,2566.4207,2461.7075,2746.3608,2685.5454,2603.5796,2511.224,2646.8223,2552.5894,2584.7866,2438.6328,2424.9175
6501.924,6563.7383,6410.7554,6274.7734,6608.379,6541.0786,6423.077,6344.2056,6471.0884,6360.8115,6391.1855,6275.241,6314.159
5102.477,5069.4863,5072.8447,5062.2085,5075.7476,5081.71,5052.023,5017.115,5087.8706,5044.348,5023.0312,5044.2896,5058.8774
345.0766,335.16696,338.55264,344.65372,348.75342,342.27374,344.0163,335.6711,341.95273,341.583,340.69812,320.2553,339.47394
1036.6959,1033.8989,1036.9133,1042.1376,1036.0693,1034.7883,1036.0737,1036.323,1038.6486,1036.4404,1036.7347,1036.0967,1032.084
2261.356,2252.0952,2243.272,2246.8108,2248.661,2246.0325,2247.7314,2234.3584,2242.869,2232.168,2232.782,2236.4849,2228.39
2291.2415,2277.0366,2274.974,2266.4758,2274.7283,2280.379,2265.8777,2248.4673,2271.0093,2251.1948,2247.5178,2259.521,2270.4639
4080.6729,3977.2493,3964.266,3990.8228,3979.5786,3990.8135,3981.2358,3849.9116,4094.041,3969.0444,3892.7231,3906.5615,3878.078
4080.6729,3977.2493,3964.266,3990.8228,3979.5786,3990.8135,3981.2358,3849.9116,4094.041,3969.0444,3892.7231,3906.5615,3878.078
12095.609,12069.787,12072.345,12075.751,12075.606,12076.434,12075.784,12048.984,12121.188,12086.729,12063.486,12063.546,12054.891
4307.6606,4283.93,4302.977,4331.4316,4312.928,4291.657,4315.7524,4318.785,4279.346,4283.7896,4301.4355,4298.051,4328.9756
2518.7947,2494.4055,2522.0378,2587.3857,2628.6821,2562.9468,2470.0884,2462.0022,2599.8616,2498.8496,2473.3594,2345.9644,2428.8037
4379.75,4387.2236,4329.6953,4311.798,4456.0854,4408.9746,4384.862,4360.2515,4420.744,4364.403,4399.4287,4256.4185,4209.5615
2233.4749,2221.693,2194.1416,2206.0078,2246.313,2204.1685,2217.8713,2205.9333,2201.8418,2152.4941,2187.9614,2211.6084,2160.191
4052.1099,4081.4993,3904.3354,3808.5173,4118.361,4055.9487,3966.062,3844.4468,3926.9543,3824.513,3881.2192,3738.4568,3738.2678
735.4578,720.0273,725.72614,733.63324,734.2613,731.0783,732.15753,716.14685,733.987,733.9068,726.9235,701.4603,725.4896
7322.5234,7261.989,7143.4136,7196.0474,7294.116,7191.521,7210.999,7088.6396,7091.3906,6961.3535,7058.435,7118.234,6976.313
1116.7933,1102.5774,1088.1119,1093.4579,1091.896,1092.8412,1093.3193,1074.9995,1074.6088,1063.5264,1069.4379,1075.7634,1068.9916
2648.0728,2610.19,2624.4678,2658.4106,2664.0764,2641.2136,2642.1978,2613.535,2658.6687,2647.6023,2633.4282,2551.9177,2633.6194
1857.4559,1805.6799,1729.1577,1657.9586,1904.585,1827.4438,1938.2694,1911.0579,1889.3446,1898.427,1961.2715,1712.553,1734.0911
4245.005,4211.2476,4032.1067,4058.7354,4248.5737,4104.3345,4097.2627,3952.8005,3946.9268,3763.7615,3898.725,4001.126,3867.7278
