V1,V2,V3,V4,V5,V6
7514.212,7541.356,7560.4766,7568.145,7575.0444,7577.474
1212.5764,1218.9185,1278.8243,1302.3606,1307.7576,1299.3394
8443.542,8618.508,8797.432,8939.269,9065.015,9143.926
9674.576,9844.813,10008.248,10136.4795,10294.007,10369.238
7066.411,7345.475,7618.782,7854.287,8089.7456,8256.285
4051.0874,4215.4375,4402.985,4596.231,4774.875,4937.9727
3252.267,3286.288,3338.8843,3412.5415,3505.9402,3555.5586
2354.351,2353.5442,2351.9062,2352.4634,2350.3547,2349.8152
2287.6482,2309.3967,2339.6108,2369.25,2402.4692,2443.6318
2209.7644,2214.18,2219.3823,2228.7498,2238.043,2241.6687
1480.9247,1496.0844,1512.9082,1530.3813,1545.7471,1560.1389
2079.7476,2140.5957,2210.1772,2279.3887,2350.7544,2417.4478
4976.3906,5109.695,5220.1123,5314.032,5386.012,5431.97
5133.916,5203.584,5254.5845,5291.2256,5324.487,5326.075
5408.2505,5537.5547,5644.5347,5731.129,5803.001,5846.768
2769.3647,2786.9597,2797.4766,2803.2798,2806.5002,2795.8545
3814.6,3845.293,3865.169,3878.4868,3888.3208,3874.0254
3301.2908,3319.6665,3330.766,3337.4988,3341.0247,3329.1477
2483.0718,2549.6562,2646.9058,2780.0679,2946.176,3039.1733
6299.4062,6365.987,6443.107,6529.9873,6644.69,6717.786
9341.066,9713.777,10114.382,10509.296,10883.44,11211.484
4051.02,4205.902,4362.362,4508.6323,4668.715,4792.413
8112.0576,8092.0747,8232.915,8278.674,8291.865,8224.518
7554.7383,7654.3726,7940.8643,8123.449,8247.574,8265.857
2184.1157,2224.185,2266.705,2314.846,2374.3257,2412.5088
6842.4287,7091.664,7356.999,7606.674,7887.904,8102.963
1655.9731,1709.6458,1767.066,1820.7927,1881.91,1928.3479
1588.4121,1626.3184,1671.109,1711.837,1763.0568,1793.7814
3993.8958,4010.2195,4039.538,4080.032,4130.9277,4160.432
4512.6484,4627.265,4743.1743,4849.1655,4949.848,5033.204
3589.564,3592.8408,3591.1528,3591.4187,3586.6936,3581.8452
5385.209,5466.211,5557.6094,5651.205,5734.911,5811.1436
1261.8419,1278.7524,1296.9825,1312.7185,1327.1133,1336.8428
1686.219,1706.0331,1733.7114,1761.3551,1791.8865,1829.5907
3388.869,3455.233,3532.029,3607.63,3685.7,3751.7524
1147.8398,1159.5778,1175.5796,1190.2795,1207.4371,1229.5691
3942.6626,4026.5273,4117.804,4211.068,4294.791,4371.991
7764.274,7829.853,7901.1953,7987.2256,8040.6494,7925.26
3797.5764,3880.4458,3938.6746,3974.916,4008.9275,4002.8813
4859.999,4981.3096,5079.2705,5158.952,5224.2773,5257.461
15049.407,15287.676,15472.163,15617.516,15734.22,15779.01
5916.6943,6230.3457,6550.795,6832.992,7126.8037,7349.955
2960.4128,3090.0737,3216.705,3324.6782,3435.6775,3511.606
10052.823,10316.276,10532.715,10709.545,10858.245,10936.897
10058.134,10282.775,10469.87,10624.555,10753.833,10828.452
6443.842,6786.0205,7122.084,7400.3213,7701.3633,7903.4614
6451.17,6793.682,7130.0464,7408.549,7709.8765,7912.121
7469.194,7451.2744,7425.9985,7417.357,7382.4375,7355.3364
2486.114,2501.3596,2512.7693,2522.0366,2529.0273,2530.4604
18508.266,18666.477,18790.646,18896.389,18974.195,19008.475
8125.8354,8166.0127,8192.404,8209.929,8224.728,8214.993
18101.021,19240.68,20424.617,21576.309,22682.133,23650.371
18912.398,20758.781,22804.43,24912.793,26775.074,28507.348
9429.611,10212.828,11035.18,11798.968,12592.387,13208.185
2926.4224,3172.7358,3437.18,3690.9338,3948.9192,4169.2085
12776.777,13939.5625,15221.701,16481.729,17769.402,18885.77
2255.5684,2395.9316,2547.959,2697.3867,2847.86,2981.2078
10796.078,11087.33,11363.509,11587.393,11833.846,11969.293
10121.809,10243.251,10362.4,10461.724,10568.703,10640.004
10346.341,10584.643,10815.396,11008.592,11215.087,11345.06
10465.216,10531.886,10618.125,10745.128,10897.044,10973.31
12558.187,13309.138,13880.531,14279.903,14669.283,14742.841
10066.087,10417.042,10692.882,10898.275,11094.611,11151.94
13385.196,13805.834,14229.074,14596.223,14990.493,15260.914
11267.205,11830.195,12424.793,12966.373,13581.949,14002.641
10636.444,11030.235,11467.984,11887.209,12334.84,12706.514
10465.117,10573.478,10649.926,10701.084,10735.008,10730.582
10729.667,10814.15,10878.712,10914.106,10944.074,10967.03
10165.844,10390.327,10568.272,10709.76,10826.156,10876.782
9898.109,9909.946,9904.213,9915.151,9932.648,9963.542
11182.947,11367.26,11494.231,11588.135,11651.539,11652.671
10220.8955,10564.225,10899.716,11174.412,11476.192,11667.383
10235.484,10410.669,10555.916,10669.6045,10766.094,10811.452
9825.771,9927.808,9933.711,9887.615,9784.429,9715.366
9978.846,10018.081,10021.925,10002.614,9967.024,9926.877
9852.643,9872.738,9887.306,9892.744,9895.009,9862.043
10288.88,10584.908,10883.898,11153.557,11419.476,11640.488
9907.668,10195.922,10427.711,10600.905,10767.77,10829.727
6337.9395,6283.689,6267.71,6331.1797,6235.1196,6149.7666
5727.327,5773.8916,5806.6934,5885.075,6019.332,6030.9814
4438.76,4597.9404,4752.0312,4872.5723,5019.766,5094.568
13950.201,14358.951,14673.793,14864.242,15028.793,15141.294
9531.635,9829.197,10070.89,10253.502,10427.37,10499.403
3802.2476,3806.589,3812.6035,3821.3926,3831.9075,3837.229
1679.3721,1720.3398,1791.0481,1859.1243,1932.0209,2001.3457
2721.5312,2762.0513,2786.789,2796.977,2803.397,2782.6467
11912.18,12169.863,12438.068,12665.025,12968.832,13084.911
11085.579,11246.215,11534.782,11671.763,11773.42,11809.756
1917.0159,2012.6187,2059.8093,2052.6772,2036.3811,2001.9
5730.883,5752.5923,5778.5728,5810.143,5828.45,5788.912
7736.1133,7817.171,7899.987,7991.6377,8100.6494,8173.5986
2007.4729,2022.1366,2027.4196,2048.9155,2044.3784,2054.069
8115.292,8119.9385,8126.639,8130.868,8131.364,8131.916
6851.2524,6854.1357,6856.032,6859.394,6860.08,6857.2764
6497.1753,6493.6543,6500.7256,6507.5117,6523.01,6525.234
7302.558,7335.814,7358.72,7372.5693,7387.327,7380.3564
6477.9336,6505.448,6526.82,6543.9224,6557.278,6562.9805
8747.552,8770.143,8766.035,8746.491,8712.407,8677.807
8271.883,8321.624,8368.048,8405.906,8452.695,8469.493
8765.314,8789.587,8799.802,8823.54,8822.636,8812.316
1445.753,1461.852,1472.5781,1486.8234,1507.0435,1529.8307
9396.888,9449.076,9486.428,9510.691,9536.51,9529.589
3628.068,3681.3398,3733.7505,3782.658,3836.4697,3877.3638
1729.3667,1740.812,1750.9109,1753.6014,1755.2139,1745.5305
2179.3118,2178.402,2178.4458,2179.2246,2177.8823,2182.5747
2295.3242,2342.7927,2391.6064,2427.2566,2480.3489,2499.5662
3337.4456,3309.1309,3299.9946,3293.159,3281.4512,3280.9993
1471.5068,1465.9664,1454.14,1457.2397,1451.765,1478.232
2577.1409,2624.3284,2642.8594,2640.272,2614.5825,2592.5308
2158.5898,2197.4834,2234.4624,2268.8198,2282.2502,2298.8342
2746.0686,2762.0273,2770.371,2784.27,2785.667,2782.0466
1172.4402,1178.5148,1180.8314,1187.2871,1186.4451,1190.8463
1805.8187,1805.7266,1805.8215,1808.5986,1811.4852,1810.256
1996.4425,2002.6432,2000.7164,2003.357,2013.3335,2032.4727
1601.5251,1602.8784,1602.0396,1604.0607,1604.962,1607.9434
2182.5417,2181.09,2188.473,2202.8218,2203.4539,2205.2537
2025.4688,2027.4661,2021.1107,2014.444,2023.3795,2063.4111
1744.2202,1750.4167,1785.2699,1839.974,1868.0724,1903.909
2497.5486,2504.2505,2507.9177,2513.427,2519.355,2523.5715
2029.2156,2058.916,2125.3042,2209.6108,2293.3713,2351.6985
