V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2008.2992,2008.2992,2008.2992,2008.2992,2008.2991,2008.2992,2008.2991,2008.2991,2008.2991,2008.2991,2008.2991,2008.2991,2008.299,2008.2991
3029.216,3029.2163,3029.2166,3029.2166,3029.2166,3029.2166,3029.2168,3029.2168,3029.2168,3029.2168,3029.2168,3029.2168,3029.2168,3029.2168
1147.7936,1147.7936,1147.7935,1147.7935,1147.7935,1147.7935,1147.7933,1147.7933,1147.7933,1147.7935,1147.7932,1147.7932,1147.7932,1147.7933
1338.6608,1338.6608,1338.6602,1338.6602,1338.6602,1338.66,1338.66,1338.66,1338.66,1338.66,1338.6597,1338.6597,1338.6597,1338.6602
5763.531,5763.531,5763.5303,5763.5303,5763.5303,5763.5303,5763.53,5763.53,5763.53,5763.53,5763.53,5763.53,5763.53,5763.53
3155.8901,3155.8901,3155.8894,3155.8896,3155.8894,3155.8894,3155.8892,3155.8894,3155.8892,3155.8892,3155.8892,3155.8892,3155.889,3155.889
4614.3037,4614.3027,4614.3013,4614.3013,4614.301,4614.3013,4614.2983,4614.2983,4614.298,4614.298,4614.298,4614.298,4614.297,4614.296
1712.0774,1712.0774,1712.0773,1712.0773,1712.0773,1712.0773,1712.0771,1712.077,1712.0771,1712.077,1712.077,1712.077,1712.077,1712.077
1568.4447,1568.4447,1568.4446,1568.4446,1568.4446,1568.4446,1568.4445,1568.4445,1568.4445,1568.4445,1568.4445,1568.4445,1568.4443,1568.4445
2571.9922,2571.9922,2571.992,2571.992,2571.9917,2571.9917,2571.9917,2571.9917,2571.9915,2571.9917,2571.9915,2571.9915,2571.9915,2571.9915
2426.6953,2426.6953,2426.695,2426.695,2426.695,2426.695,2426.695,2426.695,2426.695,2426.695,2426.695,2426.695,2426.695,2426.695
3557.6824,3557.6824,3557.6821,3557.6821,3557.6821,3557.6821,3557.6816,3557.6816,3557.6816,3557.6816,3557.6816,3557.6816,3557.6816,3557.6816
