V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
724.4908,723.37976,723.4642,723.3313,723.0429,722.9832,723.2275,723.5563,723.37195,723.0574,722.61285,722.5194,722.4098,722.52466,722.36554,722.4519,722.4458,722.67145,722.7205,722.9946,722.79504,722.7679,722.6699,722.4686,722.40393,722.54785,722.68884,722.8335,723.0027,723.3576,723.31323,723.33203,723.2913,722.9154,722.59283,722.31586,721.91486,721.9424,721.7972,721.864,721.82983,721.85614,721.98193,722.1776,722.21924,722.22565,722.3741,722.03955
3256.8274,3172.8796,3172.551,3169.7805,3167.863,3168.6934,3169.9185,3170.0613,3170.7305,3171.3425,3169.2053,3167.4175,3167.0205,3167.1614,3167.5605,3167.8147,3169.2405,3168.8096,3168.207,3168.34,3168.812,3169.2588,3169.1692,3168.518,3168.5835,3168.9902,3168.637,3169.6113,3169.8447,3170.2954,3170.395,3170.598,3169.7434,3168.8384,3169.192,3166.6482,3166.3926,3165.9858,3165.088,3164.077,3164.895,3165.4675,3165.8174,3166.8086,3166.6553,3166.4458,3167.3174,3167.7285
896.3703,1192.9755,1190.0134,1189.1835,1188.9951,1189.0594,1189.5073,1189.321,1189.6499,1189.4297,1188.7437,1188.5706,1188.5265,1188.2368,1188.3718,1188.448,1188.4677,1188.5542,1188.7593,1188.5991,1188.641,1188.5599,1188.6195,1188.5696,1188.654,1188.9681,1189.4738,1189.2383,1189.2677,1188.8212,1189.7626,1189.3212,1189.331,1189.1796,1188.7251,1188.1594,1187.9811,1187.9254,1187.913,1187.7191,1187.8865,1187.9525,1187.9397,1187.9286,1187.9705,1187.9714,1188.3617,1188.4337
3937.0762,5118.1846,5117.3716,5116.19,5114.449,5114.044,5114.1636,5114.7246,5114.1304,5113.708,5113.2236,5113.207,5111.7954,5110.524,5110.4043,5111.5244,5111.6367,5111.5825,5112.21,5112.4487,5112.7095,5112.6445,5112.075,5112.0767,5112.7427,5112.3193,5112.553,5113.801,5114.17,5114.9956,5114.238,5114.9834,5113.3535,5112.8774,5111.896,5109.647,5109.492,5108.5645,5108.1436,5108.0996,5108.0605,5108.256,5107.915,5108.581,5109.1343,5110.2227,5109.915,5126.236
1580.1772,2797.798,2786.5464,2781.6555,2784.9758,2786.0342,2786.0977,2787.0525,2786.522,2784.6099,2782.493,2781.358,2780.6355,2780.5452,2780.0654,2781.1187,2781.6375,2781.0735,2781.4937,2782.448,2781.7253,2781.5974,2782.0781,2782.4368,2782.0657,2782.7776,2781.5571,2782.1724,2783.6729,2787.4917,2785.2727,2784.318,2784.5703,2783.3057,2780.2236,2778.9402,2777.7898,2777.5017,2778.0273,2777.431,2777.9062,2778.382,2777.8926,2777.9998,2778.3306,2778.4546,2779.123,2780.216
6481.041,6504.9443,6512.114,6493.131,6492.9204,6493.941,6495.6807,6494.9688,6494.659,6493.833,6490.813,6489.6787,6489.6724,6488.349,6489.2188,6490.6973,6491.2314,6492.3276,6492.399,6493.3604,6493.0234,6492.092,6491.4224,6491.943,6492.201,6491.988,6492.4644,6491.6113,6493.9365,6494.7637,6494.998,6492.6396,6492.5894,6492.255,6491.268,6490.1904,6488.347,6487.899,6487.757,6487.8,6487.4004,6487.9023,6487.6436,6488.0737,6489.374,6489.2046,6489.8174,6482.807
29450.969,40419.246,40373.902,40333.617,40339.613,40337.84,40340.41,40351.316,40345.38,40334.867,40325.395,40317.98,40311.87,40310.617,40301.637,40310.35,40307.926,40321.89,40324.617,40332.938,40317.332,40315.24,40311.895,40314.402,40323.62,40325.727,40319.703,40329.633,40334.207,40344.24,40350.1,40342.17,40333.72,40316.418,40309.47,40294.734,40288.047,40287.926,40283.676,40284.773,40283.434,40281.47,40281.36,40289.887,40291.254,40296.152,40292.707,40571.254
30846.617,32530.764,32524.016,32526.703,32512.09,32511.592,32508.03,32529.928,32536.502,32520.137,32526.773,32500.455,32487.328,32482.686,32483.934,32491.365,32490.352,32501.352,32502.14,32497.7,32497.371,32495.23,32503.393,32499.488,32501.65,32495.031,32503.305,32506.637,32519.666,32511.604,32512.678,32513.322,32507.518,32500.059,32498.04,32487.295,32475.05,32475.785,32473.176,32471.355,32471.863,32467.814,32472.672,32471.549,32478.207,32479.32,32493.807,32424.29
39175.004,38138.984,38155.348,38121.73,38114.09,38103.156,38110.082,38120.457,38118.06,38116.445,38109.68,38095.484,38088.297,38090.832,38087.37,38087.137,38089.06,38096.574,38096.688,38098.203,38099.934,38098.004,38098.652,38100.67,38097.34,38100.387,38106.78,38108.37,38111.617,38110.273,38115.81,38116.13,38112.535,38105.68,38095.766,38087.516,38080.13,38064.656,38068.848,38069.61,38073.867,38073.773,38073.223,38076.59,38073.64,38079.39,38082.145,38067.35
384.62805,431.24228,430.46747,430.4569,430.38458,430.3618,430.39044,430.45856,430.40836,430.2628,430.21326,430.1742,430.1485,430.17596,430.18353,430.16373,430.19522,430.21854,430.21463,430.22086,430.21756,430.21744,430.2031,430.20035,430.21848,430.2326,430.21893,430.24118,430.26288,430.36386,430.31262,430.2926,430.31555,430.27124,430.21405,430.17,430.12885,430.0777,430.08414,430.07986,430.09293,430.0618,430.09473,430.10678,430.14044,430.1285,430.1396,430.0454
