V1,V2,V3,V4,V5,V6,V7,V8
7166.557,7166.557,7166.557,7166.557,7166.557,7166.557,7166.557,7166.556
7396.2993,7396.2993,7396.2993,7396.2993,7396.299,7396.299,7396.299,7396.299
7861.365,7861.365,7861.3657,7861.3657,7861.365,7861.365,7861.365,7861.365
7972.5293,7972.5293,7972.5293,7972.5293,7972.5293,7972.5293,7972.5293,7972.5293
1097.4473,1097.4474,1097.4474,1097.4474,1097.4475,1097.4475,1097.4475,1097.4474
9460.292,9460.292,9460.292,9460.292,9460.292,9460.292,9460.292,9460.292
3275.968,3275.968,3275.968,3275.968,3275.968,3275.968,3275.968,3275.968
2497.8787,2497.8787,2497.8787,2497.8787,2497.8787,2497.8787,2497.8787,2497.879
2426.382,2426.382,2426.382,2426.382,2426.382,2426.382,2426.382,2426.382
2530.3481,2530.3481,2530.3481,2530.3481,2530.3481,2530.3481,2530.3481,2530.3481
1154.5935,1154.5935,1154.5935,1154.5935,1154.5935,1154.5935,1154.5935,1154.5935
3100.9275,3100.9275,3100.9275,3100.9275,3100.9277,3100.9277,3100.9277,3100.9277
1672.1678,1672.1678,1672.1678,1672.1678,1672.168,1672.168,1672.168,1672.168
11272.573,11272.574,11272.574,11272.574,11272.574,11272.574,11272.574,11272.575
1277.3673,1277.3674,1277.3674,1277.3674,1277.3674,1277.3674,1277.3674,1277.3676
1841.7766,1841.777,1841.777,1841.777,1841.7771,1841.7771,1841.7771,1841.7771
2320.8096,2320.8098,2320.8098,2320.8098,2320.8098,2320.8098,2320.8098,2320.8098
4855.917,4855.917,4855.917,4855.917,4855.917,4855.917,4855.917,4855.917
5272.225,5272.225,5272.225,5272.225,5272.225,5272.225,5272.2256,5272.2256
5971.936,5971.936,5971.936,5971.936,5971.9365,5971.936,5971.936,5971.9365
9173.271,9173.271,9173.271,9173.271,9173.271,9173.271,9173.271,9173.271
4886.399,4886.3994,4886.3994,4886.3994,4886.3994,4886.3994,4886.3994,4886.3994
5787.472,5787.472,5787.472,5787.4727,5787.4727,5787.4727,5787.4727,5787.4727
2322.4282,2322.4282,2322.4282,2322.4282,2322.4282,2322.4282,2322.4282,2322.4282
1376.8325,1376.8325,1376.8325,1376.8325,1376.8325,1376.8325,1376.8325,1376.8325
7886.3887,7886.389,7886.389,7886.389,7886.3896,7886.389,7886.3896,7886.389
9177.098,9177.098,9177.098,9177.098,9177.098,9177.098,9177.098,9177.098
4744.323,4744.323,4744.323,4744.323,4744.323,4744.323,4744.323,4744.323
1871.6464,1871.6464,1871.6464,1871.6464,1871.6464,1871.6464,1871.6464,1871.6462
3118.6187,3118.6187,3118.6187,3118.6187,3118.6187,3118.6187,3118.6187,3118.6187
2482.5078,2482.5078,2482.5078,2482.5078,2482.5078,2482.5078,2482.5078,2482.5078
4464.576,4464.5767,4464.5767,4464.5767,4464.5767,4464.5767,4464.5767,4464.5767
8071.073,8071.073,8071.073,8071.073,8071.073,8071.073,8071.073,8071.0737
7085.565,7085.565,7085.565,7085.565,7085.565,7085.565,7085.565,7085.565
9969.281,9969.281,9969.281,9969.281,9969.281,9969.281,9969.281,9969.281
8811.892,8811.892,8811.892,8811.892,8811.892,8811.892,8811.892,8811.892
4280.2114,4280.2114,4280.2114,4280.2114,4280.212,4280.212,4280.212,4280.212
6224.871,6224.871,6224.871,6224.871,6224.871,6224.871,6224.871,6224.871
5690.4565,5690.457,5690.457,5690.457,5690.457,5690.457,5690.457,5690.457
5089.243,5089.2437,5089.2437,5089.2437,5089.2437,5089.2437,5089.2437,5089.2437
1872.205,1872.205,1872.205,1872.205,1872.205,1872.205,1872.205,1872.205
2048.7551,2048.7551,2048.7551,2048.7551,2048.7551,2048.7551,2048.7551,2048.7551
5226.479,5226.479,5226.479,5226.479,5226.479,5226.479,5226.479,5226.479
1249.5796,1249.5796,1249.5796,1249.5796,1249.5797,1249.5797,1249.5797,1249.5797
1893.5934,1893.5934,1893.5934,1893.5934,1893.5934,1893.5934,1893.5934,1893.5934
3298.309,3298.309,3298.309,3298.309,3298.309,3298.309,3298.309,3298.309
9521.991,9521.992,9521.992,9521.992,9521.992,9521.992,9521.992,9521.992
1342.3823,1342.3823,1342.3823,1342.3823,1342.3823,1342.3823,1342.3823,1342.3824
8669.256,8669.256,8669.256,8669.256,8669.256,8669.256,8669.256,8669.256
9090.884,9090.884,9090.884,9090.884,9090.884,9090.884,9090.884,9090.884
1421.3257,1421.3257,1421.3257,1421.3257,1421.3257,1421.3257,1421.3257,1421.3257
5741.1997,5741.1997,5741.1997,5741.1997,5741.1997,5741.1997,5741.1997,5741.1997
2585.3784,2585.3784,2585.3784,2585.3784,2585.3784,2585.3784,2585.3784,2585.3784
1617.0953,1617.0953,1617.0953,1617.0953,1617.0953,1617.0953,1617.0953,1617.0953
6745.497,6745.497,6745.497,6745.497,6745.497,6745.497,6745.497,6745.4976
2962.451,2962.451,2962.451,2962.451,2962.451,2962.451,2962.451,2962.451
1429.1199,1429.1199,1429.1199,1429.1199,1429.1199,1429.1199,1429.1199,1429.1199
7333.348,7333.348,7333.348,7333.348,7333.348,7333.348,7333.348,7333.348
9490.048,9490.048,9490.048,9490.048,9490.048,9490.048,9490.048,9490.048
1366.7518,1366.7518,1366.7518,1366.7518,1366.752,1366.752,1366.752,1366.752
