V1,V2,V3,V4,V5,V6
7251.4106,7231.4316,7214.0093,7217.3613,7221.7607,7219.2476
1510.6025,1545.8375,1647.8141,1660.5774,1676.8419,1654.4025
8535.799,8840.198,9199.224,9274.993,9326.287,9728.189
9956.415,10086.963,10430.875,10583.527,10846.642,11172.745
7331.8115,7616.463,8002.3896,8123.288,8407.5,9106.545
4053.0483,4231.6807,4731.0063,4748.728,4749.742,4928.341
3701.666,3844.5747,4011.163,4049.8306,4134.4824,4290.5396
2373.3242,2392.5767,2386.584,2384.0378,2382.7156,2383.688
2319.21,2340.357,2381.7905,2395.8982,2410.1953,2455.3884
2323.7544,2321.7068,2338.8125,2348.515,2354.6213,2406.4678
1489.3069,1515.4005,1534.8254,1541.4021,1544.7827,1564.7701
2025.4163,2107.7253,2207.9072,2214.4382,2254.2644,2318.4402
4831.736,4883.5723,4934.592,4950.5957,4976.741,5023.3013
5135.1787,5188.987,5276.8555,5307.411,5322.0347,5431.227
5471.9746,5485.2295,5699.4805,5766.9463,5827.8604,5882.627
3029.591,3035.3306,3069.717,3071.4329,3074.746,3041.5796
3934.8958,3979.2537,4055.1038,4070.04,4127.3496,4069.093
3343.1062,3345.6816,3360.1953,3356.3896,3358.495,3367.7507
2994.3103,3111.4653,3382.9165,3802.2012,3990.1316,4039.0747
6516.963,6640.8115,6854.54,6924.4893,7046.287,7260.7075
9392.004,9890.6045,10437.792,10682.337,10768.094,11627.291
4191.854,4232.118,4454.9424,4496.68,4563.347,5024.577
9988.863,10140.337,10090.845,10059.701,10000.352,10240.363
9478.539,9110.183,9191.422,9059.151,9002.239,8971.614
2326.094,2329.303,2605.9666,2689.912,2710.0168,2816.9043
7186.6167,7015.4116,7703.095,7796.0713,8061.2744,7941.426
1766.9233,1716.7808,1839.1501,1861.7454,1914.654,1902.0614
1679.3455,1666.9625,1779.8657,1807.7007,1832.2543,1844.2466
4177.6514,4178.096,4262.0806,4301.765,4355.9556,4451.668
4643.2812,4717.777,4902.6113,4986.804,5094.4272,5205.375
4046.6064,3828.0044,3835.2295,3856.7517,3850.4404,3935.4126
5386.566,5423.897,5560.4976,5581.2163,5636.7734,5744.873
1275.5247,1292.8711,1332.4586,1346.218,1355.2705,1387.2135
1688.7472,1716.2837,1747.5839,1760.3615,1782.8239,1786.3815
3437.5977,3445.9846,3552.0947,3591.4985,3608.3394,3749.1118
1179.4753,1187.4514,1192.8077,1203.4973,1219.2188,1224.8169
3943.1748,4046.2598,4210.206,4258.5474,4289.52,4392.207
4018.9678,4038.9736,4021.9814,4057.037,4125.4956,4523.8174
3802.7605,3831.8208,3883.9604,3898.3945,3893.5664,4015.2966
4815.373,4892.125,5073.9883,5103.1094,5134.5728,5280.4307
15007.286,15015.617,15125.738,15106.265,15142.105,15358.104
5901.6855,6163.9785,6660.6025,6872.744,7415.6587,7463.0234
3030.3962,3131.081,3322.962,3335.4736,3484.0503,3684.6748
10436.289,10728.789,11088.092,11188.782,11648.48,12147.795
10383.305,10530.603,10877.577,11010.523,11341.179,11691.35
6345.965,6659.4805,7322.9805,7495.714,7934.122,8640.617
6469.712,6752.2383,7311.0684,7451.2363,7787.4297,8612.953
6906.5674,6908.249,6907.902,6907.9727,6930.727,7214.1973
2536.4187,2551.415,2593.845,2607.1592,2614.9053,2648.0376
18697.174,18880.629,19193.79,19286.625,19407.906,19900.848
8249.1045,8271.074,8384.862,8412.038,8451.438,8431.179
18219.93,19258.219,21524.17,22055.982,22481.309,23974.852
19638.783,21901.398,24115.605,24792.824,25630.512,28830.262
9016.344,9367.393,10563.951,11088.617,11568.445,12441.336
2791.207,3049.3281,3393.4888,3497.4155,3586.4739,4116.634
13098.509,13706.196,15178.318,16276.641,17042.16,17997.594
2194.9922,2273.4326,2412.8115,2513.1577,2720.9412,2808.6904
10313.874,10314.072,10614.102,10652.254,10853.099,11027.693
10073.23,10250.094,10355.69,10450.976,10571.038,11013.608
10144.764,10411.076,10693.689,10837.341,10891.533,11282.994
10258.713,10215.074,10345.93,10382.686,10397.196,10418.392
10967.564,11058.684,11540.958,11443.752,11694.064,12056.86
10577.904,10906.055,11554.136,11712.721,12236.125,12698.3125
13359.153,13883.745,14483.091,14508.316,14658.006,16199.952
10723.5,11179.519,11942.262,12315.21,12615.67,13631.887
10454.273,10705.429,11161.488,11636.376,12021.355,12655.381
10321.096,10347.232,10354.484,10353.894,10366.59,10389.289
10088.657,10126.974,10041.786,10022.02,10027.366,10118.334
10379.216,10549.076,10946.051,11000.44,11127.972,11302.553
10076.04,9996.026,10225.987,10250.958,10242.375,10225.806
11032.19,11073.32,11101.12,11099.641,11110.342,11006.592
10540.357,10916.264,11604.701,11703.919,11896.998,12491.612
10254.612,10432.774,10618.251,10617.27,10683.395,10768.646
10042.86,10031.693,9711.675,9519.24,9530.436,9824.153
10010.168,9989.632,9963.012,9918.207,9846.496,9675.951
10126.94,10126.632,10264.007,10252.161,10293.062,10294.67
10184.313,10298.997,10747.135,11032.818,11144.577,11932.635
10069.992,10340.848,10792.944,10845.051,11137.795,12011.188
4922.012,4774.983,4573.9775,4586.9717,4581.954,4758.712
3673.5144,3525.826,3459.9546,3525.8408,3575.8225,3576.2725
4598.8574,4728.667,5011.9556,5059.6104,5173.519,5568.046
10876.576,12804.729,12650.524,12548.025,12404.513,12449.595
9884.735,10187.92,10572.092,10730.6,11112.714,11353.402
3751.2273,3753.1138,3759.559,3753.628,3758.896,3752.1982
1553.3567,1586.6617,1655.308,1682.1378,1712.3115,1728.133
2677.2515,2683.516,2701.7024,2709.2407,2717.4563,2668.4512
10394.136,10399.432,10242.48,10246.507,10237.482,10225.359
9422.351,9369.805,9379.405,9405.701,9469.418,8833.962
1090.4869,2020.5836,1651.6605,1320.1036,1525.154,1120.4357
5697.052,5692.2363,5747.009,5736.7373,5763.4233,5442.6206
7893.4507,7959.8335,8137.0527,8232.795,8264.073,8580.146
1575.2832,1772.5405,1912.5713,1909.2874,1929.7328,2115.344
8081.0527,8108.883,8151.143,8152.079,8125.5586,8147.101
6731.807,6727.155,6726.793,6726.672,6726.6006,6728.445
6485.6387,6456.4746,6468.4414,6471.387,6472.984,6532.4937
7365.6465,7391.9517,7451.397,7458.6157,7499.5596,7567.727
6412.638,6421.342,6423.082,6423.3613,6426.194,6424.4414
8792.815,8789.368,8739.454,8732.983,8745.355,8767.243
8138.3027,8167.559,8175.52,8189.116,8189.28,8243.115
7973.2324,8274.885,8325.0625,8223.936,8200.396,7973.01
1706.5505,1628.2434,1478.0638,1478.79,1480.0952,1640.753
9241.561,9249.02,9237.947,9233.497,9212.853,9207.72
3679.2222,3782.709,3795.488,3801.7634,3815.5928,3817.9023
1757.677,1766.0249,1780.6522,1789.9489,1806.2012,1820.6489
2054.1511,2054.9922,2055.1387,2055.2778,2059.4124,2062.6
2163.4307,2164.0107,2199.8608,2202.0608,2204.397,2190.9922
2982.5508,2969.5403,2981.059,3001.0469,3007.5308,2998.0923
1251.2366,1033.7101,1121.1667,1226.2004,1182.1112,1372.2374
2486.1628,2496.159,2531.0867,2533.629,2534.461,2535.7192
2001.6416,1992.7074,1982.9397,1989.0259,1981.6068,1972.5974
2705.6936,2577.6108,2580.1436,2609.017,2581.029,2741.596
1225.3005,1189.8335,1206.3113,1205.3643,1220.5984,1249.5466
1815.8773,1804.5231,1802.9259,1801.9688,1800.1176,1800.3926
1964.5986,1909.111,1960.4602,1972.3335,1976.9457,2034.9446
1622.5048,1622.404,1627.135,1628.6783,1629.8772,1640.1205
2174.9058,2195.0225,2201.5068,2182.0398,2129.547,2211.0151
