V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2033.0172,2032.2803,2033.5709,2033.9756,2029.7009,2028.4812,2029.0802,2030.2573,2032.1779,2031.1157,2030.9027,2031.0315,2029.5953,2031.2556
2972.0176,2968.1213,2981.1387,2972.7542,2972.9253,2976.3728,2985.4185,2980.3523,2979.552,2981.571,2982.5237,2988.4438,2987.5337,2979.7432
1116.7189,1131.9896,1124.42,1127.393,1132.0358,1119.117,1119.1794,1120.785,1129.8552,1121.6294,1131.2448,1136.436,1121.1409,1122.109
1181.8622,1230.4978,1215.1296,1221.3397,1234.35,1219.8992,1216.3003,1217.9574,1217.5562,1190.5493,1255.1658,1223.3613,1208.0422,1220.0605
5870.1396,5869.3276,5877.356,5876.125,5873.09,5868.3975,5879.954,5869.843,5870.0103,5875.067,5876.585,5874.295,5876.286,5871.9614
3093.751,3118.3474,3117.208,3135.5796,3101.633,3089.22,3133.9458,3140.8284,3096.9368,3095.3718,3123.3535,3115.7542,3130.005,3126.2297
5600.624,5577.971,5729.5903,5671.16,5415.7314,5664.3384,5180.6807,5343.732,5482.088,5397.264,5668.6475,5369.139,5870.74,5649.436
1731.4744,1731.1261,1732.6805,1734.4199,1731.4937,1730.2318,1733.531,1736.1315,1730.6805,1730.9766,1733.6605,1736.0099,1734.366,1734.0153
1584.3221,1584.0381,1585.3785,1586.9236,1584.3291,1583.238,1586.1362,1588.6315,1583.693,1583.8171,1586.2537,1588.4089,1586.9286,1586.5948
2618.5923,2620.1782,2617.775,2620.496,2630.6367,2622.7336,2635.9749,2623.7964,2622.8352,2633.9985,2626.4734,2636.8599,2625.892,2631.0867
2439.2166,2441.8481,2436.196,2438.6987,2440.982,2436.3616,2441.6746,2441.5627,2433.2383,2433.9846,2435.8918,2434.6335,2437.3508,2449.279
3673.8472,3681.4812,3673.096,3674.5928,3682.3696,3673.1807,3678.4421,3675.2104,3665.694,3682.5947,3678.3528,3677.5464,3670.679,3681.104
7235.7075,7217.0483,7251.19,7253.3916,7233.606,7260.5356,7279.141,7254.307,7250.7246,7286.8086,7266.2163,7255.081,7246.835,7242.275
5694.812,5698.641,5700.352,5701.6616,5692.451,5702.9263,5694.5356,5699.4077,5696.992,5683.6416,5712.0317,5704.2964,5740.222,5707.0723
7908.9463,8060.6743,7974.3296,7993.3213,8026.2715,7977.4727,7828.7217,7802.4814,7834.7373,7907.7764,7816.315,7882.6714,7946.7036,8058.0312
3067.1404,3061.5493,3070.968,3072.271,3062.3508,3075.95,3071.62,3074.9705,3078.1265,3066.9187,3069.51,3061.4268,3075.8108,3070.8818
4036.93,4043.5342,4047.4297,4049.6606,4043.1765,4048.3982,4053.8298,4055.1714,4045.003,4051.6667,4050.9282,4047.6997,4046.277,4047.3093
9560.537,9569.21,9533.025,9538.4375,9558.614,9548.66,9561.809,9544.767,9527.043,9557.226,9544.379,9523.002,9525.234,9553.048
2679.0393,2683.0337,2700.9683,2697.8042,2692.9773,2671.1953,2689.3923,2680.6401,2690.0503,2700.4675,2700.8276,2695.3345,2702.4414,2677.8516
10851.67,10856.512,10858.018,10851.278,10856.54,10852.336,10862.997,10856.781,10851.475,10856.516,10858.841,10845.402,10846.134,10868.798
2667.1753,2671.5405,2689.3875,2686.4207,2681.2375,2659.2559,2677.4958,2668.8958,2678.6726,2688.5242,2689.5127,2684.136,2690.9177,2666.3047
2860.512,2862.2031,2870.3489,2871.0146,2870.1272,2864.7363,2878.8884,2872.6848,2860.3323,2876.8237,2870.2217,2878.1394,2880.2869,2862.9895
1919.0902,1922.2955,1916.9064,1914.3354,1917.1781,1915.7716,1921.3408,1919.28,1913.8185,1921.835,1917.0789,1919.0829,1918.8962,1910.7609
2551.5725,2552.8804,2560.0486,2560.5127,2559.9075,2556.0369,2568.798,2563.3203,2551.9924,2565.6787,2560.053,2567.2673,2569.6316,2553.9932
1589.5375,1591.3624,1587.6718,1586.6566,1587.9581,1587.6471,1591.2539,1589.2358,1585.914,1591.0885,1588.3967,1589.7772,1589.5271,1583.8627
2374.9429,2375.5686,2382.8875,2382.6345,2381.8271,2378.0303,2389.926,2384.0872,2375.3667,2387.0435,2382.201,2388.7856,2389.8599,2377.1548
1711.9841,1714.886,1710.1359,1707.1807,1710.174,1709.3135,1714.9987,1712.5498,1707.7264,1714.3673,1710.2866,1711.9846,1712.1113,1704.2999
428.08658,428.05316,429.06693,427.2096,422.95953,428.84418,430.63892,426.80905,426.72943,427.8191,429.30374,423.56366,427.4489,427.70416
6411.6006,6402.109,6409.8687,6401.1025,6412.8174,6402.0225,6410.9585,6396.231,6402.4053,6402.811,6398.3833,6413.177,6433.744,6407.0073
615.2208,615.17554,616.631,613.96173,607.85266,616.3089,618.8917,613.38715,613.2716,614.83685,616.97314,608.71967,614.3061,614.6753
