V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
600.3208,578.8867,552.6177,507.44308,472.18524,444.87717,431.31427,446.01288,473.74194,502.44775,537.5222,648.4199,715.1716,748.55554,785.1286,816.62384,842.19055,863.69354,843.0305,815.7931,858.4248,750.3028,723.55,700.3562,629.9719,580.8915,508.13,509.36743,458.04315,451.95105,453.06876,481.54852,492.2458,599.36206,564.0806,646.6672,677.13416,713.1685,797.7725,769.13043,809.0463,854.3125,831.51514,845.12445,782.07965,752.96747,690.1732,672.78656
2699.034,2677.911,2528.3438,2361.2205,2126.8894,2031.5101,1943.1433,1972.1716,2104.2842,2185.7424,2275.304,2756.4626,2987.9531,3193.1946,3306.55,3501.3662,3611.0151,3728.6401,3663.0137,3605.3489,3802.8633,3410.041,3269.2148,3186.028,2947.7244,2684.9954,2369.8828,2307.2,2076.807,2039.3906,2023.386,2096.2363,2149.371,2620.152,2397.7754,2723.7922,2847.7622,3060.1892,3360.9556,3289.3674,3509.1348,3722.5168,3619.183,3708.1035,3515.3625,3344.746,3136.6436,3081.9077
1128.0808,1131.2313,1069.669,1029.9181,949.9383,935.6193,906.3817,868.48224,893.34204,882.82825,927.40216,1042.1407,1143.6948,1163.5663,1165.4012,1245.1791,1285.4514,1325.928,1324.072,1313.0087,1387.8849,1302.5452,1250.7361,1265.1677,1216.9929,1123.5919,1026.0012,1010.29,911.7021,880.65436,868.91925,918.37115,895.0875,1032.8826,917.2884,1027.711,1058.7001,1143.3834,1160.2566,1196.175,1224.5485,1323.9099,1279.2103,1317.169,1307.3656,1259.4446,1209.5806,1199.7068
5024.8516,5061.127,5041.419,4629.468,4240.1807,3950.6624,3764.2368,3520.2505,3613.2944,3477.497,3577.2207,3927.356,4252.0576,4504.589,4708.487,4943.5195,5103.4385,5334.8154,5593.6484,5610.4854,6029.1216,5663.896,5732.3086,5684.0317,5559.982,5326.891,4745.376,4519.0073,4154.436,4058.2075,3772.2378,3753.2227,3484.999,3995.7556,3741.605,3883.0835,3961.912,4344.037,4572.998,4689.3364,5033.106,5531.381,5328.9487,5787.8506,5555.785,5642.3403,5457.0474,5591.1553
2771.4368,2745.7964,2610.0125,2305.7202,2049.2844,1908.3727,1716.5961,1422.6017,1464.1006,1406.5398,1596.5876,1782.2871,2358.3513,2337.185,2407.6199,2710.6477,2880.13,3073.8992,3329.0874,3179.392,3596.1147,3281.8528,3275.5327,3310.0483,3141.0334,2857.0989,2466.1316,2270.329,1876.6101,1720.6403,1612.0001,1656.4326,1513.2783,1909.992,1597.51,1820.353,1925.6068,2201.3599,2322.3008,2528.4932,2656.7085,3191.937,3043.5708,3279.8613,3262.4768,3199.0754,3075.3364,3072.6738
5429.819,5069.5356,5415.361,5516.4766,5717.897,5953.8765,6356.7007,6415.3,6562.077,6917.657,7176.5938,7130.5254,6873.4805,7095.085,7100.09,6903.5557,6760.409,6356.1973,6032.764,5813.4653,5758.5596,5525.582,5229.368,5163.026,5126.42,5156.342,5289.6074,5457.6533,5879.968,5916.14,6395.5156,6233.13,6747.8613,6808.631,6838.0166,7023.8726,7189.23,6928.039,7133.159,6541.807,6468.6973,6434.1274,5988.4443,5752.666,5749.3945,5399.479,5217.5034,5212.5425
40942.934,41148.723,40100.13,37164.715,34473.742,32589.826,30891.926,28227.79,28081.914,27370.535,28607.197,30392.324,35122.945,35595.63,36068.945,38692.676,40183.168,42801.98,44828.94,44083.45,47837.727,45620.465,45247.113,46007.51,44550.703,42224.523,38280.543,36694.973,32960.28,31453.02,29775.613,30274.139,28155.137,31656.523,28850.582,30589.107,31285.34,34557.484,35153.13,37374.164,38717.875,43610.047,42185.523,45425.918,44438.08,44994.95,43479.676,43993.88
26534.074,25653.656,24734.129,23473.293,22185.127,21877.23,21735.63,21653.29,24040.812,25324.959,26693.953,31073.047,32754.861,34875.13,35362.63,37020.574,38010.934,37627.52,36728.33,35777.457,37151.12,32682.387,31529.58,30320.275,28406.969,25102.242,23201.71,23190.723,21474.424,21068.113,22320.7,23995.447,24434.508,28880.383,27163.14,30449.533,31850.035,33166.95,36219.91,34904.594,36513.64,37665.895,36214.312,35687.34,34826.812,32508.283,30240.451,28895.535
33922.36,33873.887,32903.61,31292.719,29093.215,28318.29,27502.84,27250.494,28943.637,29414.238,30309.04,34318.492,36148.414,38337.008,39119.64,40957.258,42031.93,42523.543,42269.395,42020.24,43744.57,40199.742,38972.96,38205.523,36530.38,33951.008,31150.248,30671.695,28628.424,28352.393,28137.266,28882.893,28983.162,33134.67,31230.195,33821.168,34737.09,36835.652,39491.184,38969.78,41126.734,42899.25,41678.355,42613.453,41237.46,39760.652,37709.97,37408.258
422.13742,419.79205,414.81894,405.62305,394.51324,390.6336,386.75375,380.88098,385.31894,383.51407,391.83636,407.55142,421.56448,424.08075,428.69724,436.8247,444.72842,448.02603,451.8175,448.27158,460.55914,444.05115,440.7438,442.97824,432.88724,420.35718,404.42114,406.00662,388.20996,383.01813,381.4935,388.6281,383.6153,405.36615,388.64154,404.2265,408.61984,420.48227,424.35263,429.47266,432.77484,449.0121,443.08954,448.45734,444.32642,440.112,432.35687,433.47885
