V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38064.56,38140.832,37556.555,37505.09,37923.703,37574.14,37877.855,37940.945,37822.883,37397.55,37266.574,38229.336,37778.043
3812.7468,3821.6436,3734.0305,3728.073,3795.7903,3750.278,3774.6875,3810.9185,3771.5828,3725.8298,3706.5286,3819.1995,3773.4
9622.868,9748.387,9636.492,9765.603,9581.601,9630.056,9679.366,9608.321,9560.473,9573.808,9558.927,9675.065,9620.147
2212.933,2284.7732,2381.022,2076.315,2147.4326,2278.156,2217.2131,2257.963,2315.9553,2469.6748,2306.9883,2329.6494,2251.149
1529.4187,1635.4248,1468.8267,1258.157,1851.2312,1572.7765,1757.0491,1636.9086,1790.1892,1712.2993,1437.6741,1768.2238,1768.1846
471.89825,562.98956,550.2901,485.48727,402.90228,559.2054,537.5706,586.31635,524.5836,561.3516,492.2964,591.34607,507.7627
2614.7688,2958.0156,2920.725,2630.551,2524.3599,2779.833,2864.0835,2738.7056,2884.9502,3050.2432,2590.4658,2832.5674,2767.8396
2023.2463,2430.9397,2278.1667,2158.7393,2397.295,2054.1348,2514.6929,2163.214,2299.3284,2342.0505,1987.3356,2324.5435,2270.6536
5929.0503,6290.1245,6530.948,6354.1333,5785.4146,6202.1265,6110.045,5916.8394,5919.742,6345.0845,6058.6733,5970.3,5880.081
5089.2695,5109.9873,4953.128,5119.4897,4906.91,4909.901,5022.353,5074.0015,4928.832,4796.826,4862.5767,5038.887,5047.991
380.69128,387.3692,401.3698,331.1211,388.58142,388.4957,397.34222,367.86853,406.43506,438.20215,371.83536,419.24023,388.95773
1081.5575,1078.3248,1040.5118,1053.7919,1065.2114,1044.3191,1047.8945,1060.9779,1067.7687,1037.0825,1030.3953,1059.9824,1064.9344
2229.234,2219.463,2278.2354,2243.5217,2175.5703,2227.3748,2240.2603,2165.7576,2225.537,2234.251,2220.3574,2202.5332,2213.6765
2234.3274,2272.9373,2277.2,2276.8352,2185.3079,2242.2712,2244.973,2204.4604,2216.707,2223.5586,2232.8623,2228.1826,2231.1995
3873.9607,4024.1157,3948.6997,3956.198,3355.4932,3702.6394,3857.4097,3576.748,3619.7095,3597.2422,3589.166,3683.181,3801.97
3873.9607,4024.1157,3948.6997,3956.198,3355.4932,3702.6394,3857.4097,3576.748,3619.7095,3597.2422,3589.166,3683.181,3801.97
12062.131,12076.6455,11984.179,12083.743,11949.145,11868.65,12024.785,12118.716,11944.004,11847.542,11936.822,12049.358,12089.695
4398.748,4382.0537,4501.8213,4271.254,4459.8936,4446.489,4506.648,4355.367,4475.4165,4526.9746,4381.768,4440.1216,4427.7456
2940.7122,3294.5,2861.28,2661.1497,2708.4954,2754.0027,2799.9912,3130.3474,3054.7578,3252.6091,3037.5415,3393.4958,3124.7234
4088.7268,4668.142,4207.448,4038.2588,4287.596,4084.1565,4201.5337,4648.993,4406.806,4540.7925,4257.784,4671.8594,4416.2637
1897.351,2117.6335,2039.0725,1775.4299,2075.6067,2027.722,2142.5576,1899.4209,2276.49,2297.0276,1871.1317,2056.7869,2025.8855
3118.0293,3145.7026,3550.8765,3346.645,2920.2979,3313.737,3628.0747,3679.6182,3291.702,3441.438,3296.3252,3271.5854,3490.6565
764.2168,799.3291,807.37317,780.2247,745.064,770.5825,802.47656,843.10956,801.99396,836.9826,812.5985,841.0001,836.08563
6430.746,7263.984,6451.804,6309.9434,5920.008,6778.389,6459.3037,6935.3213,6836.45,7050.15,6901.5415,7150.517,6918.534
959.28235,1005.4064,1031.7405,995.5865,1034.3081,1036.0254,1083.6079,962.75586,1039.0656,1051.9812,980.6515,1025.7797,1026.8066
2805.9768,2844.5947,2826.0317,2668.914,3023.2666,2738.9177,2960.7043,2932.7444,2945.5964,2978.0732,2850.2952,3011.022,2997.2668
1984.2156,2746.225,2265.4314,1594.592,1809.7417,1920.7036,1912.6859,2120.831,2449.0964,2339.267,1927.186,2514.4255,1888.3239
3134.5105,4068.1838,4766.4575,3344.0925,2401.4673,2183.546,4250.649,3037.519,3251.6228,4350.6104,2744.9248,3237.8894,3312.273
560.35767,677.529,660.12054,654.04443,490.59485,715.1979,604.5892,640.5867,642.0499,692.0003,650.9225,696.98175,595.43555
3165.4836,3303.302,3558.7268,3381.3115,3269.915,3544.0364,3772.6719,3860.3948,3474.4849,3489.611,3623.7832,3514.4082,3653.122
765.9864,725.38007,770.62726,618.34125,820.677,663.714,852.8842,671.0567,817.0665,830.24023,626.9989,722.4906,788.20496
3355.8623,3748.341,3552.2297,3659.2732,4119.7837,3519.679,4304.826,4134.7305,4010.615,3738.9517,3663.592,4218.673,3963.2483
1315.9648,1425.8971,1423.6592,1367.2745,1419.7107,1488.1249,1521.1467,1419.0017,1449.729,1538.0995,1389.0486,1583.7329,1497.3077
1113.5121,1116.7362,1150.404,1077.6909,1160.332,1107.8926,1168.7919,1058.7234,1120.2361,1126.5919,1063.2113,1106.0256,1113.1105
1113.0739,1211.0002,1168.8837,1027.2004,1124.234,1046.4814,1073.5616,1006.1682,1177.3337,1231.3689,1079.8984,1190.7421,1051.8608
17867.225,16347.943,15321.237,14298.495,17792.186,15160.656,17176.754,15554.868,15735.421,13661.836,13204.071,15477.627,16887.393
2843.6804,2899.726,2868.966,2869.3816,2861.1516,2930.742,2860.028,2856.395,2886.5432,2880.919,2864.5518,2901.6987,2850.3516
3079.5989,3153.793,3132.3494,3074.333,3086.9216,3180.115,3098.7578,3127.472,3163.2656,3181.7122,3150.5537,3198.6816,3120.3901
5766.3975,5791.181,5720.3096,5769.5015,5697.3394,5722.84,5754.0615,5668.5654,5682.88,5638.1035,5626.5728,5688.3657,5691.221
5760.442,5784.327,5715.537,5763.165,5692.602,5718.216,5749.4243,5661.995,5677.7744,5633.233,5622.869,5682.9814,5686.7456
6223.1284,6255.014,6231.0527,6208.9766,6155.9385,6208.9233,6197.199,6222.2314,6201.597,6193.613,6206.42,6233.9883,6206.182
6236.045,6270.1284,6241.0396,6222.5103,6165.628,6219.223,6207.2964,6236.375,6212.5327,6204.4224,6214.494,6245.1743,6216.0166
6229.5522,6262.534,6236.064,6215.7144,6160.7886,6214.0483,6202.239,6229.27,6207.068,6199.0117,6210.477,6239.5615,6211.086
5754.4824,5777.4907,5710.765,5756.8496,5687.8667,5713.6167,5744.7886,5655.4346,5672.6665,5628.3604,5619.1606,5677.6196,5682.2905
2909.025,2949.8997,2982.4175,2898.973,2892.367,2988.0942,2930.239,2878.6262,2956.7588,2979.228,2918.924,2945.0916,2900.9497
3313.8145,3368.7593,3292.4905,3281.0154,3369.5996,3340.6914,3308.1519,3290.1357,3338.7036,3237.1436,3258.6685,3329.9175,3327.9248
2907.9539,2949.1658,2981.1343,2897.966,2891.4878,2986.7542,2928.9893,2877.6333,2955.5205,2977.8728,2917.7402,2944.1804,2899.8809
