V1,V2,V3,V4,V5,V6
7277.2,7294.964,7312.235,7335.558,7331.8706,7311.8125
1593.5127,1583.6398,1614.5427,1618.4612,1653.7207,1714.8477
8561.165,8834.025,9052.301,9330.8955,9558.549,9792.65
9885.619,10172.576,10405.4795,10716.361,10964.7705,11217.205
7130.2896,7509.845,7811.053,8186.3623,8473.291,8783.348
4106.773,4295.83,4474.465,4680.1343,4852.9277,5068.976
3651.694,3785.5461,3926.517,4083.3564,4224.448,4427.2354
2400.1633,2398.7415,2399.2625,2397.0662,2395.4773,2399.1602
2307.1274,2339.7075,2369.2056,2403.5078,2430.223,2464.8452
2312.0508,2327.3003,2354.4536,2375.2637,2394.659,2439.3423
1486.3643,1503.4584,1519.2699,1537.736,1553.5511,1573.865
2020.5823,2082.7202,2137.5176,2201.4675,2250.8662,2306.5955
4719.411,4885.245,4985.5303,5117.8027,5264.4795,5342.6914
5100.4585,5222.3423,5302.3594,5411.5312,5524.688,5595.224
5442.7754,5630.2227,5769.203,5954.406,6125.376,6267.216
2608.4534,2654.2449,2677.9692,2712.553,2737.471,2740.6152
3850.6887,3949.487,4011.498,4101.299,4182.003,4239.132
3205.1821,3260.8467,3285.8713,3328.13,3362.1094,3371.6714
3176.7744,3440.2954,3720.2478,4017.2627,4237.9434,4573.0264
6570.8022,6704.4487,6865.533,7021.7104,7191.384,7366.565
9543.207,9917.939,10339.024,10772.172,11250.453,11735.229
4347.9263,4486.854,4682.222,4873.7476,5069.302,5389.089
9795.979,9766.6455,9926.492,9976.299,10199.744,10599.964
8846.918,8921.047,9171.266,9354.324,9640.92,10146.841
2374.9004,2445.676,2537.301,2630.472,2724.6501,2854.5571
7300.4937,7497.369,7811.207,8089.579,8446.111,8951.583
1758.1382,1804.9639,1872.4946,1936.82,2013.4155,2120.1235
1722.3416,1758.1562,1819.8369,1871.763,1938.3503,2036.8628
4167.9204,4221.421,4286.1914,4350.4697,4419.066,4516.854
4536.5327,4669.3916,4782.471,4922.3477,5020.247,5139.6855
3752.2332,3757.0854,3776.2595,3786.4778,3777.601,3827.6775
5428.1523,5520.346,5607.549,5705.7744,5786.188,5894.5903
1274.2963,1296.6599,1315.7728,1340.6703,1356.0951,1379.2083
1692.2006,1718.7925,1743.2395,1772.9436,1791.9124,1823.9222
3406.1353,3485.3735,3558.5996,3644.266,3717.9805,3806.4893
1160.0756,1174.7036,1189.3306,1205.6985,1218.8042,1239.0753
3985.6538,4074.596,4161.448,4260.272,4349.967,4463.0693
1868.2373,1881.8628,1982.1465,2070.853,1951.3569,1295.4438
3861.515,3921.8567,3988.6294,4054.2812,4083.3657,4144.4272
4748.71,4897.2666,5016.483,5166.463,5302.7217,5418.958
14692.808,14981.211,15188.193,15467.986,15702.336,15891.055
5862.128,6245.0596,6594.9463,6997.621,7338.711,7697.5244
2926.33,3094.8943,3239.1812,3413.7783,3569.109,3717.9053
10220.207,10597.947,10917.971,11315.676,11647.885,11990.658
10170.002,10492.331,10765.307,11102.117,11389.702,11681.436
6439.21,6868.0596,7257.36,7716.0186,8093.4673,8513.195
6449.117,6878.779,7268.741,7728.2905,8106.3438,8526.625
6843.7246,6837.737,6849.6006,6843.34,6841.244,6749.6255
2513.6614,2543.0537,2564.9834,2593.6577,2615.7397,2638.7688
18601.28,18854.746,19049.594,19293.98,19493.45,19698.707
8174.754,8266.424,8326.516,8396.952,8463.367,8521.012
18007.088,19368.357,20553.967,21945.055,23157.502,24341.285
20427.266,22478.54,24583.086,26812.496,28991.277,31240.707
8952.283,9787.606,10606.543,11532.523,12409.686,13232.556
2776.6992,3032.5405,3276.8818,3554.1907,3804.6055,4048.8735
12374.732,13703.367,14961.28,16360.777,17595.33,18856.578
2147.2578,2291.5662,2422.1523,2573.739,2703.644,2836.5723
10094.793,10400.425,10584.629,10823.63,11049.24,11256.836
10069.494,10215.492,10351.589,10503.884,10656.792,10797.807
10130.845,10425.306,10681.955,10988.284,11266.91,11538.385
9941.694,9946.644,10016.845,10024.371,10082.209,10167.046
10071.461,10358.998,10723.344,11200.9375,11590.186,11695.109
10271.951,10821.866,11238.209,11768.801,12341.199,12695.543
13473.07,13939.787,14355.412,14851.996,15401.43,15777.942
10629.56,11039.19,11513.483,11935.929,12585.332,12961.447
10296.822,10660.014,11081.134,11504.979,11950.5,12368.945
10068.004,10154.992,10234.818,10338.58,10385.755,10426.377
10062.391,10103.963,10154.932,10223.295,10200.356,10151.176
10165.772,10463.64,10703.869,11006.794,11241.133,11480.971
10023.925,10008.082,10023.379,10009.974,10042.805,10046.93
10109.832,10168.43,10281.392,10358.626,10457.6,10369.09
10395.226,10868.451,11297.602,11782.136,12178.387,12596.35
10113.771,10178.252,10285.39,10337.779,10364.521,10468.556
10111.936,10190.727,10242.039,10273.354,10231.443,10250.976
10052.686,10076.7,10089.288,10109.251,10096.117,10080.943
10113.594,10200.609,10287.28,10367.082,10418.227,10493.568
10214.97,10572.354,10897.963,11238.469,11595.5,11908.075
9841.514,10226.858,10555.528,10968.434,11351.641,11681.443
4840.8774,4917.0044,5073.3574,5262.1187,5235.088,5112.052
3490.6438,3622.8103,3758.636,3999.6572,3632.5088,3536.8945
4530.132,4766.9424,4979.272,5236.581,5437.998,5663.241
11060.158,11094.89,11321.959,11486.134,11540.801,11223.458
9529.259,9940.728,10302.242,10739.222,11145.447,11507.271
3732.5344,3730.6428,3733.917,3733.6404,3735.2554,3736.0193
1572.6611,1620.5342,1662.6384,1718.2333,1767.431,1819.316
2588.8704,2650.1519,2658.5947,2689.3484,2696.7983,2689.7017
10049.824,9965.504,9960.689,10208.842,10166.613,10213.8955
9560.078,9539.797,9510.987,9529.578,9397.507,9253.717
842.7482,878.2895,986.829,1095.9412,1158.8759,995.7217
6199.6006,6167.463,6126.189,6026.3535,6308.3457,6112.938
8002.6953,8106.4414,8250.744,8375.334,8554.312,8691.657
