V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
627.2201,579.3973,559.61914,533.1569,512.72314,488.9176,478.48755,513.8632,486.9093,524.38245,557.9401,613.40204,669.9249,757.0766,793.01917,856.1345,876.1752,908.2613,898.2877,865.19666,839.76855,796.3533,722.3472,654.70184,618.0713,572.7999,553.49976,531.87885,509.67804,491.26,493.96906,494.7701,505.8015,524.84924,557.6212,607.50134,666.0835,722.47,805.9697,838.6808,866.02484,876.86816,885.0206,872.20105,808.8945,794.36835,722.69305,676.3153
2875.8086,2651.474,2550.4636,2426.3206,2313.8616,2212.6191,2165.0193,2277.26,2162.5115,2276.7603,2392.1204,2575.0298,2779.2588,3119.487,3343.276,3602.4707,3747.9246,3907.6252,3917.8025,3787.6758,3689.069,3602.157,3338.9033,3094.152,2864.7146,2638.8577,2544.0215,2426.6213,2312.6665,2221.0483,2227.1768,2226.093,2258.6165,2321.6343,2407.2734,2568.4766,2760.1006,2936.6462,3319.5989,3543.081,3714.3813,3778.2422,3851.3208,3832.5825,3604.3115,3551.8706,3291.655,3124.767
1154.5312,1078.2024,1050.1664,1001.85876,967.26953,937.95,918.0243,965.71045,903.60284,937.358,956.85236,981.09424,1028.2329,1105.3214,1170.7969,1259.5486,1294.6284,1356.8301,1371.2561,1329.0015,1322.3213,1324.6583,1294.8251,1221.3236,1150.247,1085.9025,1054.9785,1005.5109,971.5377,929.196,922.525,925.1143,932.1377,944.21643,958.41266,969.9576,1020.4475,1067.6246,1145.493,1214.2421,1286.945,1326.0199,1336.5966,1350.3562,1312.6199,1310.632,1230.4413,1239.5035
5582.9463,5183.9585,4710.744,4457.9536,4274.1533,4125.2754,3956.1982,3868.0095,3805.126,3768.4607,3790.1875,3801.393,3968.746,4148.7983,4429.257,4820.111,5069.7,5548.5093,5674.3037,5802.2524,5868.2393,6011.6274,5978.8623,5766.7183,5513.156,5073.4814,4859.6943,4508.1953,4233.6484,4116.6006,3965.3489,3919.268,3869.8726,3852.791,3867.8516,3864.3394,4042.169,4177.7524,4581.7534,4875.2197,5385.223,5711.265,5816.3516,6043.484,5975.831,5958.5635,5653.4087,5666.226
3077.758,2767.634,2473.5144,2260.2817,2084.4585,1981.6685,1791.3601,1786.9216,1675.4229,1675.1779,1684.6508,1662.2012,1773.6146,1914.9219,2114.119,2438.9602,2619.9644,3042.5366,3231.809,3302.479,3368.9402,3480.8677,3466.7537,3323.5754,3137.7588,2874.3826,2613.386,2303.6145,2094.6575,1898.6112,1796.3752,1746.9542,1697.2468,1693.0134,1690.7725,1673.4905,1789.9407,1884.5471,2150.4475,2365.5422,2810.6555,3114.4045,3234.6162,3501.3555,3464.6804,3498.9795,3208.88,3248.0466
5362.298,5364.3853,5312.3535,5478.7095,5742.3193,5852.353,6116.8955,6498.5996,6763.448,7007.764,7045.515,7268.2764,7228.0063,7214.32,6972.2954,6831.8735,6429.114,6347.4927,5858.1465,5723.908,5554.982,5525.471,5430.7007,5369.05,5369.4546,5330.9795,5373.0234,5483.194,5648.2563,5810.865,6032.8887,6544.351,6908.2217,7156.6875,7270.5073,7368.534,7341.756,7323.502,7285.7344,6972.455,6628.542,6122.957,5887.93,5761.4907,5609.838,5432.2075,5382.286,5334.1807
44563.33,41442.69,38103.105,36022.625,34269.43,33167.918,31530.135,30806.646,30190.498,29875.727,29773.82,29584.215,30691.797,31862.863,33740.465,36790.637,38440.566,42635.5,43959.43,45344.78,46057.156,47398.26,47429.812,45923.06,44390.062,41941.383,39560.09,36350.87,34387.344,32704.848,31535.875,30822.234,30436.674,30274.965,30245.293,29881.998,31045.709,31707.105,34482.387,35794.56,40375.105,43462.01,44515.355,47265.688,47204.016,47700.977,44581.223,45040.438
27917.951,26237.0,25690.781,24696.27,24048.658,23146.54,22864.295,24449.305,23181.66,25068.996,26862.33,29160.584,31618.414,35001.04,36217.758,38382.004,38894.87,39746.9,38921.08,37578.688,36373.46,34328.547,31437.988,29072.873,27958.918,26141.982,25389.879,24773.666,24036.775,23241.98,23442.652,23613.17,24435.27,25542.088,26577.064,28753.145,30920.133,33000.63,36125.508,37401.15,38376.492,38634.78,38855.79,38039.453,35564.383,34614.688,31090.797,29782.271
36073.945,33976.0,32990.086,31780.537,30777.498,29792.795,29351.568,30337.756,29137.14,30101.965,30935.55,32438.904,33964.953,36728.29,38911.883,41181.08,42764.41,44290.246,44551.844,43473.656,42724.906,42082.867,40029.617,38030.168,36058.223,33753.08,32941.758,31790.291,30751.238,29870.977,29880.137,29885.297,30095.576,30567.71,31170.793,32406.5,33921.273,35448.508,38687.01,40805.406,42463.64,43235.168,43965.69,43894.08,41925.76,41533.39,39198.074,38150.875
425.21857,413.88028,407.60922,401.7974,396.99658,393.2628,388.70892,395.43542,387.32953,391.5465,393.33688,397.23334,404.4249,414.35187,424.41867,438.15643,439.50775,453.53796,458.17084,450.60757,447.90906,450.698,446.28247,436.0874,426.79987,416.5096,409.09787,402.96194,397.70673,391.3881,390.5452,390.27234,389.49542,390.30264,394.55325,396.52304,403.40265,409.03802,419.63153,431.69214,440.71518,449.24573,448.45828,452.14075,446.12173,445.53278,434.25085,439.53836
