V1,V2,V3,V4,V5,V6,V7,V8
6820.441,6798.583,6837.123,6785.1855,6862.55,6783.9707,6843.0024,6791.3857
7039.5464,7017.262,7030.9688,7007.4956,7054.932,7011.273,7049.7217,7023.034
7179.1016,7174.0625,7168.4385,7134.385,7173.9224,7177.8335,7200.1846,7201.11
7662.161,7665.784,7638.1807,7638.2393,7648.665,7667.73,7675.1885,7675.293
985.2741,901.0064,1148.2485,1364.6091,1022.5025,959.465,1171.1987,1406.5004
9816.903,9826.726,9891.202,9946.156,9976.781,9985.193,10009.229,10020.68
3338.0403,3338.168,3322.1414,3350.2437,3352.1482,3355.2246,3337.9097,3355.332
2598.4407,2581.8262,2609.346,2638.447,2638.2964,2631.4846,2641.2297,2656.3086
2483.261,2479.0076,2476.903,2501.8286,2497.844,2497.8809,2491.011,2511.855
2540.0374,2530.6401,2551.8096,2548.1375,2544.1345,2532.7178,2551.2642,2554.3037
1155.2839,1152.2405,1152.0443,1151.1882,1153.4027,1151.8804,1152.1471,1150.0348
3229.9133,2971.1565,3262.7798,3346.3965,3267.5776,3054.1807,3293.7917,3434.087
1759.7588,1765.94,1780.6395,1778.8096,1792.5284,1798.6306,1814.7369,1817.3751
12523.659,12498.719,12477.099,12513.075,12887.8545,12707.746,12752.542,12766.61
1248.375,1231.879,1311.1074,1316.4266,1253.1049,1229.0485,1295.6125,1329.3956
2028.8678,2020.1483,2090.754,2100.346,2098.855,2064.6187,2158.3057,2190.9517
2420.48,2445.5522,2430.6643,2474.744,2460.187,2490.591,2459.1892,2498.2478
4708.0215,4571.25,4852.268,4771.1743,4709.092,4579.1494,4883.268,4761.706
5773.7065,5805.012,5846.119,5874.717,5916.97,5915.8584,5936.033,5938.548
6306.046,6316.8643,6320.687,6413.515,6423.6987,6438.5293,6430.0664,6488.8926
9760.577,9785.495,9819.362,9921.872,9935.13,9943.634,9959.405,9988.951
