V1,V2,V3,V4,V5,V6
7312.9507,7355.9785,7361.4453,7382.3203,7426.219,7409.55
1504.1423,1573.5045,1561.9996,1486.5829,1597.7903,1583.6702
8552.58,8792.681,9015.283,9193.563,9460.86,9629.087
9858.463,10124.724,10360.875,10586.186,10888.418,11044.925
7063.455,7368.552,7697.7954,7982.25,8288.666,8466.26
4149.6973,4234.691,4284.635,4487.3823,4493.5874,4505.2827
3698.7495,3701.8318,3644.7734,3718.5776,3775.9214,3833.6577
2386.841,2387.4463,2384.4885,2387.8975,2379.1003,2390.672
2318.6792,2336.2578,2350.1475,2386.2524,2384.6877,2384.306
2287.1865,2287.214,2259.5005,2263.0305,2277.3276,2287.9387
1494.3782,1500.5566,1505.1147,1519.723,1520.0773,1522.9331
2009.0989,2055.2676,2104.922,2178.1528,2200.474,2202.2217
4791.1694,4946.8354,5051.1514,5096.833,5150.264,5275.2285
5166.2314,5286.4854,5379.6226,5429.465,5483.7334,5578.693
5490.1494,5662.232,5812.5684,5916.1006,6066.4478,6224.514
2654.8333,2707.989,2708.6155,2709.8557,2749.0864,2737.7007
3893.0005,3985.829,4050.9678,4076.7532,4104.803,4158.486
3256.807,3313.3096,3329.1177,3338.416,3352.4004,3357.9907
3169.166,3282.8613,3384.557,3644.7654,3659.6907,3715.1296
6544.2417,6648.1646,6776.6235,6972.534,7005.563,7015.392
9610.817,9872.383,10196.649,10759.112,10794.705,10819.251
4403.96,4384.5215,4261.7197,4337.4033,4442.6357,4583.3057
9544.576,9538.593,9304.492,9227.27,9447.613,9718.063
8549.341,8532.463,8145.382,8258.128,8460.736,8644.853
2437.072,2456.4736,2464.557,2548.5925,2561.4033,2601.5718
7384.6016,7320.5386,7158.999,7192.088,7393.784,7665.898
1776.8787,1767.545,1721.5092,1749.3384,1792.5374,1842.968
1713.273,1702.3239,1654.0825,1662.1248,1710.7114,1758.6292
4167.8794,4158.771,4109.7124,4119.254,4157.3096,4194.6406
4550.653,4651.9365,4757.841,4927.9004,4965.5244,4961.795
3706.366,3713.561,3682.0356,3704.5286,3712.649,3700.2793
5455.7295,5484.826,5493.2656,5567.829,5576.3687,5590.61
1284.5676,1302.0863,1321.9261,1354.3369,1359.8962,1357.5476
1712.5806,1726.8408,1738.8787,1775.6752,1771.3187,1768.655
3434.2422,3472.619,3498.8696,3586.8696,3586.217,3589.6982
1167.0856,1169.22,1165.3008,1174.9426,1178.2567,1182.0972
4021.5752,4046.7566,4054.0364,4125.702,4138.6143,4157.8813
3348.0088,3379.0771,3821.0547,3753.8838,4578.1978,3747.1846
3810.8757,3924.6992,3955.864,3983.449,3979.439,4000.6384
4839.516,4996.4727,5117.3477,5173.58,5222.545,5364.7817
14894.691,15224.282,15424.045,15519.596,15549.426,15739.357
5800.5005,6112.958,6439.342,6787.231,7116.8857,7259.7266
2927.5146,3071.0105,3213.7476,3333.3945,3499.0068,3612.8477
10262.588,10623.516,10959.59,11139.009,11423.193,11778.621
10221.877,10520.831,10808.574,10966.064,11228.531,11548.412
6375.4463,6759.8105,7134.894,7438.552,7848.3457,8153.3525
6383.032,6767.9463,7143.6143,7447.4355,7857.6543,8163.0586
6854.766,6879.531,6876.9067,6828.935,6854.9077,6852.537
2516.1467,2542.0276,2567.0283,2581.294,2601.6008,2621.6912
18659.057,18887.723,19111.467,19228.145,19406.268,19604.324
8224.989,8312.755,8400.944,8437.683,8485.079,8551.304
17674.947,18728.22,19703.86,21189.85,21874.559,21949.578
19613.691,20788.805,21888.572,24156.145,24583.438,24689.742
8857.646,9566.76,10316.0625,11130.549,11987.402,12318.741
2713.9268,2919.9224,3132.2231,3403.2273,3600.2595,3649.179
11948.619,12965.422,14006.816,15481.36,16193.844,16301.158
2111.197,2226.846,2336.0095,2492.1772,2587.5725,2612.0508
10201.387,10520.207,10736.116,10793.873,10823.109,11050.991
10095.282,10228.445,10356.09,10439.29,10619.912,10785.631
10190.631,10459.508,10725.223,10871.601,11141.952,11468.5
10119.819,10273.848,10195.855,10101.185,10190.267,10642.274
10943.311,12032.409,11779.834,12214.576,12412.113,12054.707
10500.223,11085.761,11530.584,11713.921,12227.41,13038.676
13442.43,13855.325,14211.918,14680.309,15349.65,15579.268
10726.851,11191.659,11715.48,12002.781,13049.129,13705.461
10187.235,10523.121,10936.715,11327.98,11774.027,11942.087
10181.899,10333.566,10319.972,10371.66,10386.303,10363.438
10124.521,10249.427,10256.973,10316.667,10473.482,10436.17
10238.201,10532.46,10781.547,10913.408,11039.953,11262.188
9859.017,9899.139,9995.258,10038.7,10056.585,10097.385
10434.257,10655.602,10509.019,10674.079,10674.17,10661.838
10283.986,10668.745,11047.787,11479.295,11833.877,12073.424
10424.646,10475.797,10781.131,10967.8125,10564.759,10476.02
10251.928,10204.988,10534.872,10506.382,10478.179,10632.574
10234.274,10231.448,10363.298,10333.252,10330.159,10351.662
10165.575,10280.817,10396.937,10443.693,10501.835,10455.961
10173.803,10476.799,10780.891,11082.249,11400.607,11572.051
9996.962,10420.471,10756.271,10891.271,11088.979,11477.233
5122.555,5349.917,5308.5654,5498.176,6202.118,5770.917
3692.9832,3568.7917,3663.8013,3527.1147,3255.111,2502.1401
4491.644,4706.1816,4913.6816,5080.9595,5290.208,5464.0
11261.047,11670.801,11451.454,11558.908,12048.343,12172.9795
9694.241,10124.0625,10496.817,10678.045,10926.959,11412.165
3733.0542,3732.13,3741.1436,3728.6978,3744.402,3781.0425
1580.9246,1622.2462,1682.4397,1745.3746,1781.2993,1785.1842
2685.5247,2768.0327,2811.0798,2832.09,2821.9783,2847.8452
10208.6455,10717.93,10106.761,10566.409,10666.047,10343.184
10044.667,9808.25,9787.617,9862.603,10123.484,9245.022
1071.8398,1268.9877,1164.6199,1221.8269,1554.3424,1422.1619
6460.0825,6445.396,6280.344,6246.102,6365.9575,5983.814
7962.173,8058.906,8225.243,8408.029,8500.3545,8574.809
1529.3806,1613.3474,1533.3107,1394.2468,1697.2444,1611.677
8062.286,8039.082,8109.54,8063.8584,8104.5854,8111.1626
6716.0127,6724.4995,6731.7373,6725.673,6744.4414,6684.508
6468.6353,6476.4956,6487.5835,6483.32,6466.165,6477.695
7360.0186,7414.7617,7449.4805,7483.862,7465.03,7519.109
6445.795,6481.3384,6487.538,6492.9033,6498.969,6517.526
8880.8955,8913.926,8898.921,8851.164,8903.496,8861.325
8131.285,8181.1523,8165.823,8186.056,8170.942,8197.116
8392.104,8365.052,8438.362,8258.738,8317.596,8339.609
1570.8328,1598.7029,1608.7128,1645.2428,1602.8481,1618.6125
9034.234,9141.769,9107.517,9135.501,9235.669,9245.924
3595.6562,3561.4094,3627.479,3711.8572,3636.0159,3852.5706
1784.1167,1807.1881,1824.1261,1831.914,1819.1527,1830.4641
2065.114,2077.644,2065.5474,2064.7388,2091.599,2082.5386
2123.566,2131.2185,2134.3547,2164.6753,2124.65,2119.4873
3204.5376,3222.7266,3250.8196,3184.6384,3257.4646,3311.509
1236.6577,1250.2183,1219.2288,1155.1902,1162.0576,1201.3589
