V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1250.6625,1250.6641,1250.6643,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6643,1250.6642,1250.6642,1250.6641,1250.6606
1250.6627,1250.6642,1250.6641,1250.6642,1250.6642,1250.6643,1250.6643,1250.6642,1250.6642,1250.6642,1250.6643,1250.6644,1250.6643,1250.6604
1250.6628,1250.6643,1250.6643,1250.6642,1250.6642,1250.6641,1250.6642,1250.6643,1250.6641,1250.6643,1250.6642,1250.6642,1250.6641,1250.6604
1250.6635,1250.6643,1250.664,1250.6638,1250.6637,1250.6642,1250.6642,1250.664,1250.6643,1250.6642,1250.6642,1250.6641,1250.6642,1250.6606
1250.6626,1250.6643,1250.6643,1250.6641,1250.6642,1250.6642,1250.6643,1250.6643,1250.6643,1250.6643,1250.6643,1250.6643,1250.6642,1250.6606
1250.6628,1250.6643,1250.6642,1250.6643,1250.6642,1250.6643,1250.6643,1250.6643,1250.6641,1250.6643,1250.6642,1250.6643,1250.6643,1250.661
1250.6599,1250.6637,1250.6637,1250.6641,1250.664,1250.664,1250.6641,1250.6641,1250.6641,1250.6641,1250.6642,1250.6642,1250.6641,1250.6605
1250.6626,1250.6644,1250.6642,1250.6641,1250.6643,1250.6641,1250.6641,1250.6642,1250.6642,1250.6641,1250.6641,1250.6642,1250.6643,1250.6608
1250.6626,1250.6643,1250.6642,1250.6642,1250.6642,1250.6643,1250.6643,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6604
1250.6626,1250.6643,1250.6643,1250.6642,1250.6643,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6641,1250.6641,1250.6641,1250.6608
1250.6626,1250.6642,1250.6641,1250.6643,1250.6642,1250.6643,1250.6643,1250.6642,1250.6641,1250.6642,1250.6641,1250.6642,1250.6641,1250.6606
1250.6624,1250.6641,1250.6641,1250.6641,1250.6642,1250.6642,1250.6641,1250.6642,1250.6642,1250.6641,1250.6642,1250.6642,1250.6641,1250.6606
1250.6625,1250.6643,1250.6642,1250.6642,1250.6643,1250.6643,1250.6641,1250.6643,1250.6643,1250.6643,1250.6643,1250.6643,1250.6643,1250.6608
1250.6625,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6641,1250.6641,1250.6641,1250.6641,1250.6642,1250.6641,1250.6643,1250.6606
1250.6602,1250.6641,1250.6641,1250.6643,1250.6641,1250.6642,1250.6642,1250.6641,1250.6642,1250.6642,1250.6642,1250.6642,1250.6641,1250.6616
1250.6625,1250.6642,1250.6642,1250.6641,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6641,1250.6643,1250.6641,1250.6642,1250.6605
1250.6624,1250.6643,1250.6643,1250.6642,1250.6642,1250.6643,1250.6643,1250.6643,1250.6643,1250.6643,1250.6642,1250.6643,1250.6642,1250.6608
1250.6626,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6605
1250.6625,1250.6642,1250.6642,1250.6642,1250.6642,1250.6641,1250.6641,1250.6642,1250.6643,1250.6643,1250.6643,1250.6642,1250.6642,1250.6611
1250.6626,1250.6642,1250.6642,1250.6642,1250.6643,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6643,1250.6642,1250.6642,1250.6605
1250.6626,1250.6641,1250.6642,1250.6642,1250.6641,1250.6641,1250.6641,1250.6641,1250.6643,1250.6643,1250.6642,1250.6642,1250.6641,1250.6611
1250.6628,1250.6643,1250.6642,1250.6641,1250.6643,1250.6643,1250.6643,1250.6642,1250.6644,1250.6642,1250.6642,1250.6641,1250.6643,1250.6606
1250.6627,1250.6642,1250.6642,1250.6643,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6641,1250.6641,1250.6643,1250.6643,1250.6605
1250.6627,1250.6641,1250.6641,1250.6641,1250.6642,1250.6642,1250.6643,1250.6643,1250.6642,1250.6642,1250.6643,1250.6643,1250.6643,1250.6606
1250.6626,1250.6643,1250.6643,1250.6642,1250.6641,1250.6642,1250.6643,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6605
1250.6627,1250.6641,1250.6642,1250.6642,1250.6642,1250.6642,1250.6642,1250.6643,1250.6643,1250.6642,1250.6641,1250.6642,1250.6643,1250.6606
1250.6627,1250.6643,1250.6642,1250.6641,1250.6641,1250.6641,1250.6641,1250.6641,1250.6641,1250.6642,1250.6643,1250.6641,1250.6641,1250.6605
1250.6627,1250.6641,1250.6642,1250.6642,1250.6642,1250.6643,1250.6641,1250.6643,1250.6641,1250.6641,1250.6641,1250.6642,1250.6642,1250.6604
