V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
21.542143,21.544724,21.544716,21.544716,21.544718,21.544725,21.544725,21.544724,21.544722,21.544725,21.544725,21.544714,21.544716,21.544714,21.544712,21.544712,21.544718,21.544716,21.544714,21.544718,21.54472,21.544716,21.544718,21.544716,21.544716,21.544725,21.544724,21.544716,21.544718,21.54472,21.54472,21.544724,21.544725,21.54473,21.544725,21.544727,21.544727,21.54473,21.544722,21.544725,21.544727,21.544727,21.544725,21.544724,21.544727,21.544722,21.544724,21.543274
21.54211,21.54474,21.544739,21.544737,21.544737,21.544737,21.544737,21.544739,21.544739,21.544739,21.544739,21.544743,21.544739,21.54474,21.544739,21.544737,21.544737,21.544737,21.544739,21.544739,21.544739,21.544735,21.544739,21.54474,21.544739,21.544737,21.544737,21.544739,21.544739,21.544743,21.54474,21.544743,21.544739,21.544739,21.544739,21.544737,21.544739,21.544737,21.544739,21.54474,21.54474,21.544737,21.544737,21.544737,21.544739,21.544737,21.544739,21.54328
21.542845,21.544785,21.54479,21.544788,21.544788,21.544788,21.544794,21.544792,21.544792,21.544785,21.544786,21.544786,21.544783,21.544786,21.544788,21.544788,21.544786,21.544785,21.544788,21.544794,21.544794,21.54479,21.544786,21.54479,21.54479,21.54479,21.544794,21.544794,21.544792,21.54479,21.54479,21.544792,21.544792,21.544792,21.544792,21.544788,21.54479,21.544788,21.544788,21.544788,21.544792,21.54479,21.544792,21.544792,21.544788,21.544792,21.544796,21.543283
21.54257,21.544748,21.544746,21.544748,21.54475,21.54475,21.54475,21.544748,21.544748,21.544746,21.544744,21.544744,21.544744,21.544744,21.544744,21.544744,21.544744,21.544743,21.54475,21.544744,21.544744,21.544746,21.544748,21.544748,21.544746,21.544746,21.544746,21.544748,21.544746,21.544746,21.544748,21.544748,21.544746,21.544748,21.54475,21.54475,21.544754,21.54475,21.54475,21.544764,21.54476,21.544762,21.544762,21.544762,21.544762,21.544758,21.544756,21.543358
21.542944,21.544806,21.544806,21.54481,21.54481,21.544807,21.544806,21.544806,21.544811,21.544811,21.544806,21.54481,21.54481,21.54481,21.544807,21.54481,21.544807,21.54481,21.544811,21.54481,21.544807,21.544807,21.544804,21.544804,21.54481,21.54481,21.544811,21.544804,21.544817,21.544802,21.544806,21.544804,21.544802,21.544802,21.544802,21.544832,21.544832,21.544828,21.544827,21.544806,21.544807,21.544807,21.544804,21.544806,21.544806,21.544806,21.544804,21.543312
21.542215,21.544666,21.544668,21.54466,21.544662,21.544668,21.544666,21.544666,21.544662,21.544668,21.544662,21.544662,21.54466,21.544662,21.544666,21.544659,21.544659,21.544659,21.544664,21.544664,21.544664,21.544668,21.544662,21.544668,21.544664,21.544668,21.544668,21.544662,21.54466,21.544668,21.544662,21.544662,21.544666,21.544672,21.544672,21.54467,21.544668,21.544668,21.544666,21.544662,21.544664,21.544664,21.544666,21.544666,21.544666,21.544666,21.544666,21.543219
21.542818,21.544788,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544788,21.544788,21.544788,21.544788,21.544788,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544788,21.544788,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544786,21.544788,21.544788,21.544788,21.544788,21.544788,21.544786,21.544786,21.544786,21.544786,21.544786,21.543327
21.54322,21.544731,21.544727,21.544731,21.544727,21.544731,21.544731,21.544727,21.544731,21.544727,21.544731,21.544731,21.544731,21.544731,21.544727,21.544731,21.544727,21.544727,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544731,21.544727,21.544731,21.544731,21.544731,21.544727,21.544731,21.544727,21.544731,21.544731,21.544727,21.544731,21.544731,21.543268
21.543135,21.54475,21.54475,21.544752,21.544752,21.544743,21.544744,21.544744,21.544744,21.544744,21.544744,21.54475,21.544752,21.54475,21.544752,21.544752,21.54475,21.54475,21.54475,21.54475,21.54475,21.54475,21.544752,21.544752,21.544752,21.544752,21.544752,21.544752,21.544752,21.544752,21.544744,21.544743,21.544744,21.544744,21.544744,21.54475,21.54475,21.54475,21.54475,21.544752,21.544752,21.544752,21.54475,21.544752,21.544752,21.544754,21.544754,21.543314
21.542288,21.544765,21.544762,21.544762,21.54476,21.54476,21.54476,21.544764,21.544767,21.544762,21.54476,21.54476,21.544758,21.544758,21.544762,21.544775,21.54477,21.544765,21.544764,21.54477,21.544773,21.544764,21.54477,21.544775,21.544773,21.544779,21.54477,21.544767,21.544767,21.544762,21.544765,21.544767,21.544765,21.544764,21.544762,21.544764,21.544762,21.544764,21.544767,21.54476,21.544771,21.544767,21.544762,21.544767,21.544765,21.54477,21.544754,21.543324
