V1,V2,V3,V4,V5,V6,V7,V8
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4663
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4656,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4666
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.467
2665.464,2665.466,2665.466,2665.466,2665.466,2665.466,2665.466,2665.466
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4644,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.467
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.464,2665.4658,2665.4656,2665.4656,2665.4658,2665.4656,2665.4658,2665.467
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.464,2665.4653,2665.4653,2665.4653,2665.4656,2665.4653,2665.4653,2665.466
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4666
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.465,2665.465,2665.465,2665.465,2665.465,2665.465,2665.466
2665.464,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.467
2665.4658,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4666
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4666
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.467
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4656,2665.4658,2665.4658,2665.4658,2665.4658,2665.4658,2665.4658,2665.4666
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4639,2665.465,2665.465,2665.465,2665.465,2665.465,2665.465,2665.466
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.467
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.464,2665.4658,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.467
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4639,2665.4658,2665.4658,2665.4658,2665.4658,2665.4658,2665.4658,2665.4666
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.467
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.464,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4644,2665.465,2665.465,2665.465,2665.465,2665.465,2665.465,2665.4663
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.464,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.467
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4666
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.467
2665.4644,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.464,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4639,2665.4658,2665.4658,2665.4658,2665.4658,2665.4658,2665.4658,2665.4668
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4656,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4666
2665.464,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.465,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.467
2665.4639,2665.4658,2665.4658,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4639,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4653,2665.4668
2665.4656,2665.465,2665.465,2665.465,2665.465,2665.465,2665.465,2665.4668
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4666
2665.4639,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4656,2665.4668
