V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
51.261612,51.28073,51.28073,51.280727,51.280727,51.28073,51.280197,51.28019,51.28021,51.280216,51.280212,51.280724,51.263756
51.264076,51.28073,51.28073,51.280727,51.280727,51.28073,51.280216,51.280212,51.280212,51.280212,51.28021,51.280724,51.26362
51.26061,51.280743,51.28075,51.280735,51.280746,51.28074,51.280205,51.280193,51.280197,51.28021,51.280212,51.280743,51.264805
51.258907,51.280285,51.28028,51.28067,51.28066,51.28028,51.280285,51.280277,51.280285,51.280285,51.28027,51.28027,51.262356
51.264145,51.28069,51.28069,51.280697,51.28069,51.28069,51.28068,51.280193,51.280178,51.28017,51.2806,51.28064,51.26459
51.265224,51.28015,51.28067,51.280663,51.280674,51.28068,51.280163,51.280163,51.280155,51.280167,51.280167,51.28016,51.26417
51.25868,51.280273,51.280277,51.280285,51.28028,51.280277,51.28028,51.280273,51.28028,51.28028,51.280285,51.28031,51.267597
51.25603,51.280453,51.280457,51.280453,51.280457,51.28037,51.280373,51.280376,51.280373,51.280453,51.280457,51.280144,51.269413
51.254135,51.279488,51.279488,51.27948,51.27948,51.279438,51.279434,51.27943,51.27943,51.27949,51.279488,51.279484,51.265404
51.259407,51.280724,51.28073,51.280724,51.280727,51.280727,51.2801,51.280094,51.28009,51.280098,51.28006,51.280727,51.26545
51.26545,51.280163,51.28064,51.280632,51.28064,51.280632,51.28017,51.280163,51.280167,51.28017,51.28017,51.28063,51.26611
51.260197,51.280754,51.280754,51.280727,51.28073,51.280754,51.28076,51.28011,51.2801,51.28011,51.28012,51.280758,51.265003
51.257725,51.279415,51.27941,51.27941,51.27942,51.28069,51.28069,51.27997,51.27997,51.279957,51.280693,51.28069,51.26056
51.258404,51.279377,51.279377,51.280712,51.280716,51.280704,51.280712,51.279964,51.27997,51.27997,51.280712,51.280712,51.264233
51.245777,51.27947,51.279472,51.279472,51.279465,51.279472,51.27946,51.27947,51.27946,51.279465,51.27862,51.278614,51.26726
51.245777,51.27947,51.279472,51.279472,51.279465,51.279472,51.27946,51.27947,51.27946,51.279465,51.27862,51.278614,51.26726
51.260406,51.27934,51.280727,51.28073,51.28073,51.280727,51.28022,51.28022,51.28022,51.280212,51.2802,51.280735,51.264515
51.26112,51.280727,51.280735,51.28073,51.280727,51.280727,51.28022,51.280224,51.280212,51.28022,51.28023,51.280727,51.263706
51.26495,51.28031,51.28073,51.28072,51.280727,51.28072,51.28031,51.280308,51.280315,51.280315,51.28031,51.28071,51.262917
51.26399,51.280724,51.280746,51.28075,51.280743,51.280727,51.280293,51.2803,51.2803,51.280285,51.28029,51.280712,51.264626
51.26129,51.280575,51.280575,51.28058,51.28058,51.280575,51.28056,51.2799,51.2799,51.279892,51.280563,51.280563,51.26767
51.258858,51.28067,51.280674,51.28067,51.280666,51.280666,51.28011,51.280113,51.28017,51.280174,51.280167,51.280666,51.26484
51.264366,51.280254,51.28072,51.280724,51.280724,51.280254,51.280285,51.280296,51.28026,51.28025,51.28026,51.28026,51.263718
51.257084,51.27931,51.2793,51.280575,51.280575,51.280575,51.280575,51.279842,51.27985,51.27985,51.28058,51.280575,51.266403
51.25324,51.27931,51.27931,51.279316,51.279316,51.279305,51.279312,51.27931,51.279312,51.27931,51.279312,51.279316,51.262318
51.26562,51.280262,51.28026,51.28027,51.280266,51.280266,51.28021,51.280212,51.28025,51.28024,51.28024,51.280243,51.264412
51.26369,51.280254,51.280247,51.28066,51.28025,51.280106,51.2801,51.28027,51.280262,51.280262,51.28025,51.280254,51.264423
51.264,51.2773,51.277306,51.2773,51.2773,51.2773,51.2773,51.27715,51.27714,51.27715,51.27715,51.2773,51.272022
51.256897,51.279346,51.27935,51.279343,51.279354,51.279346,51.27935,51.279354,51.27935,51.27935,51.279346,51.27935,51.25925
51.263268,51.280663,51.28068,51.28069,51.280666,51.280666,51.280254,51.28025,51.280254,51.28026,51.280247,51.28069,51.265907
51.246136,51.277813,51.277813,51.27781,51.27781,51.277813,51.277813,51.27781,51.27781,51.27781,51.27781,51.277813,51.264343
51.26152,51.280136,51.28014,51.28069,51.280685,51.28014,51.28014,51.280144,51.280117,51.280148,51.28014,51.280132,51.2684
51.262844,51.28058,51.28058,51.280636,51.28058,51.280575,51.280575,51.280155,51.280155,51.280117,51.28058,51.28062,51.264507
51.254734,51.279503,51.279488,51.279495,51.2795,51.279503,51.279507,51.2795,51.2795,51.279503,51.279495,51.279495,51.266247
51.263237,51.280537,51.280537,51.28054,51.28054,51.280483,51.280483,51.280434,51.280434,51.280495,51.28049,51.280373,51.26596
51.25964,51.2805,51.280506,51.280495,51.28062,51.28062,51.280678,51.280678,51.280678,51.280678,51.280582,51.280582,51.264893
51.26013,51.28074,51.280735,51.280727,51.280735,51.280727,51.28018,51.28018,51.28018,51.28018,51.28017,51.280727,51.264683
51.26099,51.280273,51.280727,51.28074,51.28073,51.28073,51.280273,51.280277,51.28027,51.28027,51.280247,51.28073,51.26377
51.259632,51.27934,51.280727,51.280727,51.28073,51.28073,51.280098,51.2801,51.2801,51.280106,51.280106,51.28073,51.265213
51.259613,51.279343,51.280727,51.28073,51.280727,51.28073,51.2801,51.28011,51.2801,51.280106,51.280098,51.280727,51.26522
51.26052,51.280735,51.28073,51.28073,51.28073,51.28073,51.28021,51.28021,51.28021,51.28021,51.280205,51.280727,51.26428
51.26053,51.28074,51.280727,51.28073,51.28073,51.280743,51.280212,51.280205,51.280205,51.280205,51.28021,51.28073,51.264286
51.26052,51.280727,51.28074,51.28073,51.28073,51.280735,51.2802,51.2802,51.280205,51.280212,51.28021,51.280727,51.26428
51.259617,51.27934,51.280727,51.28073,51.280727,51.28073,51.2801,51.280098,51.280113,51.280098,51.280098,51.280727,51.265213
51.26079,51.280743,51.280743,51.280735,51.280743,51.28074,51.28027,51.280262,51.280273,51.280262,51.280266,51.280735,51.26339
51.26029,51.280746,51.280746,51.28075,51.280746,51.280754,51.28012,51.280125,51.280132,51.28013,51.280113,51.280743,51.26514
51.26079,51.28074,51.280735,51.28074,51.28074,51.28073,51.280273,51.28027,51.28027,51.28027,51.28027,51.280743,51.26339
51.260036,51.280735,51.28074,51.280735,51.280735,51.28074,51.28073,51.280018,51.28001,51.280014,51.28074,51.280735,51.265606
51.261066,51.280735,51.28074,51.280746,51.280743,51.280743,51.280262,51.280266,51.280262,51.280262,51.280262,51.28074,51.263298
51.26106,51.28074,51.28074,51.280735,51.280743,51.280743,51.28026,51.280266,51.28026,51.280262,51.28026,51.280743,51.263298
51.260757,51.280735,51.280743,51.280735,51.280743,51.28074,51.28019,51.28019,51.280186,51.28018,51.280178,51.280735,51.264664
51.261322,51.280727,51.280727,51.280727,51.28073,51.28074,51.280262,51.280262,51.280228,51.280228,51.28023,51.280735,51.26386
51.256386,51.280727,51.280727,51.280727,51.28073,51.280727,51.28073,51.28076,51.280766,51.280758,51.28074,51.280727,51.266846
51.260845,51.28073,51.280724,51.28073,51.28072,51.280727,51.28023,51.280228,51.28023,51.28023,51.280224,51.280727,51.264088
51.257256,51.27945,51.279446,51.279446,51.2807,51.280704,51.280704,51.280704,51.279884,51.280697,51.280704,51.280697,51.264423
51.251137,51.27936,51.279358,51.280716,51.280716,51.28071,51.280712,51.280712,51.280716,51.280712,51.280716,51.280704,51.268185
51.264038,51.280697,51.280697,51.2807,51.2807,51.2807,51.280697,51.279987,51.279995,51.27999,51.280697,51.2807,51.26586
51.264664,51.280704,51.28071,51.280704,51.280704,51.280712,51.280224,51.280216,51.280216,51.280212,51.280212,51.28071,51.263947
51.260056,51.28024,51.28025,51.280247,51.280254,51.28022,51.280228,51.280228,51.280212,51.280224,51.280224,51.280224,51.2744
