V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37332.477,37362.43,37399.38,37312.33,37329.75,37295.99,37375.227,37311.832,37332.29,37399.746,37306.34,37349.2,37269.332
3719.1064,3722.7764,3726.9043,3716.6414,3718.6577,3714.4736,3724.0781,3716.8037,3719.3135,3727.6067,3715.7793,3721.004,3711.6846
9717.958,9712.665,9705.852,9700.537,9695.347,9688.815,9685.681,9690.919,9671.228,9681.288,9663.991,9644.164,9666.185
2164.7275,2170.6729,2183.2698,2149.3318,2153.2104,2147.5464,2168.0603,2148.3801,2165.142,2180.9995,2146.8652,2158.5237,2146.0447
1439.6819,1465.0789,1479.9424,1431.746,1443.5159,1415.9626,1455.103,1426.2719,1435.6182,1471.9325,1431.9807,1435.8129,1413.5674
461.94434,463.13458,471.4873,451.2221,453.9513,448.17184,465.9834,450.3222,459.9973,476.72906,448.66663,457.8288,448.16367
3962.3992,3668.1257,3567.3755,3472.6392,3511.5486,3384.1445,3454.8552,3404.81,3297.4927,3372.7249,3470.0894,2953.7747,3650.5186
3157.692,3037.689,2992.6157,2940.0386,2906.7102,2861.0625,2792.2336,2848.686,2787.7441,2804.0046,2778.8372,2569.1948,2824.553
6807.472,6733.253,6715.7812,6673.5986,6638.939,6621.5615,6573.562,6608.0005,6536.7085,6556.0337,6491.706,6373.0464,6532.737
5061.499,5050.5356,5040.5425,5037.546,5034.514,5031.167,5016.956,5026.3774,5005.498,5010.7954,4989.9688,4972.7705,4998.0522
366.21277,369.06665,372.5996,363.41284,364.85287,361.58075,368.37137,363.0557,365.95575,371.92288,362.93802,365.21332,360.93707
1026.1625,1027.9694,1027.3347,1028.8112,1027.1005,1027.3518,1030.0952,1026.9575,1025.2627,1027.5906,1028.6393,1029.3236,1024.664
2272.2197,2265.2183,2262.8223,2258.0125,2254.3308,2253.144,2246.3713,2250.9019,2240.9338,2242.4932,2234.2158,2222.0483,2238.7861
2280.6582,2274.042,2271.377,2266.8428,2263.1226,2260.9631,2255.5059,2259.8376,2248.1416,2251.1904,2242.4607,2229.3784,2245.9524
4008.7175,3960.9976,3941.413,3911.7285,3887.4424,3875.7424,3832.3284,3863.065,3785.2961,3802.9922,3738.322,3656.094,3767.8357
4008.7175,3960.9976,3941.413,3911.7285,3887.4424,3875.7424,3832.3284,3863.065,3785.2961,3802.9922,3738.322,3656.094,3767.8357
12074.7705,12065.936,12055.255,12057.556,12057.211,12054.637,12042.191,12050.036,12035.581,12039.621,12023.764,12011.767,12030.365
4357.6694,4365.0845,4373.4287,4352.3223,4355.7266,4347.9253,4362.141,4351.93,4358.2563,4370.251,4350.5103,4356.791,4347.3174
2397.8926,2419.677,2452.5107,2349.524,2390.018,2344.498,2415.3657,2360.383,2407.7915,2467.067,2353.356,2371.5273,2353.2578
4030.8176,4052.1245,4069.8943,4002.4082,4032.801,3992.588,4053.687,4001.9614,4025.9028,4086.5918,4002.3137,4014.7446,3997.5925
1735.8668,1770.9257,1788.6403,1730.4172,1758.3467,1723.0479,1770.1638,1730.6024,1737.6178,1781.3726,1732.3601,1736.7606,1723.8679
3028.0488,3031.0312,3052.825,2977.716,2974.725,2952.6772,3003.1216,2951.3643,3019.1182,3068.9648,2959.928,2985.836,2969.9304
757.229,759.1681,762.8649,752.4245,754.38086,751.1118,759.8927,751.6033,756.2305,763.42303,752.5187,755.69336,750.15356
5584.5576,5557.1357,5654.8267,5446.3647,5554.13,5485.5405,5612.458,5488.5093,5566.726,5629.2007,5503.659,5422.7983,5530.9062
1120.8809,1112.0964,1109.1329,1102.6614,1097.4142,1096.1802,1089.7594,1093.7979,1081.0775,1084.3658,1074.19,1058.5062,1079.5392
2718.8962,2735.353,2748.5762,2708.7312,2719.796,2697.1138,2735.7017,2708.471,2715.7495,2748.0151,2711.1377,2715.4453,2696.895
1631.8821,1658.2454,1697.2922,1600.7983,1639.8424,1591.8394,1688.3315,1605.2274,1621.7574,1714.8994,1601.426,1625.9395,1589.1224
5269.9897,4995.549,4904.0894,4838.693,4820.698,4656.0464,4585.829,4648.2593,4466.595,4589.9736,4494.246,4007.579,4580.9785
577.4103,572.3045,582.49786,562.57355,567.2873,565.14014,571.44,562.6858,573.8467,583.1206,561.49207,563.925,567.91034
3315.5054,3327.1562,3335.9011,3285.3481,3280.8447,3254.3237,3296.913,3261.5974,3303.6062,3358.2534,3272.1633,3281.0557,3274.6199
672.3234,673.44617,686.255,660.5121,640.2701,642.00183,635.05634,630.6538,637.3491,620.53186,661.4137,616.8404,667.6696
3356.9639,3392.474,3412.0417,3342.85,3418.0225,3321.7856,3412.4194,3314.217,3259.8096,3350.599,3379.6235,3321.7063,3283.0273
1369.9594,1373.1814,1384.5189,1349.823,1349.1903,1338.3862,1363.5886,1339.4331,1354.3208,1376.2874,1351.743,1346.559,1341.0309
1251.8494,1236.3712,1234.9569,1222.526,1215.1448,1210.7299,1203.0449,1208.4922,1194.3268,1195.9364,1189.1178,1163.0153,1196.2185
995.32886,1004.9217,1012.0073,987.0183,997.686,981.97,1000.59973,985.4533,993.6189,1012.5231,986.968,989.6991,984.8776
13975.332,13509.844,13471.566,13867.878,13165.904,13502.115,13431.308,13748.943,13645.36,13281.371,13501.584,14114.98,13996.336
2980.9077,2962.3503,2972.48,2951.9329,2945.5623,2942.5544,2935.6213,2948.7205,2928.26,2922.6648,2926.6917,2895.944,2935.5752
3106.71,3109.8076,3114.623,3102.6416,3104.9917,3100.9778,3109.2773,3102.6575,3106.136,3113.8247,3102.734,3105.0117,3100.018
5734.642,5729.1797,5725.4287,5721.26,5718.3076,5715.4556,5708.7173,5714.575,5702.0493,5705.0664,5693.9517,5682.6675,5698.232
5729.0967,5723.6484,5719.907,5715.732,5712.778,5709.949,5703.212,5709.0566,5696.5684,5699.5635,5688.4697,5677.2153,5692.755
6154.7817,6151.2764,6156.427,6151.057,6146.9536,6153.6973,6158.1,6150.882,6155.7725,6156.4116,6152.037,6157.8066,6148.155
6166.797,6163.7793,6168.5674,6163.3384,6160.0796,6165.6064,6170.1714,6163.1396,6167.5684,6168.925,6164.1753,6169.5186,6160.4272
6160.8306,6157.5845,6162.542,6157.249,6153.5933,6159.6934,6164.178,6157.061,6161.706,6162.722,6158.153,6163.6934,6154.3413
5723.585,5718.1494,5714.4165,5710.2334,5707.2764,5704.4707,5697.7324,5703.5654,5691.111,5694.0854,5683.009,5671.7803,5687.3
2902.5063,2905.4214,2910.312,2898.9458,2899.5925,2897.655,2903.371,2898.221,2902.3604,2906.963,2898.8992,2900.5242,2896.4653
3362.3293,3361.4697,3358.1067,3355.2588,3355.587,3352.159,3349.64,3354.318,3339.0688,3341.9937,3338.901,3332.5784,3338.4138
2901.3274,2904.2375,2909.129,2897.7551,2898.41,2896.4746,2902.1858,2897.0356,2901.177,2905.7769,2897.7168,2899.3408,2895.2908
3078.7732,3076.3801,3072.79,3069.7048,3067.5908,3063.4397,3057.064,3064.6582,3051.1433,3053.8318,3044.3794,3035.379,3045.58
3239.3108,3242.82,3248.4421,3235.968,3236.6755,3234.564,3241.7288,3235.7378,3239.43,3244.499,3235.8818,3238.6694,3232.4666
3240.6465,3244.1587,3249.779,3237.3135,3238.013,3235.899,3243.0645,3237.0757,3240.7688,3245.84,3237.2192,3240.0032,3233.799
6720.61,6714.987,6708.452,6712.0283,6713.055,6706.6914,6699.7344,6709.6006,6697.053,6702.1055,6691.5044,6683.2905,6695.645
7181.308,7184.7104,7190.48,7173.2764,7176.81,7170.287,7185.9126,7173.0605,7180.9995,7194.9424,7172.393,7179.824,7170.389
1813.9238,1804.6072,1797.8541,1791.8027,1787.3507,1783.6415,1772.6804,1781.8241,1761.5662,1766.2751,1748.1158,1731.3729,1756.1205
2513.3984,2514.5037,2516.5647,2511.7346,2512.6245,2511.4634,2514.7068,2512.0615,2513.6174,2516.0698,2511.6921,2513.255,2510.7852
4898.211,4859.617,4851.6187,4833.6714,4821.6846,4819.296,4796.6997,4804.0537,4781.166,4780.0083,4772.885,4718.316,4785.597
2585.1318,2562.031,2543.8313,2527.1968,2515.2078,2503.6338,2470.291,2497.9736,2444.501,2456.934,2402.4395,2357.1846,2424.8523
2419.5435,2427.6343,2411.3774,2425.5361,2435.769,2436.4631,2414.142,2431.6206,2425.881,2415.9648,2404.2786,2421.856,2406.7422
