V1,V2,V3,V4,V5,V6
7348.0884,7360.2236,7351.6265,7368.6875,7382.744,7387.541
1445.1383,1326.3107,1329.8778,1227.622,1320.815,1289.5576
8618.716,8766.997,9066.674,9257.919,9459.935,9576.83
9942.266,10108.546,10458.756,10686.402,10917.977,11061.232
7164.1255,7363.0425,7788.3164,8066.994,8346.75,8523.19
4054.5088,4095.6516,4343.8286,4568.918,4725.56,4859.247
3528.1626,3502.1714,3669.693,3805.8289,3937.7954,4024.0562
2397.119,2387.7036,2389.0054,2383.153,2390.9663,2389.5515
2306.095,2315.6765,2358.7854,2396.895,2423.69,2446.4888
2252.2634,2235.1353,2253.6692,2259.5017,2283.966,2290.6711
1484.137,1486.3875,1508.7983,1529.2329,1543.8446,1555.9977
2015.6316,2043.2694,2119.8635,2178.037,2226.226,2262.8828
4752.8813,4820.9243,4910.706,4993.17,5079.463,5103.2373
5133.4014,5192.438,5278.8325,5349.3125,5425.321,5449.622
5596.585,5705.695,5912.1797,6042.0376,6188.47,6260.465
2626.4077,2644.838,2645.016,2671.4448,2692.366,2696.1497
3858.77,3905.6262,3968.817,4025.4167,4085.0298,4101.9604
3201.2585,3222.7473,3231.881,3262.0574,3286.742,3290.3704
3042.8506,3082.4155,3436.3857,3759.3704,3988.6575,4180.578
6561.745,6598.858,6816.9297,7014.467,7151.877,7269.2295
9576.003,9679.574,10285.016,10833.3,11214.67,11540.415
4069.9097,3985.0532,4173.968,4293.1714,4479.334,4565.8213
8857.787,8575.624,8634.527,8482.76,8728.274,8698.886
7983.792,7744.931,7890.569,7862.167,8129.5474,8160.369
2350.3596,2341.1272,2456.787,2555.4177,2641.207,2702.184
6675.7026,6486.1963,6739.8174,6850.211,7153.09,7254.1284
1647.1804,1613.8287,1677.9534,1715.4741,1781.823,1810.2842
1579.5211,1541.006,1587.2635,1604.7244,1662.7689,1680.384
4057.8462,4027.47,4088.1052,4124.3374,4186.268,4213.409
4545.6934,4611.0503,4783.645,4911.6455,5020.6797,5101.8486
3723.6023,3689.6182,3709.4717,3704.5623,3742.048,3745.9475
5397.767,5408.458,5526.103,5633.261,5710.4053,5774.195
1279.6149,1292.3887,1324.3824,1347.4597,1367.7931,1382.5066
1701.3014,1712.1405,1752.2672,1786.3862,1811.2871,1831.9738
3397.5425,3417.7598,3524.0093,3619.5557,3686.0593,3742.924
1154.3729,1154.144,1173.3875,1190.3798,1203.9236,1214.2333
3954.7886,3960.1953,4077.1575,4182.681,4261.632,4324.856
7376.1367,7590.462,7388.145,7675.4634,7964.667,8146.5776
3654.5295,3714.0078,3776.4932,3851.4294,3924.395,3939.8408
4719.911,4793.8647,4897.667,4986.4546,5081.083,5109.5444
14576.265,14709.9375,14859.526,15026.057,15191.514,15228.68
5929.9917,6129.7705,6594.5723,6916.028,7215.001,7420.7305
2986.6104,3080.3967,3273.223,3397.1536,3525.9514,3602.817
10239.841,10447.816,10815.481,11058.737,11335.428,11452.2705
