V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
6953.3496,6711.5044,6547.9424,6451.9897,6524.8047,6574.452,6630.0117,6617.0586,6651.1475,6807.055,7017.349,7335.3584,7350.4736,7506.8413,7467.709,7499.045,7584.5522,7135.935
2236.4258,2013.355,2073.2395,1971.3545,1917.9146,1991.3445,2111.7305,2077.7146,2154.4224,2130.656,2347.8853,2453.9,2351.948,2414.7668,2398.6814,2464.939,2474.263,2370.218
13030.795,12964.264,12979.565,12955.539,13000.006,13047.822,13023.433,13033.277,12947.724,12928.507,12923.581,12911.364,12915.873,12923.655,12908.1,12886.404,12840.943,12956.996
6620.085,6695.2993,6710.873,6751.5527,6760.818,6760.8047,6736.0244,6748.4937,6727.92,6739.329,6754.6255,6755.38,6761.4175,6745.365,6756.881,6747.4976,6729.884,6727.5537
4364.1343,4417.9106,4396.8535,4401.01,4379.487,4349.4146,4334.462,4335.3955,4342.667,4342.4688,4374.8564,4418.7188,4443.4023,4463.0054,4452.7324,4462.6665,4480.9165,4460.776
11811.953,11937.1875,11889.667,11855.702,11819.13,11742.627,11653.266,11636.736,11618.007,11553.315,11517.678,11582.043,11661.736,11676.193,11674.096,11651.472,11641.587,11544.141
1181.6942,1235.4038,1212.4238,1188.0347,1175.8219,1146.088,1121.5312,1123.1702,1145.0223,1147.06,1159.3884,1181.6958,1202.3462,1192.2,1182.8258,1176.242,1180.0748,1173.8647
1458.3683,1484.1127,1430.4586,1439.2946,1426.8009,1417.2333,1410.1968,1415.9347,1415.2522,1404.4849,1424.5701,1456.791,1476.9327,1472.9752,1468.8486,1471.4298,1502.9744,1483.839
5153.2886,5163.678,5153.3247,5154.6753,5133.471,5119.934,5085.559,5068.7544,5069.0522,5072.383,5168.44,5198.489,5198.1353,5184.052,5167.052,5183.563,5163.653,5058.7856
7137.393,7261.0195,7274.336,7269.238,7305.907,7303.9746,7276.2485,7293.9487,7316.105,7322.74,7391.416,7464.9565,7533.1885,7514.0947,7531.6523,7541.0425,7543.347,7533.1313
12260.769,12505.269,12641.874,12726.405,12699.758,12665.753,12611.532,12674.426,12606.535,12588.3545,12547.399,12489.697,12507.226,12468.253,12493.694,12530.896,12545.082,12474.506
2826.219,2786.7383,2780.7725,2770.827,2750.5918,2767.1646,2741.6074,2767.3274,2775.582,2788.0283,2787.3447,2805.0757,2786.1846,2780.419,2764.751,2764.0747,2759.0652,2709.0244
2203.8286,2159.6487,2159.2695,2146.7961,2146.0256,2154.4478,2166.395,2182.773,2203.6074,2204.0664,2212.6812,2198.605,2181.6018,2187.342,2180.2104,2190.8516,2190.5352,2159.3616
4977.6787,5153.467,5230.2217,5230.4385,5196.949,5151.245,5111.8135,5164.432,5110.0913,5106.2393,5069.7407,5058.4473,5075.188,5086.3276,5096.6978,5126.3,5138.126,5068.8936
2703.8965,2683.6306,2673.5906,2661.5374,2676.2153,2683.7114,2691.8362,2693.1167,2695.865,2685.9502,2693.3909,2694.4363,2702.9402,2716.605,2727.6577,2742.5632,2755.6704,2745.632
13850.719,13987.626,14141.815,14206.137,14169.085,14131.565,14085.524,14151.357,14108.266,14118.944,14124.652,14076.074,14074.618,14057.13,14086.6875,14130.442,14152.982,14034.6455
7531.9126,7781.499,7939.4478,8040.746,8018.8545,8001.2896,7953.255,7996.0996,7920.444,7892.3535,7859.5337,7786.665,7806.772,7738.623,7753.27,7769.5815,7764.4326,7797.0938
