V1,V2,V3,V4,V5,V6,V7,V8
6846.028,6773.117,6780.046,6788.4185,6803.2485,6737.764,6852.6577,7023.1953
7052.001,6983.774,6999.9785,7026.131,7068.6353,7088.189,7141.3403,7218.542
7344.9473,7370.488,7346.3022,7364.5015,7395.9746,7388.246,7452.927,7561.5
7776.028,7807.549,7833.1196,7859.6265,7887.383,7895.1187,7956.216,8057.665
1291.5562,1205.2197,1165.768,1190.6188,1193.9857,1189.1069,1392.2578,1410.0673
9760.382,9675.411,9671.712,9692.5205,9701.115,9674.017,9704.984,9623.316
3366.0356,3342.0461,3346.2168,3353.4568,3355.0378,3348.3765,3404.1936,3452.2178
2618.0632,2557.5676,2555.151,2562.1433,2558.983,2544.6375,2559.4194,2579.9968
2545.2966,2518.5713,2511.4626,2504.34,2505.1726,2494.3179,2479.7927,2477.9395
2572.277,2555.1184,2560.6204,2558.0476,2554.8345,2533.9502,2543.0095,2599.2078
1137.5056,1134.7891,1138.7048,1136.4955,1142.199,1123.3542,1168.433,1128.6337
3411.6658,3290.0586,3263.822,3246.907,3209.8582,3125.8826,3340.6067,3349.9543
1885.6807,1858.2639,1854.0088,1851.2665,1851.4039,1856.6022,1828.5742,1760.1635
11590.75,11464.876,11461.526,11454.025,11461.666,11416.479,11371.562,11229.995
1321.4851,1306.0824,1315.609,1311.8805,1314.302,1315.4227,1319.4331,1326.0503
2260.712,2191.6382,2187.9722,2192.165,2184.4724,2159.44,2240.287,2224.9214
2474.0627,2440.978,2442.9294,2451.4624,2457.056,2466.1897,2405.5127,2512.7183
4834.2593,4926.571,4919.376,4901.7485,4880.9136,4782.399,4914.682,4839.813
5504.66,5359.0,5352.9424,5346.6826,5341.205,5344.6904,5348.8896,5318.9404
6218.8774,6124.344,6134.021,6101.9404,6086.6562,6057.402,6077.9966,6115.3765
9455.873,9285.15,9290.366,9288.922,9286.353,9273.992,9318.18,9372.707
5149.465,5056.3804,5044.744,5039.678,5011.754,4983.2354,5097.677,4979.1777
6051.56,5933.674,5911.3223,5929.534,5891.293,5876.208,5938.334,5960.197
2459.5781,2438.0483,2433.6497,2424.3743,2421.9453,2403.3342,2417.8362,2388.3281
1391.8262,1392.2826,1397.3845,1406.9446,1410.273,1400.6886,1411.7628,1399.6946
