V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38509.164,38555.473,38596.312,38641.336,38687.57,38660.75,38607.207,38575.117,38550.727,38321.94,38026.793,37902.31,37883.05
3865.1472,3871.5852,3874.6868,3883.0369,3885.4663,3877.5054,3875.183,3871.6196,3869.1277,3848.7998,3814.831,3785.2935,3782.2173
9687.336,9705.675,9680.624,9650.356,9666.328,9692.744,9673.11,9633.789,9630.893,9674.014,9680.785,9637.01,9620.442
2432.254,2363.7454,2348.5088,2355.7034,2341.0066,2336.1543,2338.6516,2323.1438,2307.091,2324.509,2326.1338,2365.1196,2468.9043
1792.6332,1803.4263,1826.861,1842.5165,1845.8999,1845.3506,1854.3281,1877.9574,1868.9065,1915.7955,1951.6039,1901.3607,1960.8367
626.9592,628.3647,622.834,613.56024,601.9019,601.9507,606.044,610.2983,619.5374,635.15314,638.57874,627.7662,650.0413
2936.9492,2921.6887,2960.2183,2976.0454,2960.7139,2991.089,3029.618,3050.0603,3090.292,3184.8643,3358.269,3325.5803,3299.6223
2416.8643,2385.5725,2353.3704,2374.1484,2429.0476,2459.312,2441.3916,2460.4553,2668.5505,2708.3127,2553.5522,2583.8188,2794.7747
6232.1245,6130.678,6074.4185,6131.1377,6191.3213,6078.451,6093.1104,6128.1445,6334.269,6519.755,6405.895,6468.2534,6699.45
4905.8706,4901.3013,4901.75,4901.5796,4927.0317,4965.999,4961.473,4949.817,4937.707,4926.044,4917.323,4909.8003,4909.7485
443.91794,443.55942,439.98807,439.36298,435.73087,424.60886,416.7287,415.88586,420.339,422.33282,418.43628,419.14258,434.29736
1057.2871,1057.5442,1058.051,1066.8241,1078.5284,1076.9966,1073.1754,1069.694,1066.2848,1063.5037,1061.0156,1058.7003,1062.5287
2207.1448,2198.343,2190.8245,2178.8315,2174.2095,2178.9583,2173.8948,2169.3232,2166.0872,2179.3154,2204.6287,2226.6777,2255.9739
2213.7031,2206.9905,2192.6824,2183.0896,2189.182,2194.8235,2202.168,2199.394,2183.3965,2203.0374,2229.2393,2235.0837,2250.0894
3477.0854,3475.1143,3440.9326,3443.6504,3462.9253,3475.4797,3556.249,3573.8984,3428.2756,3502.1306,3714.6316,3819.712,3935.4302
3477.0854,3475.1143,3440.9326,3443.6504,3462.9253,3475.4797,3556.249,3573.8984,3428.2756,3502.1306,3714.6316,3819.712,3935.4302
11960.061,11955.915,11945.48,11933.91,11946.958,11969.103,11969.361,11966.169,11960.339,11953.688,11946.901,11935.723,11924.415
4539.1504,4538.6533,4535.025,4530.4976,4500.5327,4461.1826,4460.604,4467.905,4472.402,4476.3706,4480.183,4485.6685,4515.8833
3087.0125,3066.3093,3033.4373,3023.7917,3028.033,3018.3713,3012.2944,3065.2366,3099.1108,3161.104,3236.4727,3202.2207,3280.0723
4570.5356,4552.18,4516.141,4499.0605,4504.902,4494.0312,4500.026,4574.3467,4585.3496,4660.3354,4703.2173,4622.562,4746.522
2202.2683,2227.2122,2256.416,2273.506,2217.9285,2177.3376,2186.974,2212.6301,2175.2,2235.2756,2335.7556,2291.7065,2390.9485
3799.4878,3758.3154,3670.3555,3596.297,3543.0403,3532.5635,3501.6458,3529.486,3569.3423,3704.4407,3827.5857,3800.7058,4023.0513
842.0998,840.55994,832.4929,828.5773,823.31146,820.47375,824.52905,826.1822,825.2596,828.9787,839.27515,845.3172,860.5158
6699.9893,6666.918,6595.8423,6589.5317,6681.5015,6648.7046,6694.294,6862.77,6777.7207,6827.4785,7077.242,7101.4614,7407.5024
1040.2205,1045.5797,1049.8392,1025.5304,1004.41644,1016.0013,1026.6973,1020.19446,1021.31604,1054.696,1077.2843,1085.9857,1144.9758
3245.8264,3214.9663,3095.962,3050.4995,3022.5286,3014.5737,2990.12,2981.3984,2973.2925,3041.4392,3092.3823,3033.5,3103.5044
2365.3508,2307.5457,2261.6565,2254.0364,2308.546,2339.5347,2323.0635,2297.646,2263.1445,2281.2266,2327.3457,2324.966,2426.349
3618.3804,3603.9585,3670.0432,3655.5059,3696.4856,3736.8928,3743.022,3804.571,3908.7383,3970.1943,4484.77,4762.0796,4486.516
675.1277,669.3908,659.9468,658.5184,660.15295,667.2426,675.8354,687.2768,692.74725,698.873,701.3425,717.2016,766.62115
3981.3425,4006.6787,3892.417,3759.0781,3735.2205,3747.7952,3738.3425,3777.422,3829.724,3904.1216,3945.8772,3875.762,4047.495
791.39526,788.93646,794.183,809.68896,819.4384,794.3902,781.38293,789.27924,783.08734,795.5417,822.4347,865.0556,968.03345
4194.265,4242.983,4077.813,4003.4355,3936.155,3931.9336,4048.3562,4142.0317,4160.6157,4196.682,4212.2197,4199.1445,4399.266
1595.8939,1583.1603,1581.9346,1590.3035,1593.583,1575.3667,1583.3439,1587.018,1640.2119,1653.8009,1608.1072,1620.4965,1670.7844
1140.9967,1142.0698,1146.2897,1157.7292,1159.4252,1144.715,1153.2961,1157.9116,1182.111,1203.1537,1174.645,1197.3087,1236.2257
1190.9508,1177.5251,1178.3085,1185.7898,1200.8241,1205.9246,1170.6119,1154.1656,1202.9246,1235.4463,1197.6996,1209.0436,1246.8306
16371.232,15783.652,16194.597,16889.715,17077.941,16891.744,16962.396,17226.041,17318.01,16609.633,15869.051,16063.291,16648.857
2889.0054,2886.1758,2889.3774,2895.4326,2903.7256,2911.2522,2920.8667,2930.1216,2938.217,2940.0547,2935.3022,2928.0063,2938.8953
3193.6616,3186.045,3172.7197,3163.191,3165.3428,3177.4539,3180.1404,3174.344,3173.527,3178.0503,3179.2812,3179.9397,3200.5476
5647.659,5647.2383,5654.6235,5666.436,5679.79,5686.825,5685.6045,5683.3916,5684.282,5686.673,5684.545,5678.7007,5672.3506
5641.858,5641.718,5649.314,5660.308,5673.3184,5680.6987,5679.7646,5677.3643,5677.998,5680.6846,5678.7256,5673.1562,5666.6987
6224.6196,6217.638,6212.9985,6205.675,6211.798,6229.8125,6228.35,6201.884,6184.683,6180.1084,6184.762,6192.1914,6200.1963
