V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
1673.4314,1676.767,1668.8633,1660.8096,1660.1859,1655.5393,1656.2875,1665.4622,1669.3818,1666.878,1664.971,1677.346,1673.3928,1676.7234,1668.8204,1660.7588,1660.1421,1655.497
2288.015,2292.1365,2286.9802,2279.1711,2276.496,2272.1257,2276.5796,2280.686,2290.454,2284.5728,2285.0344,2290.6328,2285.9785,2290.1328,2284.9539,2277.146,2274.4712,2270.105
2515.6824,2510.0679,2509.4836,2500.451,2498.9148,2493.9065,2512.6433,2504.4854,2521.6914,2508.358,2515.1707,2512.5442,2515.682,2510.0652,2509.4792,2500.4495,2498.912,2493.9053
2516.186,2511.0195,2510.2808,2501.3584,2499.6816,2494.7305,2512.9556,2505.2993,2522.252,2509.2334,2515.7417,2513.4126,2516.184,2511.0159,2510.2744,2501.3562,2499.678,2494.728
2516.1702,2511.0469,2510.2922,2501.3809,2499.6885,2494.7476,2512.9153,2505.3125,2522.2383,2509.2507,2515.7236,2513.427,2516.168,2511.043,2510.2856,2501.3782,2499.6846,2494.7446
2515.4016,2510.7126,2509.816,2501.0037,2499.1904,2494.3027,2511.944,2504.8506,2521.5151,2508.841,2515.018,2513.0234,2515.3914,2510.702,2509.802,2500.9941,2499.1792,2494.293
2480.333,2478.6895,2476.6357,2468.4272,2465.968,2461.4297,2474.7817,2471.48,2486.0579,2475.7034,2479.7603,2480.1338,2479.9214,2478.2935,2476.227,2468.028,2465.5637,2461.0303
2495.121,2492.642,2490.9539,2482.5825,2480.2869,2475.6265,2490.2964,2485.9045,2501.1067,2490.0884,2494.7751,2494.4407,2494.8901,2492.4216,2490.7236,2482.3608,2480.0608,2475.4045
2512.5542,2508.4597,2507.3152,2498.652,2496.662,2491.889,2508.75,2502.3542,2518.6653,2506.411,2512.1274,2510.5803,2512.5076,2508.416,2507.2654,2498.609,2496.6162,2491.8455
2508.5725,2504.985,2503.658,2495.0967,2492.9956,2488.2676,2504.4736,2498.6987,2514.673,2502.8018,2508.1743,2507.0093,2508.4956,2504.9119,2503.5776,2495.024,2492.9194,2488.1943
2514.832,2508.9617,2508.4824,2499.3782,2497.938,2492.8984,2511.9119,2503.4756,2520.8218,2507.307,2514.2996,2511.5098,2514.8306,2508.9583,2508.4775,2499.3755,2497.9343,2492.8958
2516.1729,2510.885,2510.1782,2501.2305,2499.5852,2494.6235,2512.9878,2505.1934,2522.2166,2509.1125,2515.6943,2513.286,2516.1719,2510.8826,2510.173,2501.229,2499.5825,2494.622
2516.1782,2510.8994,2510.1885,2501.2427,2499.5947,2494.6335,2512.9885,2505.2036,2522.2222,2509.1243,2515.7,2513.2979,2516.1768,2510.897,2510.1833,2501.2412,2499.5918,2494.6323
2515.5544,2509.896,2509.338,2500.296,2498.774,2493.7676,2512.5427,2504.3394,2521.5708,2508.2046,2515.048,2512.3894,2515.554,2509.8936,2509.3333,2500.2944,2498.772,2493.766
2516.062,2510.6465,2509.9832,2501.0027,2499.3984,2494.417,2512.932,2504.9927,2522.0881,2508.8945,2515.5662,2513.0723,2516.0615,2510.6445,2509.979,2501.0017,2499.3962,2494.416
2514.954,2509.1143,2508.62,2499.524,2498.0718,2493.0342,2512.0178,2503.6135,2520.9434,2507.4502,2514.4216,2511.6511,2514.953,2509.1113,2508.6155,2499.5215,2498.0688,2493.0317
2513.7969,2507.709,2507.3262,2498.1538,2496.8074,2491.7437,2510.983,2502.316,2519.7764,2506.1074,2513.2515,2510.3357,2513.794,2507.704,2507.3198,2498.1494,2496.8025,2491.7395
2516.2056,2511.005,2510.2585,2501.3296,2499.6572,2494.7031,2512.974,2505.276,2522.249,2509.2058,2515.7253,2513.3806,2516.2039,2511.002,2510.253,2501.3276,2499.654,2494.7012
1662.3625,1665.4048,1657.52,1649.4164,1648.8103,1644.2537,1645.2003,1654.0731,1658.1158,1655.4028,1653.6938,1665.873,1662.3201,1665.3572,1657.4734,1649.3613,1648.7622,1644.2072
