V1,V2,V3,V4,V5,V6,V7,V8
2334.853,2342.0322,2329.4944,2333.0732,2326.2449,2326.014,2319.6133,2306.168
2347.5068,2354.6873,2342.2705,2345.8823,2338.9111,2338.6538,2332.248,2318.7344
2281.623,2288.9556,2275.949,2279.2117,2272.9976,2273.08,2266.4941,2253.4155
2351.131,2358.2393,2345.8745,2349.5557,2342.5527,2342.1821,2335.8452,2322.2856
2720.3374,2729.0598,2722.3645,2723.6814,2715.2263,2710.561,2703.846,2688.2507
2661.8835,2669.6184,2660.8699,2663.9873,2654.9595,2652.1165,2645.6785,2630.644
2573.2715,2580.4407,2570.381,2574.1736,2565.4263,2563.4583,2557.2996,2542.5835
2667.4912,2675.2683,2666.6235,2669.6787,2660.6462,2657.724,2651.2708,2636.2092
2612.6035,2619.9846,2610.4534,2614.0132,2605.0984,2602.799,2596.525,2581.6733
2561.8538,2568.9766,2558.784,2562.6125,2553.923,2552.046,2545.9175,2531.242
2473.0505,2479.955,2468.8179,2472.8042,2464.7178,2463.4404,2457.3877,2443.1035
2716.7559,2725.096,2717.6672,2719.7988,2710.935,2707.0188,2700.3745,2685.013
2714.0234,2722.3442,2714.7957,2717.0,2708.111,2704.3193,2697.6594,2682.3452
2722.5442,2731.0508,2723.9253,2725.754,2717.017,2712.8052,2706.1099,2690.6663
2723.2407,2731.8384,2724.8281,2726.4824,2717.8022,2713.5461,2706.815,2691.3645
2723.3584,2731.9587,2724.9697,2726.6167,2717.9504,2713.648,2706.918,2691.4558
2706.2236,2714.4128,2706.6167,2709.0503,2700.0986,2696.5005,2689.8877,2674.6262
2585.7146,2592.9485,2583.0984,2586.7668,2577.9487,2575.8977,2569.7195,2554.9612
2718.4268,2726.811,2719.4404,2721.5103,2712.6729,2708.6965,2702.0317,2686.6572
2693.0894,2701.1125,2692.9863,2695.6858,2686.6782,2683.3464,2676.7964,2661.6113
2697.3894,2705.4604,2697.439,2700.0588,2691.0645,2687.6494,2681.084,2665.8728
2721.814,2730.304,2723.1191,2724.9966,2716.2322,2712.0962,2705.3965,2689.98
2697.4766,2705.5496,2697.5352,2700.1458,2691.1497,2687.7363,2681.1719,2665.9602
2531.512,2538.5286,2527.9893,2531.9119,2523.4016,2521.7363,2515.6675,2501.1113
2540.8518,2547.8975,2537.463,2541.3604,2532.791,2531.063,2524.979,2510.3848
2720.6348,2729.3896,2722.666,2723.967,2715.5176,2710.9094,2704.1638,2688.5945
2555.764,2562.8574,2552.5898,2556.451,2547.7927,2545.957,2539.8447,2525.191
2676.735,2684.6033,2676.1216,2679.0654,2670.0417,2666.9854,2660.488,2645.3904
2378.8892,2385.8315,2373.7761,2377.6462,2370.3738,2369.7107,2363.511,2349.7417
2444.4202,2451.3132,2439.8945,2443.8777,2436.024,2434.9385,2428.844,2414.7156
2543.4873,2550.5503,2540.1313,2544.029,2535.447,2533.7036,2527.604,2513.006
2550.509,2557.585,2547.2544,2551.1257,2542.5066,2540.713,2534.6074,2519.973
