V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2026.6686,2031.6418,2029.9388,2028.7476,2031.8794,2029.1803,2030.9667,2029.3179,2032.3835,2027.728,2031.1006,2030.6046,2031.9304,2031.6306
2990.6501,3000.734,2999.3442,2998.848,3005.5833,3002.4607,3006.9065,3007.8977,3013.9958,3008.59,3014.8809,3016.0044,3018.972,3019.6328
1128.8817,1131.403,1129.3823,1129.9543,1135.0497,1132.8033,1135.2928,1135.3881,1138.1582,1138.4546,1139.5028,1142.6152,1142.8198,1144.2656
1227.846,1234.6337,1223.2871,1227.3832,1231.8269,1230.203,1237.2893,1236.1846,1248.654,1249.1796,1256.7905,1272.0586,1262.3958,1267.86
5850.374,5864.251,5859.802,5858.5957,5866.006,5857.644,5862.6816,5856.041,5863.5303,5846.5225,5854.057,5849.9053,5852.3555,5849.998
3123.5925,3137.522,3135.1892,3135.213,3140.3303,3140.0935,3147.2363,3144.7031,3151.9736,3131.1577,3140.402,3142.7214,3137.683,3136.7605
5221.493,5180.8433,5145.4307,5179.8955,5180.0415,5173.275,5161.791,5150.5273,5080.049,5063.0615,5004.7285,4941.0938,4957.8813,4967.2583
1729.8921,1734.8705,1733.5675,1733.4692,1736.0448,1733.7921,1735.0924,1732.8643,1735.554,1730.1317,1732.8561,1732.9288,1732.8285,1732.6674
1583.3568,1588.0135,1586.8551,1586.7566,1589.1658,1587.1296,1588.3207,1586.3705,1588.8447,1583.9458,1586.452,1586.5878,1586.5382,1586.3944
2629.3884,2637.117,2636.5303,2636.141,2639.6768,2634.9375,2635.1128,2630.3254,2634.6309,2625.6118,2628.6836,2626.61,2627.6252,2626.8513
2433.2896,2440.1304,2438.4446,2438.8733,2443.128,2439.2468,2441.549,2439.0027,2440.9443,2432.171,2436.0837,2435.121,2435.5469,2435.1836
3661.14,3667.5671,3664.9114,3663.0208,3666.2537,3659.72,3659.7737,3655.1313,3659.2139,3648.2703,3651.9082,3648.1335,3649.9583,3647.7563
7219.98,7231.109,7226.417,7222.95,7226.8506,7212.6357,7211.3984,7201.2036,7208.362,7190.8306,7197.3413,7186.0522,7191.0703,7184.5264
5668.903,5684.4414,5677.142,5683.7227,5691.79,5685.951,5694.5054,5690.1147,5694.9526,5675.954,5676.952,5676.4253,5673.142,5671.2314
7411.4185,7340.4507,7303.8403,7307.9233,7295.505,7267.7964,7242.022,7193.2383,7174.1,7136.8965,7077.0596,7036.4507,7015.9727,7010.691
3083.0286,3094.346,3093.104,3093.998,3100.9387,3097.061,3101.1792,3097.804,3099.2393,3090.3533,3095.627,3094.232,3095.8137,3096.2852
4025.1162,4033.344,4031.3423,4029.8599,4033.3826,4027.0332,4028.1597,4025.0537,4028.2695,4018.2654,4021.106,4016.5127,4017.494,4014.66
9549.394,9581.344,9577.467,9572.988,9587.056,9574.756,9583.764,9571.679,9585.79,9562.955,9587.547,9588.817,9596.396,9595.068
2676.0627,2680.4106,2674.911,2672.7239,2674.7417,2671.465,2674.2146,2673.4644,2677.921,2669.9648,2671.3918,2670.785,2666.3494,2663.1528
10917.718,10953.845,10954.381,10951.996,10977.409,10961.624,10973.317,10971.546,10977.868,10951.729,10972.137,10964.948,10980.99,10979.498
