V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
643.70514,582.92035,547.5813,498.51688,467.0816,451.4442,448.55585,457.21527,482.56836,541.4532,587.0007,618.258,701.7319,768.16833,807.1307,851.1554,861.5549,885.7597,888.0566,879.008,847.6041,807.50684,758.53674,702.39655,643.7953,588.3646,549.1064,501.59534,470.43216,455.9746,448.92694,448.11005,476.58417,525.68945,581.1706,619.5425,707.1062,753.36206,806.45306,855.36285,869.93286,878.7288,887.8844,860.1963,832.1036,809.61206,762.1777,694.64185
2947.1667,2688.3071,2523.8105,2286.9585,2125.005,2032.1809,1986.9873,2005.6116,2104.3708,2318.1797,2492.688,2620.7747,2961.906,3230.9019,3408.2095,3606.8599,3697.1265,3835.5247,3877.0103,3881.2014,3776.9019,3607.227,3435.3906,3210.6562,2946.7976,2713.9731,2530.128,2318.586,2152.9707,2065.6477,2015.7789,1983.0508,2086.08,2263.9634,2475.9197,2635.168,2986.3174,3186.4023,3420.5212,3659.2617,3739.623,3797.9172,3892.1565,3791.8718,3720.2603,3633.1199,3446.7437,3180.3047
1200.8885,1144.1187,1108.0896,1041.2521,990.22955,923.86084,918.16656,920.498,904.2655,925.99414,989.3097,999.8798,1081.2568,1150.0902,1191.3651,1238.1205,1263.7845,1307.6365,1332.1404,1357.1143,1337.3966,1313.7775,1285.2344,1253.142,1193.8641,1141.0889,1091.53,1036.9365,991.2275,959.67615,918.31323,897.4252,891.46594,929.96515,978.4622,1005.76733,1088.1755,1128.0481,1186.7745,1244.6005,1272.3815,1286.586,1333.8583,1311.6426,1328.815,1332.7761,1290.4022,1238.7766
5503.164,5195.114,4985.739,4600.5684,4276.634,3949.0342,3818.2124,3686.7715,3594.6992,3637.065,3754.648,3795.904,4144.771,4420.6133,4681.8354,5009.8135,5253.2954,5555.116,5803.336,5982.133,5985.492,5948.6206,5894.2593,5804.9653,5503.763,5264.6216,4963.704,4650.285,4358.956,4079.6926,3863.9922,3645.5747,3575.456,3627.6807,3700.983,3807.3857,4144.571,4382.9805,4702.2227,5087.48,5286.8804,5511.1914,5843.706,5850.713,6020.799,6101.342,5954.3223,5770.613
3130.4802,2911.2583,2718.438,2409.7449,2176.2712,1904.3738,1786.5614,1689.569,1590.3684,1683.3413,1778.5754,1771.2817,1989.6025,2198.2139,2368.435,2631.9492,2810.44,3083.2817,3340.8066,3498.4734,3481.9604,3450.2524,3380.2134,3305.944,3108.5837,2932.8398,2668.8513,2405.5828,2200.4216,1962.1863,1762.1146,1636.3607,1560.6135,1619.7195,1692.1879,1766.3785,1991.4963,2174.6968,2368.3057,2679.7378,2832.7314,3019.2725,3318.025,3369.3909,3479.559,3540.554,3417.5742,3263.3623
5098.9033,5101.3027,5333.3677,5569.9116,5869.465,5953.1436,6435.2954,6699.424,6741.7954,6647.157,7024.3706,7038.206,7149.815,7275.864,7160.818,7024.041,6793.188,6561.022,6188.4834,6013.052,5727.156,5485.4854,5275.6997,5196.419,5161.3687,5150.0586,5257.1895,5486.839,5848.2744,6155.1187,6281.4766,6492.8237,6598.656,6763.567,7098.5312,7016.1924,7267.5396,7076.171,7104.747,6887.2266,6752.456,6476.3184,6194.822,5887.283,5636.8174,5464.9067,5269.038,5171.703
44226.21,42329.93,40851.332,38023.89,35595.785,32487.281,31653.152,30550.254,28951.832,28915.062,30050.867,29932.65,32224.027,34311.434,36058.1,38504.76,40181.297,42664.434,44863.605,46670.094,46732.277,46549.28,46308.094,45995.51,44103.38,42527.195,40265.945,37958.414,35968.273,33723.45,31466.066,29799.611,28579.598,28886.445,29478.094,30008.816,32274.014,33865.324,36063.805,38847.195,40437.27,42121.082,44906.812,45118.652,46832.758,47599.406,46633.46,45583.633
28055.688,25829.234,24772.023,23120.924,22383.738,21962.383,22389.133,23185.543,24344.621,26465.25,28578.994,29592.365,32741.633,35228.145,36484.7,37889.72,38153.562,38850.508,38566.418,38046.496,36473.508,34598.56,32596.379,30358.844,28105.75,26069.736,24582.521,23166.754,22398.723,22283.73,22272.982,22670.848,23914.479,25956.56,28474.863,29624.992,33079.574,34497.176,36392.04,37972.207,38385.137,38280.004,38555.316,37202.996,35832.164,34814.617,32670.416,30016.756
36116.793,33823.58,32621.928,30562.479,29199.45,28065.771,28048.07,28213.795,28764.742,30132.164,31949.871,32887.145,36004.727,38437.918,40017.527,41806.6,42596.914,43876.395,44196.215,44419.54,43405.43,41816.312,40432.227,38630.61,36222.082,34186.457,32497.264,30748.373,29487.428,28772.564,28175.824,27753.828,28424.156,29917.611,31865.896,33010.19,36289.992,37881.09,40079.566,42183.082,42920.574,43415.832,44418.953,43429.914,43014.08,42336.664,40527.51,38325.598
429.08652,418.24203,415.0715,406.62265,399.301,382.52243,392.38184,394.1521,387.03424,380.01517,398.8148,397.27896,412.11646,424.7327,429.03976,436.97195,438.9673,447.2151,450.87598,457.7986,453.15027,448.2977,445.59085,442.6095,430.24823,419.82776,411.8768,404.34836,400.7745,399.07748,390.8296,384.47662,381.92776,387.92142,397.83923,398.7208,416.7113,417.22574,428.77777,437.11636,441.10846,442.70532,454.48706,447.6022,453.8187,455.5752,447.11386,439.67212
26185.418,24711.66,24495.05,23971.3,24613.324,24718.785,26247.814,27576.531,28665.777,30123.682,32397.137,33131.3,35270.71,37143.375,37584.355,38265.49,38027.375,37860.477,36779.445,35857.383,33831.883,31794.03,29664.447,27838.127,26373.236,25055.615,24155.164,23787.277,24443.676,25212.418,25579.895,26705.844,28030.42,29774.135,32362.12,33036.03,35836.83,36166.504,37398.387,37971.93,37779.234,37156.812,36473.227,34943.82,33024.26,31726.723,29704.576,27545.26
7754.517,7085.492,6749.257,6237.6484,6023.504,5889.5312,5999.1963,6227.8887,6585.784,7269.8335,7891.4023,8194.548,9140.858,9882.98,10254.26,10699.352,10788.801,11008.497,10954.748,10801.047,10313.104,9746.137,9113.81,8429.867,7758.4253,7147.455,6681.2886,6239.619,6006.0312,5954.174,5937.5747,6078.3613,6447.7866,7072.873,7839.61,8193.087,9237.714,9668.973,10232.944,10719.025,10839.824,10835.129,10919.824,10545.818,10108.959,9794.658,9137.829,8321.064
