V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
7158.2656,6532.437,6004.2915,5785.361,5312.545,5308.8125,5743.416,5307.4717,5058.159,5164.842,5590.831,6636.6953,7007.622,6557.7324,5965.289,5672.2812,5426.441,5405.4233
2361.491,2224.6616,2169.9683,2018.6835,1911.0615,1910.4791,2050.8984,2023.6488,1969.7765,1896.9962,1994.1461,2349.5486,2320.0232,2163.8623,2101.6865,2035.4408,1925.4631,1896.1185
13254.543,13264.17,13342.991,13392.72,13360.079,13457.867,13471.118,13494.9375,13460.509,13514.333,13450.543,13433.676,13349.467,13367.028,13426.173,13392.187,13403.656,13494.805
6596.5503,6581.731,6591.8623,6634.851,6645.1265,6675.83,6664.9414,6643.892,6606.739,6639.473,6638.0107,6676.955,6678.495,6638.655,6616.0137,6645.666,6655.465,6656.7817
4365.766,4379.3315,4397.757,4412.1235,4411.998,4421.878,4391.192,4376.325,4371.3486,4375.8623,4372.865,4427.2583,4422.4736,4419.536,4417.9473,4425.519,4419.4087,4417.736
11554.595,11580.161,11617.6875,11730.411,11682.449,11737.475,11693.742,11613.103,11540.4375,11549.443,11496.098,11640.532,11709.292,11715.253,11688.308,11716.691,11681.138,11693.521
1146.3566,1159.7002,1170.2845,1175.7058,1172.9253,1170.0106,1154.0294,1143.7689,1137.5776,1133.473,1133.3383,1156.9653,1168.0792,1176.2324,1178.8833,1177.9882,1171.4763,1166.6412
1410.5275,1428.1355,1440.9662,1449.371,1450.7277,1454.5494,1434.0266,1425.8546,1420.8558,1408.9697,1406.8922,1431.1246,1442.1731,1452.3513,1456.5763,1456.3015,1453.2573,1454.7881
5290.115,5353.826,5404.2593,5406.456,5342.49,5282.029,5182.1157,5113.1846,5087.9077,5061.945,5159.954,5297.807,5354.9785,5377.8276,5400.6533,5403.9004,5359.9795,5271.5664
6698.182,6687.149,6691.238,6698.358,6668.823,6675.049,6653.174,6652.9985,6632.812,6642.6006,6660.2285,6744.2637,6758.984,6725.5366,6717.049,6684.9243,6661.318,6665.3716
