V1,V2,V3,V4,V5,V6,V7,V8
6935.2896,6842.938,6949.5195,6918.8955,7039.609,7011.5635,7034.181,7048.3125
7132.7886,7105.5176,7206.486,7159.886,7220.651,7274.326,7292.9346,7279.8726
7267.425,7232.1865,7338.1846,7269.6367,7365.5,7414.7114,7427.1387,7409.2954
7742.2603,7741.926,7830.0586,7787.448,7855.943,7941.25,7931.397,7926.704
1135.6731,1060.4526,1252.8693,1380.1897,1170.2897,1102.7695,1284.036,1402.6552
9824.935,9780.512,9928.629,9969.83,10023.284,10069.235,10057.128,10144.683
3372.633,3364.7993,3386.7717,3414.211,3439.9802,3462.7546,3433.0396,3476.7314
2606.9192,2586.207,2627.2354,2652.1755,2657.5635,2661.3447,2661.7632,2697.9082
2501.9395,2490.636,2519.304,2541.1877,2551.2747,2562.8267,2553.0208,2585.7942
2564.3762,2556.4749,2607.0786,2607.049,2615.9258,2631.931,2641.4712,2653.4592
1168.4453,1164.8125,1177.6157,1178.6769,1191.7145,1199.2747,1193.7599,1200.758
3307.6506,3148.86,3359.8235,3433.8237,3368.7068,3249.7942,3403.8218,3498.4897
1767.2213,1766.5513,1795.8329,1785.154,1809.4415,1824.3262,1818.2087,1819.1814
12518.374,12343.866,12437.66,12550.151,12732.239,12663.958,12571.291,12708.48
1244.7521,1235.2517,1329.5527,1327.424,1279.9648,1285.2106,1347.6681,1355.7214
2032.5289,2011.7069,2108.6606,2093.4434,2086.9915,2084.5227,2136.93,2131.4868
2448.0972,2461.0,2448.514,2493.4302,2496.6575,2531.3687,2483.0251,2534.3447
4720.0635,4598.9,5010.7607,4846.2173,4852.672,4769.6494,5078.204,4950.638
5720.2397,5686.0366,5760.9653,5799.914,5824.568,5837.8013,5830.4395,5880.0103
6307.4785,6285.6494,6332.2837,6422.8496,6439.6934,6472.64,6427.4956,6537.3164
9737.1045,9690.537,9805.442,9933.383,9929.534,9968.124,9946.528,10097.724
5074.4355,5092.7046,5215.9414,5291.332,5209.779,5266.93,5299.6797,5393.252
6030.014,5970.226,6125.7246,6173.4556,6149.972,6147.877,6204.5947,6278.6978
2350.275,2348.4326,2397.2205,2381.7703,2396.9878,2420.041,2426.2993,2427.931
1383.7379,1384.6509,1414.4543,1403.2863,1407.9529,1424.1302,1430.4551,1427.5823
8414.979,7849.3726,8194.494,9615.495,8450.35,8036.26,8359.499,9713.324
9286.918,9246.031,9433.169,9375.856,9463.055,9519.298,9530.611,9563.93
5094.118,5064.3687,5046.1963,5043.5933,5170.6294,5191.32,5096.46,5107.324
1929.595,1903.1616,1921.4253,1917.9724,1972.5146,1959.4526,1948.4624,1956.9524
3116.6921,3130.6707,3123.3772,3139.5708,3179.031,3222.3997,3164.5256,3197.9841
2513.4043,2536.484,2542.1462,2554.8118,2558.5593,2608.7927,2576.3186,2601.3823
4805.2983,4715.4316,4775.9155,4777.507,4901.914,4847.9375,4836.2183,4860.0596
8303.154,8349.612,8400.342,8382.964,8467.456,8592.48,8500.037,8529.828
7231.2134,7305.163,7346.0283,7334.7373,7363.704,7513.297,7436.4463,7464.193
10164.11,10283.35,10338.308,10226.712,10349.526,10575.325,10443.633,10394.336
9228.476,9123.085,9211.034,9264.635,9376.303,9369.327,9308.389,9409.487
4613.232,4567.3296,4546.6787,4651.5815,4659.238,4666.2197,4598.9155,4697.966
6399.1836,6329.3447,6436.342,6491.0283,6495.917,6524.9,6508.4136,6607.5703
5667.6934,5737.26,6194.1553,6069.653,5780.0317,5917.5737,6271.0854,6157.314
5247.601,5265.4263,5299.9824,5308.0674,5345.8545,5417.1045,5363.5195,5398.7505
1916.336,1914.089,1937.56,1936.5061,1959.0454,1971.6254,1961.0018,1971.5873
2127.6794,2114.479,2136.3489,2139.3455,2173.6362,2177.591,2162.9077,2177.6943
5446.1646,5472.291,5479.8926,5522.5713,5540.1885,5624.1685,5544.255,5609.611
1289.4407,1292.7932,1295.7666,1293.975,1316.8005,1331.7797,1311.3507,1317.5876
1931.3636,1925.7322,1951.1368,1949.8748,1973.4155,1983.1447,1975.7186,1985.6033
3399.6355,3418.9314,3462.5635,3444.344,3472.0632,3516.031,3505.3784,3501.6292
9681.95,9761.062,9819.6045,9837.524,9876.312,10063.842,9940.108,10028.664
1414.9872,1392.0311,1440.4884,1441.5201,1446.0245,1434.8942,1458.2557,1463.5641
8952.935,9059.367,9093.915,9050.691,9088.308,9314.748,9198.166,9197.81
9317.2,9460.516,9442.363,9466.153,9440.526,9720.2295,9551.205,9612.148
1495.8577,1508.2689,1518.2852,1466.2792,1518.298,1548.3232,1529.8258,1485.171
5831.88,5837.548,5915.3594,5906.3765,5942.064,6012.152,5988.565,6014.5654
2645.0913,2641.4668,2709.117,2649.355,2713.342,2727.3245,2741.431,2701.3267
1660.0178,1654.7452,1679.272,1682.5894,1695.1024,1705.0068,1700.5078,1712.7798
