V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38297.97,38378.965,38398.086,37552.195,38931.438,37761.418,38855.58,38849.984,38808.547,38699.504,39225.836,39458.7,38653.203
3828.6382,3837.5842,3838.992,3753.876,3892.3105,3775.6218,3885.2136,3883.96,3879.739,3868.9983,3921.7659,3945.0945,3863.1482
9678.942,9696.811,9707.231,9491.816,9836.554,9532.491,9811.953,9813.954,9801.793,9772.73,9905.197,9965.787,9764.155
2369.8113,2366.9277,2369.0696,2322.2202,2404.2402,2335.1873,2403.193,2413.251,2407.5955,2407.3728,2438.1943,2451.5796,2428.0251
1769.4012,1773.5261,1779.7153,1746.106,1810.3483,1759.1595,1803.3259,1801.7202,1787.5208,1792.3633,1814.9181,1829.666,1791.7069
613.01886,614.60974,610.6964,596.8787,622.7927,604.5209,619.3236,621.9822,624.74194,621.7933,629.6835,632.7995,623.6055
2923.7595,2923.2217,2930.7922,2871.7793,2980.6853,2887.5596,2953.1233,2961.186,2949.1223,2945.8652,2976.5322,3000.4377,2955.7263
2407.314,2394.6035,2382.614,2348.7776,2427.8313,2364.6965,2405.175,2405.0254,2404.901,2409.702,2412.0354,2437.4448,2387.9214
6230.475,6217.7305,6208.9604,6085.872,6305.839,6113.9346,6267.8477,6284.741,6289.4443,6269.7334,6316.334,6366.6016,6267.394
4935.701,4941.6064,4943.019,4833.603,5011.0156,4857.232,4991.8076,4993.413,4987.8994,4968.092,5032.106,5064.2554,4967.805
424.00244,425.07144,425.24988,415.9588,431.64386,419.76672,433.1924,432.3986,432.08313,432.9745,439.63123,441.7705,432.44113
1058.8816,1060.9854,1061.1807,1038.0299,1076.8667,1044.327,1073.5695,1073.1665,1071.1514,1067.31,1081.5873,1088.5033,1067.2654
2206.0505,2205.7158,2209.5566,2162.2803,2240.268,2169.432,2232.308,2236.4854,2233.2434,2226.4612,2255.5344,2269.9448,2233.2883
2214.4773,2215.41,2219.5208,2171.5273,2249.6516,2177.8826,2240.987,2245.0327,2240.221,2232.7434,2261.486,2276.3494,2237.1643
3437.6309,3423.4497,3434.1829,3363.8396,3485.111,3359.7532,3446.0627,3468.204,3453.703,3428.9102,3466.5288,3495.325,3462.6843
3437.6309,3423.4497,3434.1829,3363.8396,3485.111,3359.7532,3446.0627,3468.204,3453.703,3428.9102,3466.5288,3495.325,3462.6843
12052.935,12068.6045,12076.783,11812.329,12243.931,11870.653,12207.568,12215.597,12200.888,12163.694,12323.846,12399.993,12166.215
4518.479,4525.5073,4530.9346,4433.232,4595.309,4454.4995,4587.8574,4591.5107,4585.9937,4576.1323,4639.1025,4666.5024,4577.663
3022.2915,3021.582,3037.9666,2982.6013,3080.2622,2992.6362,3071.495,3115.721,3072.3374,3078.4856,3105.271,3128.2913,3118.5737
4533.642,4533.254,4540.027,4444.306,4610.816,4480.103,4594.26,4608.371,4593.0156,4593.1426,4648.1733,4677.89,4604.009
2104.4436,2107.9026,2122.433,2079.3203,2153.8447,2084.7744,2148.7385,2149.6987,2141.5488,2141.356,2176.0652,2190.557,2148.1482
3628.022,3620.8313,3624.6619,3556.8276,3688.6619,3569.5447,3649.0496,3682.2559,3682.817,3675.9802,3704.0989,3730.8015,3708.3416
829.0387,829.03485,831.799,813.9916,843.38947,819.0101,841.18427,843.45,841.348,840.0983,850.673,855.9145,844.67865
6635.1787,6623.222,6662.0845,6528.12,6758.2456,6547.853,6723.465,6794.832,6730.2827,6719.448,6790.2363,6840.877,6798.8677
1029.0654,1026.245,1028.6248,1006.1396,1043.1354,1010.4811,1038.5985,1038.0308,1038.4689,1035.8121,1050.4694,1058.1228,1039.4105
3000.332,3006.982,3018.4702,2947.9006,3059.465,2966.4138,3054.2559,3059.0422,3050.3704,3053.3682,3096.346,3114.0552,3055.463
2329.3552,2336.5132,2322.6873,2267.002,2375.5215,2309.7983,2379.242,2378.4968,2378.0315,2373.0981,2423.7063,2430.998,2377.8896
3449.2195,3422.8403,3422.3284,3389.8943,3515.217,3393.1963,3427.8872,3485.1523,3447.955,3449.735,3452.044,3481.8896,3478.8755
677.45386,676.1095,674.6,661.49567,686.66156,664.749,683.50037,689.1307,688.0201,684.64514,691.9585,696.3541,690.3566
3768.1814,3768.2065,3771.2266,3696.0042,3828.0708,3708.5757,3801.9849,3823.1616,3820.9702,3810.0237,3849.8884,3877.8125,3823.8662
778.0181,772.7512,774.14075,759.9179,792.3132,769.7423,787.0077,786.8133,786.1,786.5225,796.7644,802.39856,792.4979
3941.3967,3931.082,3960.8557,3872.6118,4008.5378,3890.6523,3999.4426,3992.0645,3988.747,3990.6863,4041.0427,4072.7847,3984.527
1587.5785,1586.8085,1585.7068,1550.9703,1608.7563,1568.9396,1607.3191,1602.4589,1602.508,1604.2902,1620.691,1632.6194,1600.8861
1138.2117,1137.1986,1137.1316,1114.6359,1153.8676,1120.1057,1150.0349,1149.7407,1149.5182,1146.2532,1157.5668,1166.591,1143.0394
1164.2052,1166.223,1165.6345,1143.0087,1182.4043,1150.6726,1183.237,1184.332,1179.8496,1181.2648,1193.6642,1201.3827,1177.6238
16126.422,16143.563,16013.06,15682.441,16367.534,15907.37,16226.614,16213.245,16234.187,16118.5,16260.264,16381.052,16073.531
2912.742,2917.4348,2919.3596,2856.0117,2960.6157,2868.9348,2952.7458,2955.2468,2950.182,2941.2073,2979.512,2998.4485,2940.751
3202.2222,3207.3164,3209.648,3140.2556,3254.8406,3155.6443,3248.5845,3252.3154,3245.7102,3237.7122,3281.6545,3301.5315,3241.0127
5699.0537,5707.6084,5710.846,5585.5146,5790.6255,5610.6772,5772.4116,5774.749,5768.235,5747.521,5823.1665,5859.892,5744.7817
5693.5396,5702.048,5705.35,5580.1465,5784.9736,5605.209,5766.846,5769.192,5762.6484,5741.982,5817.6147,5854.296,5739.345
