V1,V2,V3,V4,V5,V6
7274.285,7439.9004,7439.5303,7654.5537,7769.6255,7993.168
1683.4885,1742.6721,1784.915,1869.214,1923.9529,2000.8486
8549.11,8827.492,8930.253,9240.354,9447.621,9741.308
9865.484,10180.824,10293.699,10657.455,10898.195,11232.93
7050.24,7317.7197,7449.8228,7718.9785,7917.1343,8174.074
4172.3813,4311.2886,4384.4014,4539.056,4635.7563,4774.564
3827.2593,3942.1719,4001.1655,4136.156,4211.8496,4330.848
2420.0413,2472.5393,2472.289,2542.8557,2573.038,2639.013
2326.523,2385.9048,2397.685,2470.9524,2509.2166,2578.216
2374.498,2429.6846,2438.6501,2508.95,2539.4607,2605.6208
1505.555,1542.8416,1549.4429,1596.6206,1620.9937,1665.3639
2012.0104,2073.0842,2094.6416,2164.6,2207.0994,2271.297
4726.646,4923.703,5015.892,5234.04,5405.632,5604.2
5130.8257,5302.7197,5364.5605,5564.6885,5698.7324,5879.7
5475.1895,5675.8286,5767.134,5997.4956,6155.235,6360.383
2564.1187,2656.994,2683.6272,2783.3787,2858.5952,2956.4758
3868.7192,4002.8555,4048.275,4193.4556,4291.3315,4422.5483
3189.9973,3295.4072,3323.6768,3440.7026,3520.8198,3632.1736
3232.103,3365.5928,3469.1936,3598.4702,3690.438,3825.2744
6594.7676,6783.129,6852.571,7087.7427,7234.8223,7463.283
9689.98,10006.562,10184.916,10569.473,10840.854,11203.203
4695.9053,4826.388,4902.019,5059.7773,5145.4253,5291.269
10340.151,10564.679,10646.338,10965.981,11111.098,11420.172
9562.633,9783.381,9879.819,10183.17,10312.003,10573.425
2489.8152,2559.6365,2593.6123,2679.3926,2729.8997,2810.1423
7896.75,8120.301,8261.477,8553.09,8720.855,8984.656
1877.518,1930.991,1960.4647,2027.4434,2066.0115,2126.129
1833.063,1884.6753,1912.9832,1977.8503,2014.1453,2074.335
4291.5435,4399.7314,4428.6436,4567.713,4637.2104,4763.1514
4527.7246,4661.581,4705.4683,4858.76,4947.0806,5085.2393
3831.418,3904.8906,3898.6985,3991.8516,4014.821,4108.588
5497.1113,5640.715,5676.3633,5853.206,5945.6133,6111.0947
1280.6503,1314.0603,1320.72,1360.2965,1381.0797,1417.5815
1712.519,1755.9941,1764.2222,1816.0977,1841.734,1889.9036
3447.2688,3543.0098,3573.0283,3688.8186,3753.1477,3857.984
1180.3444,1209.842,1215.661,1252.1085,1270.4819,1304.7385
4064.6465,4175.701,4212.2974,4349.1875,4424.011,4548.3193
441.67334,88.220215,-516.99414,-902.10205,-1184.1729,-1304.648
3776.5544,3866.402,3868.147,3946.5876,3987.9854,4086.4631
4768.0083,4936.3364,5003.7485,5187.2007,5329.6226,5511.3735
14722.275,15170.149,15290.528,15788.471,16134.054,16639.318
5790.7324,6041.993,6194.9473,6453.862,6661.3877,6905.6797
2917.2993,3040.0303,3108.988,3237.8716,3340.5637,3459.603
10216.673,10576.089,10724.199,11105.29,11385.823,11756.41
10190.411,10530.254,10660.521,11036.369,11301.44,11666.805
6384.738,6675.915,6850.7344,7134.028,7373.413,7649.9775
6393.1255,6684.614,6859.581,7143.205,7382.803,7659.548
6729.9917,6891.0864,6888.095,7122.192,7253.5386,7472.8184
2524.0808,2590.3586,2601.5447,2681.7302,2725.9302,2803.0537
18678.547,19181.646,19278.797,19883.67,20223.451,20803.557
8230.912,8452.741,8492.054,8760.056,8906.198,9155.933
17620.74,18431.25,18974.766,19804.832,20479.047,21235.512
19973.387,21093.053,22092.299,23282.984,24299.5,25355.252
8831.557,9330.446,9720.387,10247.274,10730.053,11201.457
2714.434,2860.058,2971.3645,3123.0947,3257.4956,3393.1973
11964.465,12647.607,13199.103,13878.288,14487.229,15102.586
2107.6826,2200.8809,2258.5093,2352.6716,2429.3547,2517.1836
10170.252,10572.038,10737.61,11148.137,11464.099,11869.434
10129.558,10412.577,10488.678,10834.973,11051.758,11399.568
10181.78,10520.224,10652.469,11038.792,11310.574,11685.08
10145.127,10487.559,10657.437,11095.319,11440.194,11932.743
10130.383,10620.418,10879.928,11522.143,12143.276,12689.713
10270.396,10739.594,11023.286,11501.539,11965.109,12458.714
13463.1045,13944.855,14203.691,14782.668,15221.389,15777.569
10734.918,11205.91,11551.232,12135.609,12654.654,13223.266
10292.49,10678.981,10883.71,11335.917,11675.08,12091.238
10046.079,10313.995,10345.471,10655.42,10851.17,11172.921
9978.41,10220.5,10215.852,10500.555,10673.336,10986.221
10173.989,10512.225,10625.063,10984.259,11226.311,11558.353
10024.19,10256.166,10286.097,10629.9795,10834.268,11195.16
9984.089,10327.163,10467.207,10952.158,11307.885,11742.106
10290.303,10668.932,10846.264,11232.381,11512.638,11886.198
10175.142,10448.825,10481.734,10757.1875,10860.307,11117.89
10056.946,10235.449,10153.723,10285.367,10226.903,10393.892
10059.762,10265.976,10232.019,10483.913,10563.5205,10786.1455
10121.894,10386.602,10433.91,10751.754,10905.369,11184.762
10235.056,10600.52,10777.157,11194.438,11492.343,11877.509
9883.044,10267.511,10449.657,10866.959,11210.166,11611.621
4394.4097,4371.637,4142.1694,4055.44,3946.7866,3943.1206
3189.5017,2849.2527,2284.8987,1859.8,1221.1016,932.0171
4482.7295,4658.7656,4747.49,4924.371,5062.4116,5232.4375
10548.323,10920.981,11066.942,11595.252,12135.388,12740.808
9561.804,9941.377,10131.052,10539.09,10878.111,11271.929
3751.015,3840.5828,3850.0447,3973.6377,4040.491,4157.4604
1589.5663,1635.7103,1650.8948,1707.6422,1740.6084,1784.5039
2564.6875,2684.0334,2730.9578,2854.2139,2943.6614,3038.741
10198.436,10451.931,10527.32,11103.693,11447.048,11909.819
9453.673,9371.6875,9037.858,9009.282,8787.987,8821.096
553.00696,551.5166,496.17035,517.8681,561.99207,546.1662
6331.2695,6318.667,6220.7876,6310.2803,6249.671,6303.483
8060.5054,8296.377,8384.991,8702.548,8896.038,9176.926
1536.7676,1539.8257,1498.0286,1608.1998,1670.8206,1744.044
8071.289,8255.511,8254.111,8508.937,8637.57,8881.376
6694.248,6833.2188,6816.299,7002.8174,7087.1553,7270.629
6512.0625,6650.331,6649.5815,6859.2617,6955.8594,7148.1016
7403.049,7588.7446,7622.2734,7845.9893,7972.356,8212.865
6442.4585,6599.0596,6611.2524,6812.4766,6926.4893,7120.17
8772.476,8946.612,8914.639,9144.397,9240.469,9462.218
8169.322,8377.63,8402.369,8653.472,8803.279,9058.8545
8301.02,8386.051,8264.215,8392.202,8356.657,8504.554
1598.5515,1622.5162,1631.8545,1696.0433,1730.709,1798.5172
8942.923,9173.212,9199.571,9526.996,9740.548,10029.743
3688.649,3808.0815,3865.702,4010.5269,4108.1377,4260.295
1807.7927,1853.5768,1863.0739,1898.8947,1915.485,1976.7065
2063.3079,2104.379,2095.0667,2150.0574,2177.3826,2234.289
2150.4717,2214.6855,2231.0159,2305.764,2365.827,2442.3691
3052.3643,3085.7168,3051.4417,3111.612,3104.5112,3178.949
1169.0364,1160.116,1108.8441,1126.3148,1110.4099,1105.5269
2527.5789,2569.2612,2549.4539,2611.0862,2647.9597,2706.8208
1998.0245,2031.3552,2007.8817,2042.8005,2044.39,2080.1938
2660.044,2669.973,2613.4668,2610.691,2556.51,2590.454
1251.796,1259.5905,1240.9666,1274.327,1276.352,1293.0598
1827.4974,1859.505,1848.3282,1899.6539,1916.2053,1960.745
1888.9795,1917.2538,1894.2249,1948.1733,1963.3271,2003.0964
1632.0549,1663.0098,1660.7003,1704.0278,1725.4131,1774.5178
2165.7876,2205.983,2193.8628,2264.4792,2295.4739,2354.5845
2156.5315,2139.743,2098.6443,2095.0232,2058.9043,2134.018
1823.5226,1814.947,1761.6077,1756.6703,1686.4125,1691.4734
2498.614,2527.8972,2501.878,2542.3938,2536.6082,2588.928
2008.0896,2005.7883,1958.3033,1943.5232,1879.7596,1876.4979
3858.9878,3870.906,3848.4006,3942.0508,3936.1233,4039.4214
2284.0645,2316.0525,2306.725,2375.1533,2387.1702,2445.5164
2390.5742,2457.9636,2481.6536,2559.664,2608.2974,2687.8135
2514.952,2563.6055,2584.1567,2649.553,2682.5476,2761.711
7990.77,8138.081,8106.1196,8332.534,8419.284,8642.587
4268.66,4396.8687,4417.5845,4615.5684,4755.9497,4895.2666
7009.005,7147.735,7128.9077,7324.625,7413.555,7613.425
9562.58,9813.428,9866.889,10183.836,10369.8125,10680.828
