V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
622.26385,576.1474,538.99786,511.60706,494.3696,486.3077,485.5448,490.77954,504.91168,532.4131,573.6595,623.43915,675.43787,722.78827,758.99493,779.92035,787.53784,788.0639,784.1415,775.7527,760.29205,736.7106,702.30115,657.08435,606.6977,559.4675,521.76904,494.5011,478.1836,471.90686,473.76294,482.31628,500.2608,531.84235,577.2473,631.1509,687.2221,738.6553,779.06396,804.4119,816.7172,822.15204,823.2156,819.6656,808.63135,788.8069,757.28296,713.9658
2939.0522,2752.2012,2574.7676,2419.2358,2294.206,2213.4463,2184.8127,2207.5674,2276.6433,2384.3965,2525.1924,2691.3416,2865.699,3032.417,3185.1711,3315.5498,3411.6785,3471.6306,3500.0725,3494.5293,3448.6921,3363.0894,3242.6873,3090.0842,2909.6733,2716.3823,2533.1758,2378.227,2260.4873,2189.609,2177.6458,2225.0251,2320.4326,2457.2114,2631.2878,2827.8713,3028.2363,3219.352,3389.3281,3527.175,3625.9058,3681.3862,3695.737,3672.899,3607.8167,3498.239,3355.111,3184.336
1400.695,1327.9215,1250.7804,1170.8759,1096.7617,1038.7117,997.7579,982.0485,984.67053,1005.7355,1037.2141,1074.186,1110.3121,1140.5349,1165.7074,1182.3446,1199.3372,1213.1919,1229.3536,1246.1863,1260.5662,1272.0367,1274.2886,1264.7212,1240.6934,1203.431,1156.5853,1108.3878,1064.1117,1033.2878,1018.37463,1024.5547,1050.4836,1090.3019,1141.5076,1190.3961,1236.6602,1273.1483,1298.2173,1316.3068,1324.0858,1330.7205,1334.2874,1339.7122,1342.8018,1341.2656,1331.4772,1307.1868
5249.463,5010.4575,4737.774,4461.0586,4204.019,3984.8428,3816.913,3708.9285,3665.5034,3684.662,3756.8628,3871.045,4023.2007,4215.543,4442.6826,4686.3477,4930.9546,5171.5195,5398.8213,5589.6504,5716.761,5763.3286,5728.028,5616.689,5434.268,5192.917,4919.4375,4645.26,4395.9414,4190.9434,4044.0725,3963.4487,3952.1562,4005.873,4112.145,4256.742,4432.586,4639.2383,4869.403,5103.8525,5327.1294,5535.4785,5721.894,5866.175,5944.577,5943.9424,5866.4087,5720.7285
3428.785,3090.535,2777.715,2504.4587,2293.521,2152.7114,2079.1865,2060.2708,2077.6028,2118.7808,2173.2876,2237.9768,2310.4023,2401.9426,2513.5833,2658.8015,2817.233,2990.3706,3142.4978,3269.5076,3335.1306,3334.8513,3257.9167,3117.6475,2935.4343,2731.5762,2537.3923,2371.4514,2256.4917,2192.3052,2177.4114,2192.838,2235.857,2282.9927,2343.4475,2397.0273,2471.9646,2561.8853,2691.5757,2853.4265,3044.6025,3255.7698,3458.2146,3635.8198,3750.1724,3793.2231,3751.0942,3635.0525
5156.1797,5234.0747,5370.195,5529.21,5671.0938,5781.4414,5869.128,5946.955,6016.4814,6076.1157,6142.2837,6225.844,6316.675,6377.3604,6381.5034,6320.223,6193.899,6002.1587,5754.1436,5485.4307,5240.596,5061.718,4966.727,4962.101,5041.797,5195.5835,5400.3267,5617.485,5810.481,5961.0166,6081.11,6181.271,6264.857,6330.6445,6394.852,6471.323,6547.967,6591.951,6574.234,6490.5493,6339.411,6123.5703,5852.2466,5561.7554,5299.058,5104.6157,5000.355,4989.715
47634.15,45482.133,43085.926,40643.004,38330.906,36266.13,34581.9,33309.594,32546.715,32250.285,32412.24,32942.277,33764.867,34885.664,36185.355,37558.496,38958.812,40357.098,41626.26,42603.55,43293.07,43653.004,43547.406,42991.832,42054.184,40853.797,39411.836,37893.64,36495.926,35288.63,34411.48,33870.625,33758.242,34036.516,34679.664,35628.336,36782.836,38192.016,39715.336,41284.06,42840.6,44368.36,45741.016,46777.24,47493.32,47807.03,47604.676,46861.492
29320.695,27270.793,25520.025,24135.434,23168.957,22669.928,22670.65,23139.652,24022.375,25252.348,26744.174,28444.518,30268.162,32043.568,33587.92,34785.72,35613.02,36029.426,35942.81,35372.477,34461.82,33327.406,31982.586,30417.23,28764.242,27250.088,26023.7,25161.152,24709.83,24707.139,25169.436,26047.816,27270.94,28758.145,30413.994,32180.428,33973.496,35628.9,36976.797,37919.156,38452.656,38558.93,38167.39,37316.57,36165.26,34840.29,33359.508,31711.379
36041.51,34468.195,32943.125,31613.006,30518.066,29723.832,29319.002,29310.34,29678.13,30378.166,31419.697,32804.766,34377.793,36012.453,37636.42,39116.094,40329.11,41155.855,41562.055,41592.473,41203.04,40396.84,39265.242,37873.31,36312.543,34691.93,33170.777,31917.477,30983.746,30434.297,30344.723,30698.05,31443.457,32502.314,33850.75,35463.156,37165.305,38823.21,40368.72,41683.08,42667.2,43229.84,43366.32,43148.46,42553.53,41598.008,40377.76,38953.836
455.72885,440.20587,430.22653,420.79538,412.1287,404.55878,399.1428,402.03925,404.07593,407.08966,411.46985,418.98468,426.6655,431.16116,436.58246,440.47293,445.22742,448.65982,448.03482,449.77933,447.70377,448.94742,443.97934,440.53842,433.43365,430.1015,424.2403,416.85495,410.90424,410.2952,410.06525,412.0106,412.45886,421.7516,427.80923,436.03104,437.33795,444.8272,449.44434,452.30603,452.5236,454.5324,458.3236,460.3356,459.72507,460.0239,457.83286,457.02225
