V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
4903.313,4607.298,4408.875,4302.134,4373.5024,4430.0835,4371.819,4313.9004,4267.88,4308.8027,4556.147,4630.1836,4482.643,4399.5234,4408.8477,4321.207,4280.6133,4242.015
1784.6519,1752.9474,1736.8013,1717.1069,1706.6158,1725.0896,1747.3241,1731.2563,1711.8019,1722.7568,1747.2434,1772.2511,1746.4982,1730.6998,1733.4598,1698.0046,1703.407,1702.0092
13116.504,13164.483,13169.848,13186.671,13217.945,13243.808,13217.515,13230.178,13199.242,13205.348,13188.086,13182.1045,13195.33,13207.871,13222.235,13211.933,13233.214,13233.687
6462.567,6457.3945,6460.096,6455.9873,6466.4014,6477.6567,6473.7603,6470.991,6463.169,6461.312,6468.8936,6472.8726,6474.075,6469.791,6471.044,6475.794,6474.5186,6472.8447
4377.0547,4377.9575,4370.419,4367.706,4368.3574,4358.84,4360.4863,4363.367,4365.8413,4364.5767,4373.741,4372.5166,4371.6953,4376.603,4366.8047,4374.738,4373.1323,4371.568
11635.508,11606.42,11597.773,11597.143,11609.667,11603.434,11598.935,11610.803,11606.77,11610.104,11614.069,11629.206,11629.948,11613.061,11605.101,11601.765,11610.413,11599.239
1236.4707,1233.2346,1229.1407,1229.433,1228.1543,1223.4382,1225.382,1225.4453,1228.2261,1228.8536,1231.5767,1232.9777,1234.2609,1233.3804,1230.1348,1233.0518,1231.2938,1230.7189
1537.6714,1537.4833,1533.371,1533.9697,1535.5706,1531.9408,1533.5574,1536.147,1537.3259,1536.4797,1541.3516,1541.6553,1543.65,1545.267,1544.001,1545.4163,1547.0138,1544.1719
5109.1553,5121.188,5122.21,5108.6416,5103.6562,5080.1484,5086.575,5080.5854,5088.133,5088.8267,5113.282,5113.4067,5117.3184,5125.81,5121.227,5120.54,5104.225,5096.1104
6401.97,6344.15,6260.7964,6220.1494,6213.8896,6218.818,6248.198,6224.595,6201.1816,6213.0205,6203.7305,6220.5513,6229.082,6219.8345,6224.886,6195.019,6206.854,6179.8345
12323.405,12413.82,12448.202,12449.62,12439.544,12417.666,12432.706,12448.678,12441.212,12442.795,12411.187,12333.081,12336.724,12419.26,12450.199,12450.134,12439.508,12417.542
2714.4001,2712.7778,2709.2615,2708.7615,2708.79,2706.7856,2707.0913,2706.4272,2707.946,2705.572,2704.9998,2705.3809,2705.418,2705.6284,2703.2954,2704.1804,2702.9253,2700.8425
2138.0027,2136.8262,2134.8865,2133.9404,2133.5757,2131.9238,2132.0454,2132.7195,2132.7913,2132.3943,2132.0288,2131.5286,2131.5322,2130.7085,2129.5334,2129.9226,2128.7751,2127.4385
5006.9307,5034.858,5047.9604,5047.2676,5040.157,5023.1875,5038.54,5047.9272,5044.621,5034.281,5010.8994,5003.8804,5010.215,5036.259,5048.51,5047.4346,5040.1763,5023.1807
2665.586,2664.8494,2664.268,2664.6372,2664.656,2665.0027,2664.708,2664.5923,2664.9702,2665.5354,2666.3066,2666.0664,2665.5034,2664.3728,2663.8296,2663.9165,2663.8523,2664.441
13861.726,13953.316,13983.68,13990.371,13979.678,13959.094,13974.795,13986.463,13982.958,13993.753,13976.463,13890.31,13882.736,13963.989,13989.266,13993.161,13980.747,13958.978
