V1,V2,V3,V4,V5,V6,V7,V8
6730.286,6822.6753,6780.7065,6822.71,6786.4688,6836.396,6842.6196,6762.7637
6916.059,7047.824,7027.3843,7044.6035,7000.958,7052.1113,7070.378,6996.3115
7149.117,7279.0923,7274.7563,7286.516,7250.638,7289.8677,7313.686,7222.7905
7502.4297,7619.495,7637.49,7625.757,7589.9644,7628.8857,7648.8896,7597.7607
1334.3357,1254.0615,1295.1057,1346.08,1343.705,1298.1134,1315.394,1390.0433
9400.119,9410.619,9448.204,9485.679,9476.141,9490.922,9492.286,9501.322
3360.944,3374.626,3398.4968,3402.7405,3398.795,3409.7107,3413.705,3414.9238
2647.2322,2649.2046,2664.4275,2688.7454,2686.508,2685.839,2688.7263,2692.7886
2547.154,2562.0835,2575.904,2584.0818,2588.619,2589.3447,2595.5322,2596.2622
2619.9214,2633.9565,2652.9377,2657.0596,2660.8323,2662.9426,2667.3013,2674.791
1304.482,1318.1732,1329.0701,1332.9758,1337.4031,1340.5255,1340.9309,1344.6371
3227.748,3246.9216,3249.3052,3305.6042,3302.9155,3251.8801,3270.0195,3304.3384
1852.2205,1853.8055,1874.108,1880.264,1883.7573,1890.4464,1890.3512,1893.9731
11393.437,11437.005,11443.302,11413.601,11403.839,11568.633,11581.727,11357.846
1409.751,1401.2565,1429.6342,1455.5297,1459.5541,1434.2589,1449.0978,1474.086
2108.6438,2113.2039,2138.149,2144.9897,2148.6904,2150.951,2147.0588,2170.7925
2485.4348,2491.266,2508.6294,2510.5872,2522.131,2520.8276,2541.0107,2520.9062
4780.611,4791.356,4832.401,4862.612,4865.053,4860.5195,4822.4263,4906.239
5486.514,5466.87,5514.24,5526.9033,5501.643,5547.83,5553.834,5542.0605
6051.002,6056.835,6083.147,6110.279,6090.248,6087.4644,6101.597,6102.3745
9253.641,9249.694,9280.516,9345.154,9311.735,9318.743,9323.883,9335.607
4955.482,4927.2397,5008.4297,4986.15,4951.4023,4999.2407,5002.089,5037.9653
5833.6807,5828.034,5861.3613,5895.063,5893.634,5886.615,5889.431,5914.4067
2422.7815,2443.7644,2452.726,2466.0613,2465.0847,2463.9229,2480.5137,2470.2026
1510.0155,1528.0659,1538.0922,1545.8895,1547.2542,1544.8435,1559.4236,1555.4404
7669.9697,7568.606,7644.575,7757.9736,7827.5835,7586.0347,7536.0605,7863.014
8928.192,8982.848,8960.843,9068.401,9014.844,8998.913,9112.669,9008.512
4765.514,4829.127,4844.63,4816.062,4871.1475,4886.9517,4876.7183,4860.6978
1999.8282,2021.723,2015.8026,2029.8564,2029.2305,2043.3623,2028.5262,2034.1473
3155.2764,3182.811,3192.8447,3188.5269,3200.657,3212.552,3203.3481,3208.0032
2568.5903,2587.8308,2621.5098,2615.8433,2608.4663,2623.475,2640.7566,2622.0217
4561.5054,4583.505,4585.957,4588.649,4631.454,4628.7905,4592.6294,4604.766
7975.201,8002.929,8029.875,8042.031,8051.503,8068.278,8087.3433,8053.0596
6968.2676,6998.7393,7067.101,7055.603,7055.775,7052.372,7120.9385,7073.1
9725.65,9784.873,9818.904,9839.981,9854.99,9868.694,9909.961,9845.095
8604.064,8712.626,8736.095,8724.734,8734.258,8757.667,8774.563,8738.354
4311.7236,4339.003,4390.022,4368.456,4391.313,4392.039,4411.506,4378.085
6057.1206,6238.571,6195.549,6185.03,6184.585,6196.825,6217.4014,6183.4595
