V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36475.605,36676.13,36645.47,36553.11,36564.95,36502.625,36629.07,36562.09,36593.332,36569.664,36572.113,36554.273,36547.992
3599.2852,3644.231,3620.5996,3616.0278,3619.7764,3617.522,3613.512,3607.05,3628.5247,3618.1414,3618.1716,3607.9937,3617.6567
9677.844,9687.814,9695.383,9673.414,9669.299,9663.656,9690.708,9675.888,9670.234,9662.829,9687.191,9682.644,9670.382
2215.8325,2174.0737,2227.3052,2218.2407,2224.9631,2204.9958,2199.67,2212.9246,2185.1519,2241.5034,2211.2617,2232.4438,2227.5344
1454.0876,1411.2064,1499.992,1484.5894,1489.4166,1488.9073,1509.7007,1462.725,1415.6396,1487.5032,1528.958,1538.5905,1466.6052
496.1685,549.898,512.94037,476.54446,501.46375,512.9236,476.69565,503.41418,497.0435,525.67285,526.2177,475.41547,485.4867
2968.9932,2985.0808,3080.695,3030.0085,3070.873,3026.7131,3074.3901,3028.4475,2885.3254,3093.8198,2997.0193,3107.784,3033.892
2518.1235,2486.4236,2550.337,2540.2979,2545.7078,2518.721,2539.5688,2422.9329,2438.5261,2498.8142,2550.5881,2469.4292,2440.5752
7055.7725,6937.1777,6846.3867,6877.0273,6874.125,6720.155,6856.5156,6769.2734,6775.151,6926.3633,6847.5713,6760.545,6854.9966
5103.953,5089.551,5089.3936,5065.2085,5075.15,5084.2095,5105.067,5094.4907,5098.0054,5091.3965,5077.4873,5089.2676,5092.4893
331.40366,351.17245,338.96915,337.33972,341.16727,339.40384,351.17273,337.00116,340.77243,337.8512,346.15186,338.67294,340.4439
1044.0967,1037.5939,1039.7618,1037.2139,1046.6135,1044.3284,1041.9717,1045.3494,1043.1597,1046.3306,1043.3033,1043.9795,1039.023
2374.912,2336.0698,2351.2283,2359.1816,2371.5894,2366.699,2346.588,2359.904,2347.8708,2350.2717,2366.9375,2381.515,2345.1118
2359.3079,2337.5876,2352.9663,2357.7114,2344.8823,2357.9417,2339.078,2346.6548,2341.5598,2346.9265,2352.7834,2350.286,2361.0544
4735.072,4535.304,4641.5386,4658.7573,4690.8,4604.7554,4658.2,4704.3726,4539.8813,4615.234,4687.8315,4666.3945,4711.607
4735.072,4535.304,4641.5386,4658.7573,4690.8,4604.7554,4658.2,4704.3726,4539.8813,4615.234,4687.8315,4666.3945,4711.607
12049.691,12033.2295,12042.294,12022.843,12031.344,12034.285,12047.173,12043.689,12044.375,12045.111,12038.457,12043.329,12045.31
4350.074,4363.6797,4349.4844,4380.483,4372.065,4360.2427,4336.951,4358.0376,4354.616,4356.6606,4368.507,4358.376,4356.3
2576.461,2751.638,2748.6062,2785.6406,2771.8826,2802.2737,2868.8604,2929.1333,2919.957,2597.1365,2755.6763,2840.0295,3086.277
4044.1038,4156.989,4114.4185,4137.57,4167.764,4174.7524,4251.516,4191.566,4160.869,4186.8384,4237.955,4274.0845,4186.775
1885.547,1887.299,1915.4774,1954.4868,2014.1875,2001.4089,1917.9966,1982.5552,1869.2804,1962.487,1967.6729,2040.0107,1898.8324
3664.4304,3512.7996,3505.69,3587.3455,3667.009,3670.6096,3427.84,3739.0781,3712.919,3699.6504,3600.7556,3551.3823,3605.2659
768.4142,769.6388,776.8199,776.7654,774.1463,774.4165,773.0093,782.4958,779.1292,765.2428,777.8301,784.13696,773.75665
6411.246,6817.9033,6617.5303,6570.212,6556.5234,6769.235,6889.1514,6933.9004,6825.436,6344.2666,6512.5483,6778.9204,6998.8945
1185.4423,1172.8866,1169.8329,1182.8412,1174.2062,1190.9006,1207.2131,1214.4452,1174.4304,1196.7234,1198.459,1188.3959,1204.7167
2753.4866,2784.4521,2753.0774,2806.6965,2843.1924,2798.684,2835.9363,2788.9097,2789.4048,2787.5422,2837.593,2863.2444,2807.8748
1817.6792,1938.1594,1711.0989,1657.8035,1978.5985,1954.4192,1844.058,1871.8043,1691.8604,1763.604,1898.4165,1850.0084,1773.8953
3972.5896,4007.1597,3785.3884,3718.884,3852.1045,3799.2168,3874.3271,3442.9854,3389.261,3414.635,4163.63,3643.889,3982.2
706.9404,715.2321,707.61786,716.4062,709.1721,699.6221,700.09924,705.3147,714.75195,713.3849,709.2435,712.1765,718.4718
3598.455,3578.906,3618.9517,3585.4385,3675.4216,3594.3,3478.2856,3605.5117,3653.5574,3674.1523,3559.323,3643.3213,3501.3699
861.023,859.6061,811.50006,843.64124,862.3455,906.0042,861.5534,840.8596,848.8633,865.52325,878.36676,848.6479,867.25244
3623.0676,3719.6694,3807.1128,3750.403,3688.4346,3711.892,3909.9377,3783.6233,3665.6396,3600.9736,3769.1367,3931.25,3715.1697
1504.1984,1536.5138,1535.9926,1486.9851,1514.4957,1524.505,1556.5812,1528.0287,1519.3121,1542.1279,1532.5331,1526.6334,1494.2091
1241.9727,1236.6099,1257.1567,1235.1909,1258.6812,1262.233,1245.9598,1230.9673,1245.7554,1244.617,1260.9446,1242.918,1228.9196
1078.8326,1079.0461,1080.1315,1096.7484,1096.1337,1088.8843,1112.5813,1069.8785,1062.6613,1069.4604,1120.8088,1078.086,1098.1617
15977.029,15834.199,15197.494,15489.156,15923.677,15997.368,15332.842,15492.037,16058.236,16050.877,15820.358,15316.372,15775.044
2893.432,2899.6245,2903.0354,2896.4817,2897.4758,2900.2576,2898.402,2893.6472,2896.4211,2890.731,2894.8699,2897.4634,2905.1282
3082.4783,3088.3594,3093.4941,3083.2793,3094.259,3090.2756,3079.2744,3086.6108,3089.1042,3081.932,3085.74,3083.9434,3091.5457
5819.4243,5811.8403,5810.6,5818.9194,5815.6074,5814.4565,5815.0117,5811.0474,5804.952,5813.8027,5816.0806,5812.8247,5814.3965
5817.2944,5806.9663,5813.5303,5814.419,5813.637,5815.606,5803.649,5812.142,5803.0547,5808.7456,5816.236,5810.268,5811.849
6204.806,6194.4062,6188.615,6196.4463,6199.9375,6192.088,6189.3174,6192.2744,6196.5693,6196.0596,6193.7666,6196.3984,6196.604
6220.88,6215.236,6204.508,6214.829,6218.4478,6202.68,6207.7686,6212.4673,6217.4414,6212.2397,6204.8877,6214.3354,6223.828
6207.4287,6202.5957,6195.4673,6203.017,6205.688,6198.4497,6195.889,6201.9204,6201.4775,6198.683,6199.0444,6203.535,6209.838
5810.8716,5802.708,5804.1885,5811.79,5807.523,5809.6094,5801.817,5801.473,5801.5337,5805.4844,5804.173,5805.5625,5811.2075
2909.9956,2914.1362,2910.2722,2918.0989,2906.0156,2895.4297,2906.9297,2900.6428,2894.4158,2917.7795,2890.681,2899.5994,2912.4434
3336.0635,3322.71,3314.9949,3328.9143,3344.3098,3325.3484,3315.2114,3325.743,3309.2954,3329.2952,3315.818,3321.4604,3308.0405
