V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2029.4717,2032.7911,2030.0596,2030.0873,2028.9568,2026.5894,2024.8689,2029.3787,2028.4005,2022.9482,2024.8295,2022.1083,2020.1556,2016.1482
2944.4954,2948.736,2957.504,2955.1995,2956.9453,2951.461,2954.4124,2956.9583,2958.293,2955.1191,2960.2239,2963.4392,2962.6165,2980.1465
1099.0045,1099.8043,1101.7367,1104.3619,1105.1536,1098.3768,1092.9302,1100.2913,1101.2072,1095.2985,1099.303,1100.8315,1098.3573,1105.1123
1198.4489,1195.7708,1195.8092,1199.1787,1198.8054,1192.8228,1192.72,1210.5403,1219.3076,1211.5682,1218.0956,1229.6964,1229.2407,1283.1549
5860.3037,5865.453,5863.1655,5854.6157,5857.5522,5862.43,5855.824,5855.124,5861.832,5854.45,5848.924,5842.2417,5843.5806,5872.758
3089.798,3085.8826,3081.7527,3069.3975,3076.1794,3068.198,3066.0874,3060.9602,3073.0073,3074.3486,3081.7668,3085.5115,3111.0671,3074.482
5162.3667,5335.345,5365.2236,5496.211,5468.726,5556.9434,5655.9683,5628.999,5503.2983,5269.5903,5222.123,5224.8286,5086.5854,4813.704
1737.606,1737.4677,1734.9976,1736.9247,1736.0494,1732.6396,1729.2115,1736.3276,1736.3469,1729.0438,1728.7742,1730.4812,1727.1685,1727.3901
1590.5125,1590.3948,1587.9408,1589.8005,1588.7683,1585.2758,1582.0541,1589.0724,1589.1091,1581.952,1581.8616,1583.6863,1580.493,1580.003
2630.0432,2633.2783,2631.3352,2631.0222,2628.7,2635.5486,2629.5264,2630.0024,2631.9202,2625.9216,2623.461,2621.2498,2619.3608,2639.1826
2455.9355,2456.04,2453.5613,2452.1128,2457.0833,2458.202,2454.842,2458.0054,2457.4246,2452.4377,2451.2126,2451.2427,2453.238,2460.6265
3659.4358,3666.9492,3664.0093,3667.838,3670.794,3672.8926,3670.5403,3675.4802,3672.9062,3663.517,3663.2905,3660.7407,3650.9875,3660.8984
7225.0425,7227.721,7223.8984,7201.8794,7207.415,7204.688,7192.896,7180.6685,7180.5977,7177.313,7165.1943,7148.7383,7134.586,7280.2104
5631.9707,5638.19,5650.2983,5657.262,5663.6274,5658.143,5652.953,5651.0205,5652.6265,5642.7554,5637.704,5637.512,5637.733,5664.573
7917.755,7969.143,7921.347,7967.5996,8007.9224,8010.9653,8046.495,8066.9756,8058.9985,7958.455,7925.0967,7876.3306,7694.799,7668.1743
3090.8264,3088.1106,3088.1814,3084.3967,3085.932,3084.631,3084.4456,3073.4614,3074.872,3076.7693,3073.2607,3073.5464,3078.717,3082.9922
4015.605,4016.1133,4017.3193,4014.4873,4016.1548,4019.2554,4017.2556,4017.5215,4018.6702,4012.1355,4011.4277,4005.9434,3998.2253,4027.897
9574.604,9568.65,9556.351,9564.618,9585.077,9581.521,9571.845,9594.65,9604.734,9611.852,9609.408,9607.601,9590.582,9580.275
2671.7659,2666.824,2667.5503,2653.627,2653.297,2650.7024,2647.0015,2647.0083,2655.3145,2656.6392,2656.335,2651.9968,2645.9302,2685.5342
10831.328,10834.98,10836.791,10847.435,10861.038,10868.387,10870.714,10865.924,10867.626,10877.144,10875.906,10873.837,10873.627,10839.418
2660.0156,2655.0535,2655.7344,2641.8289,2641.5562,2638.9338,2635.235,2635.2893,2643.5776,2644.9045,2644.5667,2640.2542,2634.168,2673.5798
2842.4197,2834.1506,2837.4048,2832.5278,2830.9675,2823.2075,2817.701,2821.369,2825.4734,2822.675,2822.5054,2824.2832,2820.004,2852.8472
1934.8947,1928.1364,1929.9714,1926.7418,1921.4681,1916.4353,1913.1714,1915.2017,1912.3779,1913.4241,1914.058,1915.0391,1912.0469,1933.4878
2535.5256,2528.0999,2531.2322,2527.1248,2525.6523,2518.3728,2512.9941,2516.5168,2520.269,2517.756,2517.8723,2519.918,2516.6555,2545.8828
1599.8992,1594.1753,1595.9338,1594.8037,1591.1213,1586.6735,1582.4191,1585.122,1581.63,1582.0858,1582.8328,1584.0193,1580.4574,1597.7822
2354.516,2347.6584,2350.1262,2347.1309,2346.6213,2339.2083,2333.6562,2337.952,2341.361,2338.4285,2338.5464,2340.5989,2336.419,2362.8213
1725.796,1719.9153,1721.9595,1719.6925,1714.9142,1710.353,1707.1227,1708.7928,1705.7095,1706.7601,1707.3973,1708.3912,1705.7119,1724.7222
