V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
622.9271,588.76746,548.76855,526.38727,505.34976,476.77264,465.65488,467.39075,482.78528,512.8593,545.68463,598.40985,660.8214,713.31396,765.00275,795.4028,816.84564,819.1162,826.86554,822.6322,799.83044,761.5274,723.51215,673.3406,630.20856,583.9644,537.9796,497.28632,474.4521,451.08548,448.38306,465.59738,487.5899,510.94766,567.3171,663.5453,683.3776,707.3685,734.0448,752.7189,768.7615,778.2308,783.13837,784.65063,777.14435,765.3693,770.2978,658.813
2848.0525,2694.8823,2495.646,2392.511,2279.8293,2123.8467,2062.7332,2068.8284,2130.8015,2257.0847,2376.3887,2576.4458,2814.0315,3014.1338,3235.6501,3382.5417,3516.3997,3575.0383,3645.577,3668.921,3604.769,3455.1184,3311.4558,3088.0833,2887.8767,2680.9238,2471.5938,2272.8457,2145.8154,2022.9802,1987.4847,2038.9475,2117.802,2206.048,2425.8762,2818.7566,2918.5466,3037.0742,3169.6997,3269.323,3358.399,3417.6736,3460.7617,3484.1128,3464.7207,3427.871,3457.9382,3047.4736
1175.1284,1145.1222,1078.2565,1029.491,970.913,906.59143,866.6518,852.5575,864.3687,892.14655,922.56903,977.7953,1041.8433,1101.3892,1168.3086,1202.4161,1238.1542,1260.2242,1284.0831,1302.9904,1306.036,1288.8491,1277.8884,1235.7997,1192.5504,1133.4244,1075.7213,1020.1023,975.6338,921.79596,888.825,883.7554,885.1648,897.11346,945.4272,1032.9308,1064.8479,1102.4554,1149.9093,1191.3326,1226.8601,1254.1166,1281.3441,1301.7582,1305.0505,1301.1825,1312.2986,1210.9445
5316.6426,5177.245,4888.609,4700.905,4440.202,4144.719,3932.1094,3797.6355,3734.1306,3780.9868,3811.846,3916.9253,4103.639,4306.4185,4551.444,4763.1143,4978.2837,5144.7334,5370.0923,5533.425,5633.499,5638.488,5676.629,5530.1455,5309.162,5064.9136,4817.4067,4523.2236,4305.155,4049.8838,3846.899,3773.7832,3726.8723,3713.5515,3802.2266,4065.622,4232.382,4425.6665,4664.6895,4898.3154,5096.6377,5259.988,5434.1533,5570.1226,5638.727,5659.232,5731.522,5650.3574
3064.7039,2890.0142,2569.8203,2365.2446,2124.6887,1840.5953,1659.9384,1578.3376,1536.6515,1568.0798,1563.595,1668.9402,1828.6176,1989.2452,2215.6252,2424.702,2661.7573,2851.6838,3076.8423,3239.3052,3333.756,3325.7236,3362.0105,3212.8757,3007.03,2776.2705,2532.7766,2256.0317,2039.7156,1805.5068,1623.4092,1553.7754,1495.2944,1465.523,1553.3077,1792.5607,1947.9934,2127.4197,2351.8435,2576.2664,2761.3933,2909.399,3078.6096,3209.5034,3273.139,3304.3376,3378.4958,3187.7258
5146.64,5135.878,5313.24,5441.867,5664.0693,5907.464,6119.555,6306.669,6556.8633,6754.364,6934.797,7102.9673,7128.401,7030.161,6984.6104,6881.044,6702.2236,6472.465,6178.229,5924.409,5657.951,5432.2637,5169.4146,5099.441,5148.664,5180.6245,5267.823,5451.623,5629.5635,5892.6885,6199.6533,6417.7627,6624.2373,6763.0605,6932.636,7120.605,6996.851,6860.94,6674.012,6438.447,6249.549,6080.064,5866.293,5690.4272,5552.7285,5452.9614,5373.1187,5188.678
43616.02,42268.582,39504.312,37606.723,35098.4,32264.809,30046.9,28660.06,27967.01,28192.334,28263.1,29225.656,30837.123,32599.762,34954.61,36973.043,38993.484,40580.707,42530.492,43949.62,44922.57,45042.99,45658.96,44575.453,43000.527,40938.703,38790.812,36261.344,34265.746,31849.555,29837.283,28997.967,28225.973,27814.951,28495.242,30601.412,32014.705,33668.395,35839.188,37992.0,39729.16,41187.52,42909.4,44255.707,44965.88,45295.824,46010.23,44917.293
27275.906,26101.695,24817.627,24065.201,23584.492,22908.14,23056.066,23653.564,24724.57,26057.045,27293.395,29460.4,31686.46,33210.082,34822.6,35634.863,36378.914,36394.742,36220.86,35851.664,34714.957,32888.12,31115.523,29167.127,27748.795,26194.41,24671.252,23482.5,22781.047,22363.781,22803.932,23726.361,24841.504,25899.826,28146.904,31712.066,32228.318,32863.703,33501.094,33784.34,34076.84,34135.16,33994.93,33794.805,33342.348,32875.492,32971.1,28542.24
35464.75,34135.566,32376.123,31460.352,30466.395,29099.168,28518.145,28517.443,29060.488,30091.928,31082.006,32794.516,34849.53,36686.938,38705.113,40013.043,41152.09,41618.727,42142.52,42294.73,41701.55,40374.547,39171.67,37302.28,35704.676,33970.133,32203.572,30532.184,29449.904,28394.158,28074.201,28486.88,29091.734,29784.906,31645.686,35002.34,35843.68,36855.984,38009.465,38869.402,39631.484,40152.016,40546.67,40783.535,40643.254,40364.42,40656.793,36841.51
432.2502,425.81427,414.75827,408.01364,400.642,391.893,385.9983,383.5178,383.86337,386.5162,389.4276,396.30206,405.20773,413.61554,422.83185,428.66742,434.90103,439.04147,444.0232,447.5523,448.9995,447.5137,446.16626,439.61072,432.5619,423.75244,415.46536,406.83853,399.84177,392.106,386.89682,385.48328,385.17477,386.43793,392.57898,403.9764,409.29416,414.92813,422.2566,429.3132,435.2504,439.60666,444.07977,447.20612,447.50125,446.86017,447.79022,435.2958
