V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
6884.5376,6718.815,6298.5767,6127.6606,6086.6895,6037.51,6091.96,5807.076,5767.2275,5822.5557,6016.6196,6423.777,6718.7583,6439.726,6175.9404,6028.6714,6023.0454,5821.3594
2342.143,2233.7666,2226.097,1995.4513,1929.1202,1997.6226,2101.3345,2096.7268,2002.0934,1912.3119,1974.1846,2268.8223,2305.4307,2145.5125,2139.3894,2000.0927,1884.0693,2013.9088
13260.361,13312.209,13412.088,13261.235,13296.246,13358.58,13499.626,13520.129,13460.132,13519.272,13455.972,13293.612,13302.246,13446.288,13425.523,13328.014,13409.358,13325.211
6518.904,6474.8164,6467.409,6489.3516,6500.3535,6485.502,6477.901,6449.1416,6414.3633,6433.6636,6445.6143,6448.1763,6457.1973,6417.573,6402.343,6413.621,6417.9883,6513.8765
4276.0815,4309.7007,4289.637,4291.222,4317.8906,4301.369,4276.7324,4277.025,4304.4463,4257.74,4253.8765,4290.7954,4273.913,4280.3286,4273.0225,4292.502,4296.373,4332.838
11329.743,11381.863,11388.532,11425.907,11417.87,11391.437,11351.941,11296.744,11281.294,11224.015,11151.745,11322.136,11372.757,11462.743,11432.177,11463.452,11472.568,11522.732
1082.8539,1096.161,1088.822,1088.8654,1093.6057,1079.5072,1059.7698,1058.343,1068.3442,1047.7069,1049.1509,1071.719,1072.2723,1078.6632,1079.3123,1085.287,1082.6833,1118.6481
1329.4982,1348.7516,1339.4065,1336.7766,1351.6603,1338.8336,1315.2522,1327.5409,1344.186,1307.4977,1308.4347,1334.366,1331.6444,1340.4551,1340.0542,1344.9736,1353.5571,1386.457
5278.563,5365.236,5346.469,5310.904,5287.765,5218.3135,5157.986,5092.518,5069.2734,4951.432,5080.1455,5171.9517,5303.794,5321.0356,5315.7295,5327.5947,5289.6226,5193.76
6706.5317,6704.027,6702.6416,6685.8066,6673.2236,6592.562,6582.631,6587.4727,6569.4395,6557.5576,6615.919,6614.4688,6619.4746,6645.837,6594.7266,6599.941,6611.7427,6703.3716
12206.234,12273.444,12474.109,12696.68,12797.416,12752.282,12699.14,12786.3125,12834.638,12887.207,12849.1045,12556.619,12332.593,12329.277,12553.101,12763.298,12815.313,12696.602
2763.871,2763.7244,2755.8062,2758.4736,2753.704,2758.7146,2743.4788,2746.0044,2748.1956,2753.328,2754.3054,2762.4202,2762.5635,2763.2212,2760.6006,2764.31,2761.2747,2778.0288
2172.1936,2172.5579,2165.5967,2166.7693,2160.2522,2156.9453,2149.809,2152.4473,2154.1978,2154.4058,2159.813,2167.3708,2171.9849,2169.9287,2167.774,2169.469,2165.4978,2181.2507
4806.9805,4821.649,4959.2163,5076.819,5125.2104,5039.529,5005.613,5128.7026,5166.8755,5230.568,5064.475,4864.298,4832.218,4809.4507,5043.5073,5103.735,5126.913,5029.209
2699.794,2698.5225,2687.8025,2691.142,2687.0789,2686.7786,2684.5388,2688.7178,2691.3193,2692.9714,2703.2588,2709.1204,2711.0664,2708.815,2704.273,2705.3904,2703.6726,2717.9058
13907.187,13957.286,14124.857,14305.417,14399.712,14357.609,14286.371,14349.304,14396.207,14457.314,14499.091,14287.095,14017.033,13998.6,14159.28,14369.175,14420.7,14294.164
7455.6797,7537.0557,7729.894,7970.346,8080.836,8059.2573,8017.8633,8082.015,8119.797,8159.358,8139.3765,7842.2793,7607.353,7598.8325,7805.8906,8039.7383,8093.5796,8008.936
6497.097,6476.1978,6344.743,6316.1533,6303.219,6265.809,6233.878,6239.3906,6260.0625,6267.8735,6360.144,6472.705,6503.8994,6475.252,6385.2666,6354.9424,6340.184,6342.582
3253.434,3176.286,3368.906,3053.89,2692.5928,2525.8772,2350.9968,2552.4014,2509.6887,2561.4558,2702.6995,3073.0996,3140.8513,3072.9114,3177.2063,2986.3784,2782.0237,2356.3987
3623.2627,3507.5518,3598.84,3540.6226,3674.5332,3677.788,3825.2908,4173.9395,3481.5164,3550.9216,3538.4636,3684.3972,3665.06,3577.2288,3557.5745,3576.584,3715.9475,3591.5227
1676.7362,1696.1926,1766.438,1489.1288,1327.4243,1181.9905,1217.938,1265.0923,1185.7172,1213.527,1305.7153,1552.9353,1642.3142,1669.6438,1736.0947,1526.2563,1390.734,1179.73
1289.0605,1195.4233,1209.5282,1080.8129,915.86804,945.8428,1019.8725,954.36676,723.1308,737.6192,818.09186,1069.9833,1221.9135,1102.22,1093.8372,1034.3915,929.3935,888.34863
7306.2036,7376.3706,6806.927,6048.6577,5914.235,6003.6,6484.961,6602.3735,5775.4355,5899.3604,6028.707,6849.028,7092.9434,6930.5557,6603.752,6273.974,6209.4307,5924.347
11759.13,11764.946,11820.093,11810.548,11850.164,11912.491,11910.226,11923.167,11928.613,11947.4795,12012.001,11979.77,11916.835,11996.152,12009.825,11969.052,12008.818,11849.1045
