V1,V2,V3,V4,V5,V6,V7,V8
6860.348,6766.638,6809.0356,6841.1016,6856.095,6800.115,6829.247,6846.5728
7060.945,7012.331,7036.645,7063.617,7063.6245,7053.687,7058.1475,7085.705
7188.7886,7182.677,7223.6924,7225.3174,7249.7964,7241.865,7254.062,7263.1597
7727.83,7705.756,7687.0396,7690.3784,7726.2495,7719.75,7692.869,7677.6807
1046.1548,1045.5455,1238.2086,1299.3488,1108.8264,1058.3966,1296.8044,1421.7327
9840.384,9814.294,9884.897,9919.899,9929.142,9912.987,9934.542,9984.492
3367.295,3377.7888,3369.0176,3395.2595,3427.6338,3425.132,3398.7788,3454.7466
2615.7935,2621.0942,2631.7842,2660.0935,2671.863,2670.988,2693.989,2707.5974
2498.4517,2504.0674,2505.717,2528.848,2530.4717,2528.1997,2531.3572,2574.5715
2559.914,2561.6318,2571.0225,2578.6367,2578.8057,2575.5532,2586.9246,2601.6946
1161.8671,1164.6132,1167.6449,1172.5635,1182.464,1183.5685,1181.7424,1177.5305
3362.304,3115.6733,3367.2341,3393.5415,3375.668,3086.1606,3419.674,3481.4856
1758.4885,1773.5713,1791.474,1792.8462,1819.9757,1829.9287,1852.4113,1859.158
12391.666,12327.692,12427.748,12438.747,12444.973,12376.802,12419.615,12649.494
1257.8243,1254.1188,1299.9668,1300.7792,1283.1652,1272.4055,1338.6079,1349.712
2033.7438,2033.6571,2150.5415,2142.8438,2126.5674,2116.9136,2240.418,2213.4983
2440.7595,2489.836,2450.961,2518.0679,2515.565,2569.6145,2522.1418,2592.5005
4652.6206,4587.183,4841.693,4759.563,4704.7075,4598.132,4938.7837,4872.5435
5774.3633,5775.169,5805.152,5813.5063,5819.0664,5806.855,5830.1675,5883.8057
6372.2783,6400.185,6363.748,6454.777,6463.8013,6458.5894,6412.4893,6529.6484
9779.25,9810.9375,9819.944,9835.377,9841.289,9832.662,9803.041,9953.108
5121.3135,5117.607,5190.733,5280.8687,5239.014,5166.022,5274.2603,5346.723
6024.424,5967.837,6090.2993,6120.08,6101.409,6016.4756,6146.034,6176.0215
2337.3943,2338.993,2349.864,2358.722,2354.1677,2348.4294,2372.759,2377.8816
1385.7758,1388.1942,1398.1917,1399.5562,1402.0503,1404.292,1415.425,1407.9655
7813.4614,7656.1514,7851.82,7975.841,7966.8975,7714.0654,7742.4277,8820.753
