V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36436.87,36306.766,36258.39,36260.945,36414.082,36542.613,36557.953,36591.29,36685.51,36743.285,36606.06,36498.742,36623.676
3593.1826,3576.2476,3566.3804,3566.4065,3585.251,3598.0469,3602.53,3612.5864,3620.1294,3634.3792,3629.7122,3612.9844,3600.0068
9590.304,9622.977,9635.486,9581.512,9577.053,9630.047,9657.074,9629.712,9616.568,9644.613,9700.12,9681.627,9590.638
2273.0442,2231.885,2185.2434,2208.0781,2201.6238,2159.835,2145.131,2137.1348,2143.7803,2162.747,2180.7568,2215.337,2374.756
1392.4597,1365.1768,1366.4353,1367.9899,1350.9463,1350.615,1373.7115,1402.0048,1412.8284,1444.5884,1523.5797,1524.6119,1445.2415
484.2667,469.65134,468.72784,469.1184,467.00537,469.89697,480.66833,490.6995,500.16977,519.3744,544.69196,543.04193,528.9211
2704.1353,2711.4817,2818.5337,2822.2637,2731.5266,2762.0781,2855.1755,2884.915,2909.853,2946.9294,3094.4827,3210.163,2709.4482
2862.071,2868.8997,2752.1938,2710.5496,2786.0835,2821.2246,2686.4924,2564.4639,2626.544,2689.8777,2532.1724,2383.7092,2638.5337
7259.4165,7326.847,7173.396,7120.688,7205.25,7134.025,6936.9272,6847.1323,6882.609,6946.0825,6853.98,6683.526,6859.549
5006.801,5043.485,5046.8687,5028.8086,5020.93,5046.631,5048.8545,5017.49,5003.2383,4983.467,4956.2134,4947.132,4973.46
353.5472,342.61133,335.88065,337.99493,349.135,348.65704,343.3559,345.93436,355.66025,364.03613,371.584,373.17935,379.3915
1030.833,1034.809,1029.5887,1026.997,1033.2804,1035.5396,1028.7761,1025.2242,1022.852,1017.9394,1010.61127,1009.5392,1015.3281
2339.6812,2356.043,2366.0762,2362.8596,2344.9358,2333.2937,2327.8474,2314.7607,2311.3076,2305.7043,2315.6497,2331.9163,2331.557
2319.644,2346.1812,2356.2517,2343.265,2326.4556,2322.1763,2326.6638,2324.9539,2309.1243,2299.5571,2318.0671,2327.5068,2305.3582
4366.7505,4562.2383,4682.3745,4663.712,4531.114,4418.397,4458.5527,4476.228,4347.152,4207.503,4259.1387,4371.389,4208.2676
4366.7505,4562.2383,4682.3745,4663.712,4531.114,4418.397,4458.5527,4476.228,4347.152,4207.503,4259.1387,4371.389,4208.2676
11973.091,11992.667,11995.703,11980.289,11977.743,11998.765,12003.942,11994.1875,11987.4,11979.573,11977.258,11974.114,11963.494
4364.081,4337.541,4336.0566,4357.4463,4371.422,4348.067,4344.9478,4374.8296,4389.1084,4403.856,4423.851,4433.6445,4394.5806
2416.9775,2371.1458,2372.7026,2363.5054,2373.8108,2398.2825,2416.2185,2464.5667,2531.3936,2576.9272,2702.5593,2755.8955,2652.3604
3925.434,3891.5762,3867.2888,3847.2017,3851.8728,3864.4072,3878.2942,3939.6873,3987.7607,4035.0872,4178.1665,4181.393,4136.407
1748.4037,1716.2192,1759.4373,1804.0332,1761.6565,1709.9231,1755.3771,1826.0271,1835.7156,1876.4376,1998.889,2037.4626,1820.6959
3434.122,3423.9028,3417.387,3389.5073,3355.3213,3331.7646,3326.708,3348.1755,3411.9492,3510.0898,3707.6587,3752.7266,3672.5632
746.1944,739.68744,743.72504,746.16345,746.441,744.329,751.54266,760.44507,764.84186,769.28033,780.2093,791.111,789.5506
6205.2134,6266.0986,6283.5015,6287.514,6230.7944,6159.8203,6115.6475,6236.021,6231.908,6131.8135,6269.936,6445.3535,6253.8906
1185.5354,1197.9446,1208.6559,1204.2716,1166.511,1146.4552,1152.3457,1140.6725,1124.231,1136.0195,1156.8536,1151.5452,1127.5164
2698.7754,2702.0444,2688.191,2651.1223,2677.8516,2702.315,2733.7058,2767.5583,2805.5317,2878.3772,3027.2075,3048.676,2971.277
1857.3654,1829.501,1775.2406,1753.8418,1758.8678,1794.7009,1781.6707,1767.3435,1771.2576,1793.0227,1848.9998,1915.3322,1948.6376
3539.7788,3687.831,4154.8584,4159.0923,4003.0303,4089.1738,4244.6953,4238.8984,4353.4272,4183.8843,4413.5234,4991.577,3718.609
