V1,V2,V3,V4,V5,V6
7271.0547,7321.9355,7332.663,7362.1445,7381.6006,7282.0293
1539.8131,1590.6553,1620.0005,1581.5999,1692.509,2019.9885
8523.8,8657.572,8847.481,8927.8,9027.011,9407.689
9820.817,9962.2,10151.495,10269.045,10362.507,10805.629
7018.0176,7176.7812,7387.1465,7479.669,7590.3813,8126.388
4080.3916,4204.891,4305.879,4399.619,4471.0903,4924.0825
3692.7278,3800.4714,3877.4463,3953.7668,4033.4526,4471.9043
2427.9158,2461.7139,2500.734,2445.7622,2480.2925,2528.526
2325.3186,2377.3032,2411.7004,2522.2698,2551.4104,2587.405
2342.4866,2397.2068,2420.972,2463.3232,2526.9885,2580.4785
1511.8937,1543.3793,1557.5024,1687.6741,1715.6515,1721.8052
2011.5448,2076.6174,2145.1846,2244.9355,2280.361,2358.1902
4724.2407,4825.4897,4924.1704,4962.2227,5092.4297,5247.809
5128.8364,5216.179,5295.8076,5357.331,5475.4956,5596.4224
5479.6606,5593.048,5747.6973,5811.8374,5923.846,6207.385
2533.1045,2613.9868,2649.3477,2669.5078,2704.1946,2667.428
3844.8447,3921.5217,3981.8608,4018.1038,4110.713,4197.7524
3166.2869,3230.3481,3260.231,3284.5703,3318.44,3309.2476
3048.7212,3204.9321,3329.112,3407.6882,3517.9688,4234.6523
6527.7554,6633.8115,6744.6587,6833.3926,6892.929,7306.456
9506.994,9685.161,9858.922,10025.302,10153.716,11344.366
4440.4014,4556.9097,4641.665,4723.1855,4821.9634,5509.8154
9703.943,9804.67,9877.623,9933.854,10056.345,11127.246
8955.341,9075.547,9167.568,9256.229,9384.238,10579.846
2420.7217,2506.887,2570.747,2643.386,2700.5112,2953.89
7467.28,7614.358,7737.429,7850.9854,7988.6626,9263.468
1809.3062,1883.5128,1934.7678,1994.8201,2058.1104,2286.2173
1767.577,1840.5992,1890.552,1935.6514,2004.7725,2225.7385
4216.4434,4290.6187,4339.5747,4398.306,4461.3696,4670.7246
4501.552,4599.9395,4704.31,4798.4023,4837.6997,5038.0327
3738.4893,3804.4946,3794.9133,3794.9204,3866.4783,3911.981
5432.618,5528.278,5596.7847,5666.3335,5718.3467,5924.045
1299.1807,1329.2815,1335.4691,1426.6292,1493.9042,1516.3069
