V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
655.0392,627.14343,558.10736,500.28143,473.60956,460.07,479.48788,471.2862,496.72522,543.8081,611.44653,675.464,747.1399,813.9806,855.3302,911.4557,985.8286,983.63354,997.1428,975.11383,950.2938,874.5404,805.72473,757.31055,672.4004,581.6923,529.3471,488.59824,466.3698,476.7753,443.06027,477.6902,506.06586,553.5652,577.4092,659.45355,762.95483,807.2573,893.29065,945.7906,961.9286,985.131,986.1078,991.9164,949.2925,892.64087,802.95544,757.83105
3093.9255,2914.5269,2517.2004,2334.6436,2190.8433,2048.3032,2092.3586,2071.3906,2186.6172,2369.8813,2619.25,2860.8628,3148.4485,3443.929,3630.2817,3866.9102,4217.0264,4220.5312,4317.551,4284.29,4227.4487,3943.0137,3651.7634,3455.5464,3141.5967,2738.3403,2516.396,2268.8188,2135.0554,2128.6055,1973.9869,2092.9436,2194.4583,2396.7622,2522.4846,2830.5488,3235.6836,3423.4795,3768.8413,3999.4722,4168.975,4237.971,4232.5103,4327.9736,4164.1606,3914.711,3549.3384,3428.5105
1426.9685,1247.919,1162.8438,1080.9502,1010.9448,940.5198,898.81,906.43585,938.25867,967.9424,1031.478,1079.6577,1168.8286,1234.2035,1311.7379,1353.6328,1388.7559,1393.1097,1413.3428,1405.6302,1424.5049,1398.8073,1358.9092,1343.9364,1320.6245,1225.8533,1168.0751,1063.8273,994.1466,965.75543,908.0625,908.9125,928.0498,980.2697,1011.2188,1078.452,1190.8788,1217.2325,1266.3033,1338.8972,1392.4697,1348.9855,1351.3097,1387.7512,1367.759,1386.8756,1289.1522,1320.4105
5767.504,5834.305,5278.7026,4880.98,4432.4395,4136.528,3900.7212,3801.6125,3745.6272,3746.4224,3776.401,3969.3545,4237.4014,4543.5967,4914.0103,5225.6113,5801.6934,5967.4404,6287.5254,6574.481,6701.0303,6649.165,6414.867,6399.428,6102.453,5596.3706,5286.3374,4724.798,4430.863,4235.3022,3831.0166,3779.5815,3700.0757,3675.7104,3762.5674,3935.3628,4385.2207,4579.9287,5025.628,5507.3833,5937.229,6137.6406,6319.967,6599.792,6653.4297,6484.8013,6184.76,6106.506
4330.914,3165.3025,2757.957,2507.5452,2262.9832,2034.2905,1912.3667,1911.7631,1921.742,1967.0497,2010.8994,2073.4812,2287.7256,2520.2434,2651.4138,2859.1423,3352.7527,3442.0723,3676.8672,3842.728,3904.8123,3862.6816,3676.9868,3610.815,3337.7778,2965.379,2761.502,2411.0532,2220.0527,2101.992,1860.1992,1846.1028,1894.1162,1876.7166,1868.142,2078.243,2399.8784,2457.0632,2666.0886,3068.0593,3424.8813,3499.315,3584.8135,3794.5671,3940.2622,3618.7974,3456.1274,3434.3835
5595.627,5397.6167,5608.5703,6016.348,6292.5513,6556.301,6941.884,6987.362,7184.7065,7401.7637,7641.464,7719.7236,7653.7314,7665.47,7637.7856,7549.205,7224.5903,6941.8984,6634.3237,6069.4297,5673.8994,5312.9346,5219.3994,5013.5596,5031.841,5266.418,5461.4014,5932.4243,6113.845,6368.673,6723.484,6865.083,7163.0674,7381.1934,7406.4956,7588.413,7415.8413,7525.5127,7366.9453,7118.665,6876.8076,6659.2236,6500.15,6111.8364,5651.031,5351.0884,5574.483,5144.7764
51974.69,46162.926,43686.61,40531.348,37053.66,34600.16,32119.889,31540.95,31246.31,30841.604,31026.152,31840.234,33985.785,36064.2,39266.254,41634.35,44135.61,45875.715,47848.414,49540.836,50889.67,51123.69,49779.51,50002.246,48612.88,45601.715,43981.188,39821.926,37314.094,35225.957,32271.07,31317.895,30653.264,30456.615,31070.742,32016.668,35263.66,36102.574,38456.28,41924.97,44447.27,45521.145,47246.27,48442.26,49341.39,48993.098,48263.137,49811.67
32883.14,27811.12,25045.297,23620.752,22747.807,22235.367,23837.246,24393.605,25973.893,28087.57,30985.48,32977.44,35478.527,38209.65,38960.414,40715.496,43592.844,43024.938,42910.082,41087.87,39543.47,36324.367,33613.26,31435.38,28394.127,25334.578,23782.133,22692.559,21953.486,22643.08,22280.977,24254.213,26068.281,28585.08,29510.793,32681.514,35637.805,37419.367,39552.82,41448.617,42287.258,42638.12,42176.727,41508.58,39167.023,36032.258,33743.395,31291.33
36436.254,36450.574,33105.617,31330.104,29648.156,28518.863,28915.846,28870.883,29646.676,31028.893,33006.96,35076.87,37503.67,40267.06,41979.336,44071.242,47202.04,47204.88,48075.24,47568.508,46920.43,44668.562,42354.78,40852.72,38161.22,34663.336,32807.914,30542.219,29285.527,29267.297,27909.594,28960.885,29741.969,31091.502,31930.344,34787.54,38197.31,39917.008,42961.188,45354.42,46882.844,47403.32,47563.105,48202.01,46894.58,44731.895,41410.074,40101.914
476.72275,433.4916,424.03766,414.51508,403.802,391.3309,385.0515,388.98633,390.13522,394.1279,402.52887,412.23505,424.85568,438.35486,442.30963,450.3053,461.12854,458.23157,464.96277,460.61237,463.46533,460.15747,454.49225,448.8162,439.83884,426.84534,418.66815,406.5548,397.47427,395.38242,385.75192,387.99072,389.17572,395.79166,394.28125,408.77615,426.61578,430.57947,438.88434,454.1375,471.10986,454.92847,453.1496,475.60672,471.53763,465.3078,441.9081,441.23633
