V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
7233.547,6396.858,5797.4707,5675.293,5185.582,5199.0684,5480.755,5155.5234,4940.194,4939.1655,5414.211,6211.4146,6799.3604,6418.9453,5697.3447,5402.6177,5137.3228,5123.9385
2356.5857,2133.9814,2079.1296,1934.4672,1838.5471,1827.4528,1948.0474,1963.4077,1906.2076,1834.4507,1887.7759,2137.2678,2167.9712,2045.2152,1976.2079,1906.0488,1819.835,1807.6971
13230.759,13260.319,13319.342,13294.382,13302.342,13374.816,13382.714,13423.996,13414.802,13397.511,13333.929,13252.428,13195.7295,13279.084,13361.822,13293.761,13337.143,13450.057
6582.4927,6584.6353,6580.606,6592.837,6615.598,6630.434,6629.536,6609.6724,6583.5947,6582.614,6580.584,6590.084,6606.404,6604.077,6585.817,6597.0317,6635.054,6620.13
4353.75,4380.584,4392.735,4389.267,4398.519,4394.079,4362.302,4352.6274,4355.6104,4345.524,4344.35,4376.22,4384.111,4402.2017,4407.501,4404.39,4400.3755,4394.8945
11532.155,11617.042,11616.359,11682.783,11671.511,11695.593,11650.749,11576.319,11508.221,11472.222,11460.894,11545.401,11661.276,11709.666,11686.133,11668.448,11665.713,11667.927
1142.7695,1163.8341,1171.6777,1173.139,1172.1971,1165.5891,1149.7435,1140.4266,1134.3274,1127.2684,1130.0438,1149.1954,1165.5541,1179.1243,1182.6434,1175.9908,1170.6875,1164.3828
1406.7395,1434.8855,1445.1106,1448.0342,1452.2618,1451.033,1431.298,1423.5841,1418.24,1404.4342,1405.0515,1426.7141,1442.7928,1458.249,1463.0808,1457.0044,1455.4983,1454.8079
5279.8765,5349.4907,5387.3677,5369.6206,5317.8247,5240.358,5135.294,5074.2065,5054.398,5021.5044,5091.618,5190.7646,5274.6704,5347.768,5374.5107,5352.6304,5319.0767,5231.7417
6677.5127,6704.708,6696.656,6673.043,6646.4653,6625.358,6618.2207,6625.9785,6607.6025,6595.368,6619.1387,6665.337,6713.3936,6729.4014,6702.148,6635.3936,6623.3643,6621.3945
12221.218,12282.79,12623.622,12866.624,12955.144,12899.842,12776.6875,12872.193,12946.303,12932.066,12858.129,12623.549,12238.471,12304.251,12670.181,12892.325,12963.713,12940.746
2762.1958,2757.5845,2754.4067,2748.2668,2748.433,2750.995,2739.8218,2738.009,2741.9167,2750.2424,2750.4778,2755.1072,2753.746,2752.5735,2748.8604,2744.7922,2744.2534,2747.8801
2169.1948,2165.0078,2161.2183,2153.4878,2152.035,2151.2615,2144.4336,2144.2705,2148.8887,2152.4338,2157.083,2162.2556,2160.8728,2159.1965,2155.7273,2150.0735,2148.5447,2149.102
4836.819,4918.496,5082.1367,5185.2065,5213.428,5153.3022,5085.515,5173.4688,5207.4834,5195.3413,5090.485,4977.17,4907.158,4952.303,5111.282,5200.5386,5215.627,5160.621
2693.6829,2687.2224,2677.1199,2671.5652,2669.0164,2668.9202,2668.8164,2669.375,2672.127,2676.0454,2683.481,2688.3384,2688.582,2684.3914,2674.9067,2671.0508,2669.7988,2670.0667
13952.439,13944.876,14220.032,14434.806,14511.571,14460.712,14331.588,14402.675,14482.927,14488.082,14497.753,14317.873,13910.599,13943.417,14246.307,14450.614,14524.586,14507.861
7455.905,7517.1455,7877.311,8139.6978,8239.33,8212.417,8110.336,8187.3843,8251.769,8220.745,8162.655,7909.4277,7471.321,7535.2,7931.4795,8171.114,8249.858,8256.425
